accession,title,taxon,gdstype,n_samples,suppfile,pdat,uid,supplementary_files,geo_raw_data_status
GSE159262,Novel 3D Approach to Model Non-Alcoholic Fatty Liver Disease using human Pluripotent Stem Cells,Homo sapiens,Expression profiling by high throughput sequencing,5,CSV,2026/08/04,200159262,GSE159262_normalized.csv.gz [CSV]; GSE159262_raw.csv.gz [CSV],SRA Run Selector; Raw data are available in SRA; Processed data are available on Series record
GSE336962,Advancing probabilistic risk assessment of perfluorooctanoic acid through integration of in vitro data and physiologically based toxicokinetic modeling coupled with population-specific analysis,Homo sapiens,Expression profiling by high throughput sequencing,36,CSV,2026/06/30,200336962,GSE336962_PA_12w_normalized_counts.csv.gz [CSV]; GSE336962_PA_48h_normalized_counts.csv.gz [CSV]; GSE336962_PA_6w_normalized_counts.csv.gz [CSV],SRA Run Selector; Raw data are available in SRA
GSE300257,Effect of overexpression of LY6D on gene expression in L02 hepatocytes,Homo sapiens,Expression profiling by high throughput sequencing,6,TXT,2026/06/20,200300257,GSE300257_ExpressionProfile.txt.gz [TXT],SRA Run Selector; Raw data are available in SRA
GSE270357,Transcriptome sequencing of palmitic acid-treated HepG2 cells upon intervention of curcumin or curcumin-copper complex,Homo sapiens,Expression profiling by high throughput sequencing,9,TXT,2026/06/19,200270357,GSE270357_TPMs_allsamples.txt.gz [TXT],SRA Run Selector; Raw data are available in SRA
GSE316562,Cyanidin-3-rutinoside(C3R) Attenuates Free Fatty Acid-Induced Hepatic Lipid Accumulation in HepG2 Cells,Homo sapiens,Expression profiling by high throughput sequencing,15,XLS,2026/01/23,200316562,GSE316562_processed_data_file.xls.gz [XLS],SRA Run Selector; Raw data are available in SRA
GSE296996,Gene expression profiling of tunicamycin-induced ER stress in HepG2 hepatoma cells,Homo sapiens,Expression profiling by high throughput sequencing,10,TXT,2025/12/10,200296996,GSE296996_count_matrix.txt.gz [TXT],SRA Run Selector; Raw data are available in SRA
GSE281797,Transcriptomic profiles of liver biopsies in obese patients with metabolic dysfunction-associated steatotic liver disease,Homo sapiens,Expression profiling by high throughput sequencing,94,TXT,2025/12/10,200281797,GSE281797_GeneCount.txt.gz [TXT]; GSE281797_tpm.txt.gz [TXT],SRA Run Selector; Raw data are available in SRA
GSE253186,Evaluation of PFHpA impact on liver metabolism using human liver spheroids,Homo sapiens,Expression profiling by high throughput sequencing,2,"MTX, TSV",2025/09/18,200253186,"GSE253186_RAW.tar [TAR (of MTX, TSV)]",SRA Run Selector; Raw data are available in SRA
GSE286572,Hepatocyte reporter cells and integrated metabolomic and transcriptomic analyses reveal insights into hepatocyte changes in offspring of pregnancies with obesity,Homo sapiens,Expression profiling by high throughput sequencing,30,XLSX,2025/07/30,200286572,GSE286572_processed_data_gene_count_Allsamples.xlsx [XLSX],SRA Run Selector; Raw data are available in SRA
GSE272035,Gene community-regulated pathway analysis successfully deciphers pathogenesis and biomarkers of viral versus metabolic hepatocellular carcinoma,Homo sapiens,Expression profiling by high throughput sequencing,71,TXT,2025/07/10,200272035,GSE272035_RAW.tar [TAR (of TXT)]; GSE272035_matrix.txt.gz [TXT],SRA Run Selector; Raw data are available in SRA
GSE287614,The transcription factor ZNF469 regulates collagen production in liver fibrosis [RNA-Seq],Homo sapiens,Expression profiling by high throughput sequencing,28,TXT,2025/02/27,200287614,GSE287614_hsc_tgfbeta_rnaseq_cnts.txt.gz [TXT],SRA Run Selector; Raw data are available in SRA
GSE269412,The transcription factor ZNF469 regulates collagen production in liver fibrosis [RNA-Seq liver],Homo sapiens,Expression profiling by high throughput sequencing,262,TXT,2025/02/27,200269412,GSE269412_DRX0FLO_rnaseq_count_mat.txt.gz [TXT],SRA Run Selector; Raw data are available in SRA
GSE266939,The transcription factor ZNF469 regulates collagen production in liver fibrosis [RNAseq_HSC],Homo sapiens,Expression profiling by high throughput sequencing,36,TXT,2025/02/27,200266939,GSE266939_hsc_rnaseq_cnts.txt.gz [TXT],SRA Run Selector; Raw data are available in SRA
GSE255384,RNA-sequencing of alpha beta hydrolase domain 6 (ABHD6) wild type (WT) versus knockout (KO) Huh7 hepatoma cells with or without palmitic acid treatment.,Homo sapiens,Expression profiling by high throughput sequencing,24,TXT,2025/02/01,200255384,GSE255384_FPKMMatrix.txt.gz [TXT],SRA Run Selector; Raw data are available in SRA
