accession,filename,geo_file_type,geo_reported_size,geo_size_bytes,geo_download_url,source_url
GSE159262,GSE159262_normalized.csv.gz,CSV,26.9 Mb,28157422,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE159nnn/GSE159262/suppl/GSE159262%5Fnormalized%2Ecsv%2Egz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159262
GSE159262,GSE159262_raw.csv.gz,CSV,50.5 Mb,52985933,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE159nnn/GSE159262/suppl/GSE159262%5Fraw%2Ecsv%2Egz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159262
GSE336962,GSE336962_PA_12w_normalized_counts.csv.gz,CSV,1.1 Mb,1103318,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE336nnn/GSE336962/suppl/GSE336962%5FPA%5F12w%5Fnormalized%5Fcounts%2Ecsv%2Egz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE336962
GSE336962,GSE336962_PA_48h_normalized_counts.csv.gz,CSV,1.0 Mb,1100026,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE336nnn/GSE336962/suppl/GSE336962%5FPA%5F48h%5Fnormalized%5Fcounts%2Ecsv%2Egz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE336962
GSE336962,GSE336962_PA_6w_normalized_counts.csv.gz,CSV,1.1 Mb,1104469,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE336nnn/GSE336962/suppl/GSE336962%5FPA%5F6w%5Fnormalized%5Fcounts%2Ecsv%2Egz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE336962
GSE300257,GSE300257_ExpressionProfile.txt.gz,TXT,49.7 Kb,50861,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE300nnn/GSE300257/suppl/GSE300257%5FExpressionProfile%2Etxt%2Egz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300257
GSE270357,GSE270357_TPMs_allsamples.txt.gz,TXT,838.0 Kb,858147,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE270nnn/GSE270357/suppl/GSE270357%5FTPMs%5Fallsamples%2Etxt%2Egz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270357
GSE316562,GSE316562_processed_data_file.xls.gz,XLS,4.8 Mb,5065013,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE316nnn/GSE316562/suppl/GSE316562%5Fprocessed%5Fdata%5Ffile%2Exls%2Egz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE316562
GSE296996,GSE296996_count_matrix.txt.gz,TXT,509.6 Kb,521879,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE296nnn/GSE296996/suppl/GSE296996%5Fcount%5Fmatrix%2Etxt%2Egz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296996
GSE281797,GSE281797_GeneCount.txt.gz,TXT,3.9 Mb,4124521,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE281nnn/GSE281797/suppl/GSE281797%5FGeneCount%2Etxt%2Egz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281797
GSE281797,GSE281797_tpm.txt.gz,TXT,5.4 Mb,5617754,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE281nnn/GSE281797/suppl/GSE281797%5Ftpm%2Etxt%2Egz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281797
GSE253186,GSE253186_RAW.tar,"TAR (of MTX, TSV)",56.2 Mb,58982400,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE253186&format=file,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253186
GSE286572,GSE286572_processed_data_gene_count_Allsamples.xlsx,XLSX,11.7 Mb,12258595,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE286nnn/GSE286572/suppl/GSE286572%5Fprocessed%5Fdata%5Fgene%5Fcount%5FAllsamples%2Exlsx,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE286572
GSE272035,GSE272035_RAW.tar,TAR (of TXT),14.8 Mb,15534080,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE272035&format=file,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272035
GSE272035,GSE272035_matrix.txt.gz,TXT,6.7 Mb,7011782,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE272nnn/GSE272035/suppl/GSE272035%5Fmatrix%2Etxt%2Egz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272035
GSE287614,GSE287614_hsc_tgfbeta_rnaseq_cnts.txt.gz,TXT,563.3 Kb,576868,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE287nnn/GSE287614/suppl/GSE287614%5Fhsc%5Ftgfbeta%5Frnaseq%5Fcnts%2Etxt%2Egz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE287614
GSE269412,GSE269412_DRX0FLO_rnaseq_count_mat.txt.gz,TXT,11.1 Mb,11604584,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE269nnn/GSE269412/suppl/GSE269412%5FDRX0FLO%5Frnaseq%5Fcount%5Fmat%2Etxt%2Egz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE269412
GSE266939,GSE266939_hsc_rnaseq_cnts.txt.gz,TXT,1.2 Mb,1261149,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266939/suppl/GSE266939%5Fhsc%5Frnaseq%5Fcnts%2Etxt%2Egz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266939
GSE255384,GSE255384_FPKMMatrix.txt.gz,TXT,1.5 Mb,1614946,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE255nnn/GSE255384/suppl/GSE255384%5FFPKMMatrix%2Etxt%2Egz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE255384
GSE288077,GSE288077_Human_FPKMs.csv.gz,CSV,2.5 Mb,2592354,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288077/suppl/GSE288077%5FHuman%5FFPKMs%2Ecsv%2Egz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288077
GSE288077,GSE288077_Mouse_FPKMs.csv.gz,CSV,1.2 Mb,1308081,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288077/suppl/GSE288077%5FMouse%5FFPKMs%2Ecsv%2Egz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288077
