gsm,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__hepatic zone,raw__isolation,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM2819620,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298622,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819620/suppl/GSM2819620_CV_6610_207.MCSv3.20161129.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819620/suppl/GSM2819620_CV_6610_207.MCSv3.20161129.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819620/suppl/GSM2819620_CV_6610_207.MCSv3.20161129.hs37.cpg.filtered.CG.ct_coverage.bw,6610_CV_RRBS
GSM2819621,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298623,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819621/suppl/GSM2819621_CV_6758_367.MCSv3.20170419.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819621/suppl/GSM2819621_CV_6758_367.MCSv3.20170419.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819621/suppl/GSM2819621_CV_6758_367.MCSv3.20170419.hs37.cpg.filtered.CG.ct_coverage.bw,6758_CV_RRBS
GSM2819622,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298624,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819622/suppl/GSM2819622_CV_6922_370.MCSv3.20170419.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819622/suppl/GSM2819622_CV_6922_370.MCSv3.20170419.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819622/suppl/GSM2819622_CV_6922_370.MCSv3.20170419.hs37.cpg.filtered.CG.ct_coverage.bw,6922_CV_RRBS
GSM2819623,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298625,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819623/suppl/GSM2819623_CV_6967_373.MCSv3.20170419.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819623/suppl/GSM2819623_CV_6967_373.MCSv3.20170419.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819623/suppl/GSM2819623_CV_6967_373.MCSv3.20170419.hs37.cpg.filtered.CG.ct_coverage.bw,6967_CV_RRBS
GSM2819624,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298626,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819624/suppl/GSM2819624_CV_7012_339.MCSv3.20170201.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819624/suppl/GSM2819624_CV_7012_339.MCSv3.20170201.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819624/suppl/GSM2819624_CV_7012_339.MCSv3.20170201.hs37.cpg.filtered.CG.ct_coverage.bw,7012_CV_RRBS
GSM2819625,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298627,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819625/suppl/GSM2819625_CV_7041_342.MCSv3.20170419.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819625/suppl/GSM2819625_CV_7041_342.MCSv3.20170419.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819625/suppl/GSM2819625_CV_7041_342.MCSv3.20170419.hs37.cpg.filtered.CG.ct_coverage.bw,7041_CV_RRBS
GSM2819626,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298628,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819626/suppl/GSM2819626_CV_7137_345.MCSv3.20170419.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819626/suppl/GSM2819626_CV_7137_345.MCSv3.20170419.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819626/suppl/GSM2819626_CV_7137_345.MCSv3.20170419.hs37.cpg.filtered.CG.ct_coverage.bw,7137_CV_RRBS
GSM2819627,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298629,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819627/suppl/GSM2819627_CV_7157_348.MCSv3.20170419.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819627/suppl/GSM2819627_CV_7157_348.MCSv3.20170419.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819627/suppl/GSM2819627_CV_7157_348.MCSv3.20170419.hs37.cpg.filtered.CG.ct_coverage.bw,7157_CV_RRBS
GSM2819628,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298630,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819628/suppl/GSM2819628_CV_7172_376.MCSv3.20170419.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819628/suppl/GSM2819628_CV_7172_376.MCSv3.20170419.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819628/suppl/GSM2819628_CV_7172_376.MCSv3.20170419.hs37.cpg.filtered.CG.ct_coverage.bw,7172_CV_RRBS
GSM2819629,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298631,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819629/suppl/GSM2819629_CV_7173_351.MCSv3.20170419.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819629/suppl/GSM2819629_CV_7173_351.MCSv3.20170419.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819629/suppl/GSM2819629_CV_7173_351.MCSv3.20170419.hs37.cpg.filtered.CG.ct_coverage.bw,7173_CV_RRBS
