gsm,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__hcv infection,raw__timecourse day,sample_type,source_name,sra_relation,supplementary_files,title
GSM3614863,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 0,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399095,,RNA.mock1.day0
GSM3614864,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 0,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399096,,RNA.mock2.day0
GSM3614865,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 0,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399097,,RNA.mock3.day0
GSM3614866,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 1,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399098,,RNA.mock1.day1
GSM3614867,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 1,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399099,,RNA.mock2.day1
GSM3614868,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 1,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399100,,RNA.mock3.day1
GSM3614869,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,yes,day 1,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399101,,RNA.HCV1.day1
GSM3614870,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,yes,day 1,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399102,,RNA.HCV2.day1
GSM3614871,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,yes,day 1,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399103,,RNA.HCV3.day1
GSM3614872,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 2,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399104,,RNA.mock1.day2
GSM3614873,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 2,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399105,,RNA.mock2.day2
GSM3614874,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 2,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399106,,RNA.mock3.day2
GSM3614875,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,yes,day 2,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399107,,RNA.HCV1.day2
GSM3614876,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,yes,day 2,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399108,,RNA.HCV2.day2
GSM3614877,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,yes,day 2,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399109,,RNA.HCV3.day2
GSM3614878,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 3,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399110,,RNA.mock1.day3
GSM3614879,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 3,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399111,,RNA.mock2.day3
GSM3614880,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 3,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399112,,RNA.mock3.day3
GSM3614881,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,yes,day 3,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399113,,RNA.HCV1.day3
GSM3614882,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,yes,day 3,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399114,,RNA.HCV2.day3
GSM3614883,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,yes,day 3,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399115,,RNA.HCV3.day3
GSM3614884,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 4,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399116,,RNA.mock1.day4
GSM3614885,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 4,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399117,,RNA.mock2.day4
GSM3614886,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 4,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399118,,RNA.mock3.day4
GSM3614887,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,yes,day 4,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399119,,RNA.HCV1.day4
GSM3614888,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,yes,day 4,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399120,,RNA.HCV2.day4
GSM3614889,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,yes,day 4,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399121,,RNA.HCV3.day4
GSM3614890,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 5,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399122,,RNA.mock1.day5
GSM3614891,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 5,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399123,,RNA.mock2.day5
GSM3614892,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 5,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399124,,RNA.mock3.day5
GSM3614893,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,yes,day 5,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399125,,RNA.HCV1.day5
GSM3614894,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,yes,day 5,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399126,,RNA.HCV2.day5
GSM3614895,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,yes,day 5,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399127,,RNA.HCV3.day5
GSM3614896,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 6,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399128,,RNA.mock1.day6
GSM3614897,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 6,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399129,,RNA.mock2.day6
GSM3614898,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 6,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399130,,RNA.mock3.day6
GSM3614899,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,yes,day 6,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399131,,RNA.HCV1.day6
GSM3614900,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,yes,day 6,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399132,,RNA.HCV2.day6
GSM3614901,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,yes,day 6,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399133,,RNA.HCV3.day6
GSM3614902,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 7,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399134,,RNA.mock1.day7
GSM3614903,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Huh7.5.1,no,day 7,SRA,Hepatocellular carcinoma cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX5399135,,RNA.mock2.day7
