gsm,expression_sample_id,raw__description,title
GSM3615293,2683,2683,NAFL_1
GSM3615294,2685,2685,NAFL_2
GSM3615295,2687,2687,NAFL_3
GSM3615296,2689,2689,NAFL_4
GSM3615297,2691,2691,NAFL_5
GSM3615298,2693,2693,NAFL_6
GSM3615299,2697,2697,NAFL_7
GSM3615300,2701,2701,NAFL_8
GSM3615301,2703,2703,NAFL_9
GSM3615302,3993,3993,NAFL_10
GSM3615303,3995,3995,NAFL_11
GSM3615304,3998,3998,NAFL_12
GSM3615305,4002,4002,NAFL_13
GSM3615306,4007,4007,NAFL_14
GSM3615307,4010,4010,NAFL_15
GSM3615308,2684,2684,NASH_1
GSM3615309,2688,2688,NASH_2
GSM3615310,2692,2692,NASH_3
GSM3615311,2696,2696,NASH_4
GSM3615312,2698,2698,NASH_5
GSM3615313,2704,2704,NASH_6
GSM3615314,2705,2705,NASH_7
GSM3615315,3992,3992,NASH_8
GSM3615316,3994,3994,NASH_9
GSM3615317,3996,3996,NASH_10
GSM3615318,3997,3997,NASH_11
GSM3615319,4000,4000,NASH_12
GSM3615320,4004,4004,NASH_13
GSM3615321,4005,4005,NASH_14
GSM3615322,4006,4006,NASH_15
GSM3615323,4008,4008,NASH_16
GSM3615324,0869,869,Normal-weight_1
GSM3615325,0873,873,Normal-weight_2
GSM3615326,0875,875,Normal-weight_3
GSM3615327,0877,877,Normal-weight_4
GSM3615328,0879,879,Normal-weight_5
GSM3615329,0881,881,Normal-weight_6
GSM3615330,0883,883,Normal-weight_7
GSM3615331,0885,885,Normal-weight_8
GSM3615332,0887,887,Normal-weight_9
GSM3615333,0889,889,Normal-weight_10
GSM3615334,0891,891,Normal-weight_11
GSM3615335,0893,893,Normal-weight_12
GSM3615336,0897,897,Normal-weight_13
GSM3615337,0910,910,Normal-weight_14
GSM3615338,0872,872,Obese_1
GSM3615339,0874,874,Obese_2
GSM3615340,0876,876,Obese_3
GSM3615341,0878,878,Obese_4
GSM3615342,0886,886,Obese_5
GSM3615343,0888,888,Obese_6
GSM3615344,0890,890,Obese_7
GSM3615345,0892,892,Obese_8
GSM3615346,0894,894,Obese_9
GSM3615347,0896,896,Obese_10
GSM3615348,0898,898,Obese_11
GSM3615349,0899,899,Obese_12
