gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__diet,raw__rin,raw__strain,raw__time of treatment,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM3688654,liver,none,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL19057,NCD,8.2,C57Bl6NTac,3 weeks,liver,none,SRA,liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX5581896,,Liver_sample_1: NCD_3weeks_rep1
GSM3688655,liver,none,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL19057,NCD,8.4,C57Bl6NTac,3 weeks,liver,none,SRA,liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX5581897,,Liver_sample_2: NCD_3weeks_rep2
GSM3688656,liver,none,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL19057,NCD,8.4,C57Bl6NTac,3 weeks,liver,none,SRA,liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX5581898,,Liver_sample_3: NCD_3weeks_rep3
GSM3688657,liver,IgG,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL19057,HFMCD,9.3,C57Bl6NTac,3 weeks,liver,IgG,SRA,liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX5581899,,Liver_sample_4: HFMCD_IgG_3weeks_rep1
GSM3688658,liver,IgG,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL19057,HFMCD,9.4,C57Bl6NTac,3 weeks,liver,IgG,SRA,liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX5581900,,Liver_sample_5: HFMCD_IgG_3weeks_rep2
GSM3688659,liver,IgG,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL19057,HFMCD,9.5,C57Bl6NTac,3 weeks,liver,IgG,SRA,liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX5581901,,Liver_sample_6: HFMCD_IgG_3weeks_rep3
GSM3688660,liver,X209,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL19057,HFMCD,9.3,C57Bl6NTac,3 weeks,liver,X209,SRA,liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX5581902,,Liver_sample_7: HFMCD_X209_3weeks_rep1
GSM3688661,liver,X209,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL19057,HFMCD,8.9,C57Bl6NTac,3 weeks,liver,X209,SRA,liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX5581903,,Liver_sample_8: HFMCD_X209_3weeks_rep2
GSM3688662,liver,X209,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL19057,HFMCD,8.7,C57Bl6NTac,3 weeks,liver,X209,SRA,liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX5581904,,Liver_sample_9: HFMCD_X209_3weeks_rep3
GSM3688663,liver,X203,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL19057,HFMCD,9.1,C57Bl6NTac,3 weeks,liver,X203,SRA,liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX5581905,,Liver_sample_10: HFMCD_X203_3weeks_rep1
