gsm,canon__disease,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__condition,sample_type,source_name,sra_relation,supplementary_files,title
GSM4257063,MHO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MHO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523613,,MHO1
GSM4257064,MHO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MHO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523614,,MHO2
GSM4257065,MHO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MHO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523615,,MHO3
GSM4257066,MHO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MHO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523616,,MHO4
GSM4257067,MHO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MHO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523617,,MHO5
GSM4257068,MHO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MHO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523618,,MHO6
GSM4257069,MHO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MHO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523619,,MHO7
GSM4257070,MHO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MHO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523620,,MHO8
GSM4257071,MHO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MHO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523621,,MHO9
GSM4257072,MHO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MHO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523622,,MHO10
