gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell type,raw__culture condition,raw__diet,raw__donor,raw__strain,raw__tissue,raw__treatment,raw__treatment time,sample_type,source_name,sra_relation,supplementary_files,title
GSM4483916,liver,NA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,normal chow,,C57BL/6,liver,NA,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131154,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483916/suppl/GSM4483916_107_L4.D702.intragenic.specific.counts.txt.gz,standard_diet_107
GSM4483917,liver,NA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,normal chow,,C57BL/6,liver,NA,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131155,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483917/suppl/GSM4483917_108_L4.D703.intragenic.specific.counts.txt.gz,standard_diet_108
GSM4483918,liver,NA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,normal chow,,C57BL/6,liver,NA,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131156,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483918/suppl/GSM4483918_109_L4.D704.intragenic.specific.counts.txt.gz,standard_diet_109
GSM4483919,liver,NA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,normal chow,,C57BL/6,liver,NA,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131157,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483919/suppl/GSM4483919_110_L4.D705.intragenic.specific.counts.txt.gz,standard_diet_110
GSM4483920,liver,NA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,normal chow,,C57BL/6,liver,NA,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131158,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483920/suppl/GSM4483920_111_L4.D706.intragenic.specific.counts.txt.gz,standard_diet_111
GSM4483921,liver,NA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,normal chow,,C57BL/6,liver,NA,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131159,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483921/suppl/GSM4483921_112_L4.D707.intragenic.specific.counts.txt.gz,standard_diet_112
GSM4483922,liver,NA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,normal chow,,C57BL/6,liver,NA,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131160,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483922/suppl/GSM4483922_113_L5.D708.intragenic.specific.counts.txt.gz,standard_diet_113
GSM4483923,liver,NA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,normal chow,,C57BL/6,liver,NA,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131161,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483923/suppl/GSM4483923_114_L5.D709.intragenic.specific.counts.txt.gz,standard_diet_114
GSM4483924,liver,Vehicle,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,Vehicle,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131162,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483924/suppl/GSM4483924_29_L1.D701.intragenic.specific.counts.txt.gz,FFD_veh_29
GSM4483925,liver,Vehicle,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,Vehicle,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131163,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483925/suppl/GSM4483925_30_L1.D702.intragenic.specific.counts.txt.gz,FFD_veh_30
GSM4483926,liver,Vehicle,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,Vehicle,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131164,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483926/suppl/GSM4483926_31_L1.D703.intragenic.specific.counts.txt.gz,FFD_veh_31
GSM4483927,liver,Vehicle,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,Vehicle,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131165,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483927/suppl/GSM4483927_32_L1.D704.intragenic.specific.counts.txt.gz,FFD_veh_32
GSM4483928,liver,Vehicle,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,Vehicle,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131166,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483928/suppl/GSM4483928_33_L1.D705.intragenic.specific.counts.txt.gz,FFD_veh_33
GSM4483929,liver,Vehicle,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,Vehicle,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131167,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483929/suppl/GSM4483929_34_L1.D706.intragenic.specific.counts.txt.gz,FFD_veh_34
GSM4483930,liver,Vehicle,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,Vehicle,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131168,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483930/suppl/GSM4483930_35_L1.D707.intragenic.specific.counts.txt.gz,FFD_veh_35
GSM4483931,liver,Vehicle,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,Vehicle,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131169,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483931/suppl/GSM4483931_37_L1.D708.intragenic.specific.counts.txt.gz,FFD_veh_37
GSM4483932,liver,Vehicle,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,Vehicle,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131170,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483932/suppl/GSM4483932_40_L2.D709.intragenic.specific.counts.txt.gz,FFD_veh_40
GSM4483933,liver,Vehicle,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,Vehicle,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131171,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483933/suppl/GSM4483933_41_L2.D710.intragenic.specific.counts.txt.gz,FFD_veh_41
GSM4483934,liver,ACCi_1mpk,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,ACCi_1mpk,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131172,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483934/suppl/GSM4483934_55_L2.D711.intragenic.specific.counts.txt.gz,FFD_ACCi_1mpk_55
GSM4483935,liver,ACCi_1mpk,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,ACCi_1mpk,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131173,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483935/suppl/GSM4483935_56-T_L5.D710.intragenic.specific.counts.txt.gz,FFD_ACCi_1mpk_56-T
GSM4483936,liver,ACCi_1mpk,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,ACCi_1mpk,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131174,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483936/suppl/GSM4483936_57_L2.D712.intragenic.specific.counts.txt.gz,FFD_ACCi_1mpk_57
GSM4483937,liver,ACCi_1mpk,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,ACCi_1mpk,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131175,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483937/suppl/GSM4483937_58_L2.D701.intragenic.specific.counts.txt.gz,FFD_ACCi_1mpk_58
GSM4483938,liver,ACCi_1mpk,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,ACCi_1mpk,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131176,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483938/suppl/GSM4483938_59_L2.D702.intragenic.specific.counts.txt.gz,FFD_ACCi_1mpk_59
GSM4483939,liver,ACCi_1mpk,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,ACCi_1mpk,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131177,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483939/suppl/GSM4483939_61_L2.D703.intragenic.specific.counts.txt.gz,FFD_ACCi_1mpk_61
GSM4483940,liver,ACCi_1mpk,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,ACCi_1mpk,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131178,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483940/suppl/GSM4483940_64_L2.D704.intragenic.specific.counts.txt.gz,FFD_ACCi_1mpk_64
GSM4483941,liver,ACCi_1mpk,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,ACCi_1mpk,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131179,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483941/suppl/GSM4483941_65-T_L5.D711.intragenic.specific.counts.txt.gz,FFD_ACCi_1mpk_65-T
GSM4483942,liver,ACCi_1mpk,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,ACCi_1mpk,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131180,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483942/suppl/GSM4483942_66_L3.D705.intragenic.specific.counts.txt.gz,FFD_ACCi_1mpk_66
GSM4483943,liver,ACCi_1mpk,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,ACCi_1mpk,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131181,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483943/suppl/GSM4483943_67_L3.D706.intragenic.specific.counts.txt.gz,FFD_ACCi_1mpk_67
GSM4483944,liver,ACCi_5mpk,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,ACCi_5mpk,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131182,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483944/suppl/GSM4483944_68-T_L5.D712.intragenic.specific.counts.txt.gz,FFD_ACCi_5mpk_68-T
GSM4483945,liver,ACCi_5mpk,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,ACCi_5mpk,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131183,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483945/suppl/GSM4483945_70_L3.D707.intragenic.specific.counts.txt.gz,FFD_ACCi_5mpk_70
GSM4483946,liver,ACCi_5mpk,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,ACCi_5mpk,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131184,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483946/suppl/GSM4483946_71_L3.D708.intragenic.specific.counts.txt.gz,FFD_ACCi_5mpk_71
GSM4483947,liver,ACCi_5mpk,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,ACCi_5mpk,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131185,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483947/suppl/GSM4483947_72-T_L5.D701.intragenic.specific.counts.txt.gz,FFD_ACCi_5mpk_72-T
GSM4483948,liver,ACCi_5mpk,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,ACCi_5mpk,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131186,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483948/suppl/GSM4483948_73_L3.D709.intragenic.specific.counts.txt.gz,FFD_ACCi_5mpk_73
GSM4483949,liver,ACCi_5mpk,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,ACCi_5mpk,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131187,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483949/suppl/GSM4483949_74_L3.D710.intragenic.specific.counts.txt.gz,FFD_ACCi_5mpk_74
GSM4483950,liver,ACCi_5mpk,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,ACCi_5mpk,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131188,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483950/suppl/GSM4483950_76_L3.D711.intragenic.specific.counts.txt.gz,FFD_ACCi_5mpk_76
GSM4483951,liver,ACCi_5mpk,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,ACCi_5mpk,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131189,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483951/suppl/GSM4483951_77-T_L5.D702.intragenic.specific.counts.txt.gz,FFD_ACCi_5mpk_77
GSM4483952,liver,ACCi_5mpk,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,ACCi_5mpk,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131190,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483952/suppl/GSM4483952_78_L3.D712.intragenic.specific.counts.txt.gz,FFD_ACCi_5mpk_78
GSM4483953,liver,ACCi_5mpk,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL17021,,,fast food diet (FFD),,C57BL/6,liver,ACCi_5mpk,28 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX8131191,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483953/suppl/GSM4483953_80_L4.D701.intragenic.specific.counts.txt.gz,FFD_ACCi_5mpk_80
GSM4483954,,TGFi 5uM,Ion Torrent S5 XL,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24014,Primary Hepatic Stellate Cells (HSCs),serum free media,,Donor 1,,,TGFi 5uM,48 hours,SRA,Primary Hepatic Stellate Cells (HSCs),https://www.ncbi.nlm.nih.gov/sra?term=SRX8131192,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483954/suppl/GSM4483954_Sample1.Absolute_Counts.txt.gz,D1 TGFi 5uM-1
GSM4483955,,TGFi 5uM,Ion Torrent S5 XL,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24014,Primary Hepatic Stellate Cells (HSCs),serum free media,,Donor 1,,,TGFi 5uM,48 hours,SRA,Primary Hepatic Stellate Cells (HSCs),https://www.ncbi.nlm.nih.gov/sra?term=SRX8131193,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483955/suppl/GSM4483955_Sample2.Absolute_Counts.txt.gz,D1 TGFi 5uM-2
GSM4483956,,ACCi 300nM,Ion Torrent S5 XL,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24014,Primary Hepatic Stellate Cells (HSCs),serum free media,,Donor 1,,,ACCi 300nM,48 hours,SRA,Primary Hepatic Stellate Cells (HSCs),https://www.ncbi.nlm.nih.gov/sra?term=SRX8131194,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483956/suppl/GSM4483956_Sample3.Absolute_Counts.txt.gz,D1 Acci 300nM-1
GSM4483957,,ACCi 300nM,Ion Torrent S5 XL,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24014,Primary Hepatic Stellate Cells (HSCs),serum free media,,Donor 1,,,ACCi 300nM,48 hours,SRA,Primary Hepatic Stellate Cells (HSCs),https://www.ncbi.nlm.nih.gov/sra?term=SRX8131195,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483957/suppl/GSM4483957_Sample4.Absolute_Counts.txt.gz,D1 Acci 300nM-2
GSM4483958,,DMSO,Ion Torrent S5 XL,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24014,Primary Hepatic Stellate Cells (HSCs),serum free media,,Donor 1,,,DMSO,48 hours,SRA,Primary Hepatic Stellate Cells (HSCs),https://www.ncbi.nlm.nih.gov/sra?term=SRX8131196,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483958/suppl/GSM4483958_Sample5.Absolute_Counts.txt.gz,D1 DMSO-1
GSM4483959,,DMSO,Ion Torrent S5 XL,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24014,Primary Hepatic Stellate Cells (HSCs),serum free media,,Donor 1,,,DMSO,48 hours,SRA,Primary Hepatic Stellate Cells (HSCs),https://www.ncbi.nlm.nih.gov/sra?term=SRX8131197,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483959/suppl/GSM4483959_Sample6.Absolute_Counts.txt.gz,D1 DMSO-2
GSM4483960,,TGFb 5ng/ml + TGFi 5uM,Ion Torrent S5 XL,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24014,Primary Hepatic Stellate Cells (HSCs),serum free media,,Donor 1,,,TGFb 5ng/ml + TGFi 5uM,48 hours,SRA,Primary Hepatic Stellate Cells (HSCs),https://www.ncbi.nlm.nih.gov/sra?term=SRX8131198,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4483nnn/GSM4483960/suppl/GSM4483960_Sample7.Absolute_Counts.txt.gz,D1 TGFb 5ng/ml + TGFi 5uM-1
