gsm,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell types,sample_type,source_name,sra_relation,supplementary_files,title
GSM4495738,NextSeq 550,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL21697,SLA-specific memory CD4 T cells,SRA,peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX8171801,,sample 028-03 SLA-spe T cells
GSM4495739,NextSeq 550,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL21697,C.alb-specific memory CD4 T cells,SRA,peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX8171802,,sample 028-03 C.alb-spe T cells
GSM4495740,NextSeq 550,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL21697,SLA-specific memory CD4 T cells,SRA,peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX8171803,,sample 128-01 SLA-spe T cells
GSM4495741,NextSeq 550,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL21697,C.alb-specific memory CD4 T cells,SRA,peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX8171804,,sample 128-01 C.alb-spe T cells
GSM4495742,NextSeq 550,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL21697,SLA-specific memory CD4 T cells,SRA,peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX8171805,,sample 018-10 SLA-spe T cells
GSM4495743,NextSeq 550,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL21697,C.alb-specific memory CD4 T cells,SRA,peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX8171806,,sample 018-10 C.alb-spe T cells
GSM4495744,NextSeq 550,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL21697,SLA-specific memory CD4 T cells,SRA,peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX8171807,,sample 018-13 SLA-spe T cells
GSM4495745,NextSeq 550,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL21697,C.alb-specific memory CD4 T cells,SRA,peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX8171808,,sample 018-13 C.alb-spe T cells
GSM4495746,NextSeq 550,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL21697,SLA-specific memory CD4 T cells,SRA,peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX8171809,,sample 004-05 SLA-spe T cells
GSM4495747,NextSeq 550,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL21697,C.alb-specific memory CD4 T cells,SRA,peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX8171810,,sample 004-05 C.alb-spe T cells
GSM4495748,NextSeq 550,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL21697,SLA-specific memory CD4 T cells,SRA,peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX8171811,,sample 018-14 SLA-spe T cells
GSM4495749,NextSeq 550,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL21697,C.alb-specific memory CD4 T cells,SRA,peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX8171812,,sample 018-14 C.alb-spe T cells
GSM4495750,NextSeq 550,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL21697,SLA-specific memory CD4 T cells,SRA,peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX8171813,,sample 051-04 SLA-spe T cells
GSM4495751,NextSeq 550,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL21697,C.alb-specific memory CD4 T cells,SRA,peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX8171814,,sample 051-04 C.alb-spe T cells
