gsm,canon__disease,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__condition,raw__time point,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM4748450,MHL,Subcutaneous adipose tissue,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MHL,Baseline,Subcutaneous adipose tissue,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9013178,,MHL_552PSQ064
GSM4748451,MHL,Subcutaneous adipose tissue,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MHL,Baseline,Subcutaneous adipose tissue,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9013179,,MHL_229PSQ073
GSM4748452,MHL,Subcutaneous adipose tissue,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MHL,Baseline,Subcutaneous adipose tissue,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9013180,,MHL_194PSQ116
GSM4748453,MHL,Subcutaneous adipose tissue,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MHL,Baseline,Subcutaneous adipose tissue,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9013181,,MHL_230PSQ128
GSM4748454,MHL,Subcutaneous adipose tissue,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MHL,Baseline,Subcutaneous adipose tissue,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9013182,,MHL_231PSQ141
GSM4748455,MHL,Subcutaneous adipose tissue,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MHL,Baseline,Subcutaneous adipose tissue,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9013183,,MHL_232PSQ147
GSM4748456,MHL,Subcutaneous adipose tissue,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MHL,Baseline,Subcutaneous adipose tissue,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9013184,,MHL_233PSQ150
GSM4748457,MHL,Subcutaneous adipose tissue,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MHL,Baseline,Subcutaneous adipose tissue,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9013185,,MHL_234PSQ204
GSM4748458,MHL,Subcutaneous adipose tissue,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MHL,Baseline,Subcutaneous adipose tissue,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9013186,,MHL_566PSQ236
GSM4748459,MHL,Subcutaneous adipose tissue,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MHL,Baseline,Subcutaneous adipose tissue,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9013187,,MHL_555PSQ250
