gsm,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell type,raw__strain,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM4813878,control,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,control,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230547,,HepG2-control-rep1
GSM4813879,control,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,control,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230548,,HepG2-control-rep2
GSM4813880,control,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,control,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230549,,HepG2-control-rep3
GSM4813881,control,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,control,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230550,,HepG2-control-rep4
GSM4813882,control,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,control,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230551,,HepG2-control-rep5
GSM4813883,control,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,control,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230552,,HepG2-control-rep6
GSM4813884,control,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,control,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230553,,HepG2-control-rep7
GSM4813885,YY1-KD,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,YY1-KD,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230554,,HepG2-YY-KD-rep1
GSM4813886,YY1-KD,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,YY1-KD,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230555,,HepG2-YY-KD-rep2
GSM4813887,YY1-KD,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,YY1-KD,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230556,,HepG2-YY-KD-rep3
GSM4813888,YY1-KD,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,YY1-KD,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230557,,HepG2-YY-KD-rep4
GSM4813889,YY1-KD,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,YY1-KD,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230558,,HepG2-YY-KD-rep5
GSM4813890,YY1-KD,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,YY1-KD,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230559,,HepG2-YY-KD-rep6
GSM4813891,YY1-KD,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,YY1-KD,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230560,,HepG2-YY-KD-rep7
GSM4813892,YY1-KD,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,YY1-KD,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230561,,HepG2-YY-KD-rep8
GSM4813893,control,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,control,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230562,,HepG2-control-rep8
GSM4813894,control,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,control,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230563,,HepG2-control-rep9
GSM4813895,control,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,control,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230564,,HepG2-control-rep10
GSM4813896,control,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,control,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230565,,HepG2-control-rep11
GSM4813897,control,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,control,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230566,,HepG2-control-rep12
GSM4813898,control,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,control,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230567,,HepG2-control-rep13
GSM4813899,control,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Human  hepatocyte carcinoma,HepG2 cells,control,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9230568,,HepG2-control-rep14
