gsm,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__tag,sample_type,source_name,sra_relation,supplementary_files,title
GSM4850413,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Lean-NL,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9349594,,552PSQ064 [Subcutaneous adipose tissue]
GSM4850414,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Lean-NL,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9349595,,229PSQ073 [Subcutaneous adipose tissue]
GSM4850415,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Lean-NL,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9349596,,194PSQ116 [Subcutaneous adipose tissue]
GSM4850416,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Lean-NL,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9349597,,230PSQ128 [Subcutaneous adipose tissue]
GSM4850417,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Lean-NL,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9349598,,232PSQ147 [Subcutaneous adipose tissue]
GSM4850418,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Lean-NL,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9349599,,233PSQ150 [Subcutaneous adipose tissue]
GSM4850419,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Lean-NL,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9349600,,234PSQ204 [Subcutaneous adipose tissue]
GSM4850420,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Lean-NL,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9349601,,566PSQ236 [Subcutaneous adipose tissue]
GSM4850421,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Lean-NL,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9349602,,555PSQ250 [Subcutaneous adipose tissue]
GSM4850422,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Lean-NL,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9349603,,952PSQ252 [Subcutaneous adipose tissue]
GSM4850423,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Lean-NL,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9349604,,567PSQ271 [Subcutaneous adipose tissue]
GSM4850424,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Lean-NL,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9349605,,954PSQ454 [Subcutaneous adipose tissue]
GSM4850425,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Ob-NL,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX9349606,,237PSQ013 [Subcutaneous adipose tissue]
