gsm,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell type,raw__individual,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM4867719,HoxLDL,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,M2-like macrophage,donor 1,HoxLDL,SRA,"M2-like macrophages treated with HoxLDL, donor 1",https://www.ncbi.nlm.nih.gov/sra?term=SRX9370765,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4867nnn/GSM4867719/suppl/GSM4867719_Hox-1_counts.csv.gz,Hox-1
GSM4867721,HoxLDL,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,M2-like macrophage,donor 2,HoxLDL,SRA,"M2-like macrophages treated with HoxLDL, donor 2",https://www.ncbi.nlm.nih.gov/sra?term=SRX9370766,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4867nnn/GSM4867721/suppl/GSM4867721_Hox-2_counts.csv.gz,Hox-2
GSM4867723,HoxLDL,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,M2-like macrophage,donor 3,HoxLDL,SRA,"M2-like macrophages treated with HoxLDL, donor 3",https://www.ncbi.nlm.nih.gov/sra?term=SRX9370767,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4867nnn/GSM4867723/suppl/GSM4867723_Hox-3_counts.csv.gz,Hox-3
GSM4867725,HoxLDL,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,M2-like macrophage,donor 4,HoxLDL,SRA,"M2-like macrophages treated with HoxLDL, donor 4",https://www.ncbi.nlm.nih.gov/sra?term=SRX9370768,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4867nnn/GSM4867725/suppl/GSM4867725_Hox-4_counts.csv.gz,Hox-4
GSM4867727,HoxLDL,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,M2-like macrophage,donor 5,HoxLDL,SRA,"M2-like macrophages treated with HoxLDL, donor 5",https://www.ncbi.nlm.nih.gov/sra?term=SRX9370769,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4867nnn/GSM4867727/suppl/GSM4867727_Hox-5_counts.csv.gz,Hox-5
GSM4867729,MoxLDL,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,M2-like macrophage,donor 1,MoxLDL,SRA,"M2-like macrophages treated with MoxLDL, donor 1",https://www.ncbi.nlm.nih.gov/sra?term=SRX9370770,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4867nnn/GSM4867729/suppl/GSM4867729_Mox-1_counts.csv.gz,Mox-1
GSM4867731,MoxLDL,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,M2-like macrophage,donor 2,MoxLDL,SRA,"M2-like macrophages treated with MoxLDL, donor 2",https://www.ncbi.nlm.nih.gov/sra?term=SRX9370771,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4867nnn/GSM4867731/suppl/GSM4867731_Mox-2_counts.csv.gz,Mox-2
GSM4867733,MoxLDL,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,M2-like macrophage,donor 3,MoxLDL,SRA,"M2-like macrophages treated with MoxLDL, donor 3",https://www.ncbi.nlm.nih.gov/sra?term=SRX9370772,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4867nnn/GSM4867733/suppl/GSM4867733_Mox-3_counts.csv.gz,Mox-3
GSM4867736,MoxLDL,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,M2-like macrophage,donor 4,MoxLDL,SRA,"M2-like macrophages treated with MoxLDL, donor 4",https://www.ncbi.nlm.nih.gov/sra?term=SRX9370773,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4867nnn/GSM4867736/suppl/GSM4867736_Mox-4_counts.csv.gz,Mox-4
GSM4867739,MoxLDL,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,M2-like macrophage,donor 5,MoxLDL,SRA,"M2-like macrophages treated with MoxLDL, donor 5",https://www.ncbi.nlm.nih.gov/sra?term=SRX9370774,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4867nnn/GSM4867739/suppl/GSM4867739_Mox-5_counts.csv.gz,Mox-5
GSM4867741,native LDL,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,M2-like macrophage,donor 1,native LDL,SRA,"M2-like macrophages treated with native LDL, donor 1",https://www.ncbi.nlm.nih.gov/sra?term=SRX9370775,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4867nnn/GSM4867741/suppl/GSM4867741_nLDL-1_counts.csv.gz,nLDL-1
GSM4867744,native LDL,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,M2-like macrophage,donor 2,native LDL,SRA,"M2-like macrophages treated with native LDL, donor 2",https://www.ncbi.nlm.nih.gov/sra?term=SRX9370776,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4867nnn/GSM4867744/suppl/GSM4867744_nLDL-2_counts.csv.gz,nLDL-2
GSM4867746,native LDL,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,M2-like macrophage,donor 3,native LDL,SRA,"M2-like macrophages treated with native LDL, donor 3",https://www.ncbi.nlm.nih.gov/sra?term=SRX9370777,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4867nnn/GSM4867746/suppl/GSM4867746_nLDL-3_counts.csv.gz,nLDL-3
GSM4867748,native LDL,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,M2-like macrophage,donor 4,native LDL,SRA,"M2-like macrophages treated with native LDL, donor 4",https://www.ncbi.nlm.nih.gov/sra?term=SRX9370778,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4867nnn/GSM4867748/suppl/GSM4867748_nLDL-4_counts.csv.gz,nLDL-4
GSM4867750,native LDL,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,M2-like macrophage,donor 5,native LDL,SRA,"M2-like macrophages treated with native LDL, donor 5",https://www.ncbi.nlm.nih.gov/sra?term=SRX9370779,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4867nnn/GSM4867750/suppl/GSM4867750_nLDL-5_counts.csv.gz,nLDL-5
GSM4867752,untreated,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,M2-like macrophage,donor 1,untreated,SRA,"M2-like macrophages treated with PBS, donor 1",https://www.ncbi.nlm.nih.gov/sra?term=SRX9370780,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4867nnn/GSM4867752/suppl/GSM4867752_PBS-1_counts.csv.gz,PBS-1
GSM4867754,untreated,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,M2-like macrophage,donor 2,untreated,SRA,"M2-like macrophages treated with PBS, donor 2",https://www.ncbi.nlm.nih.gov/sra?term=SRX9370781,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4867nnn/GSM4867754/suppl/GSM4867754_PBS-2_counts.csv.gz,PBS-2
