gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM5135570,Liver MPS co-culture tissue,Lean,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Lean,SRA,Liver_MPS_Lean_001,,,NAFT18012_P1A1_D14_49_S18
GSM5135571,Liver MPS co-culture tissue,Lean,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Lean,SRA,Liver_MPS_Lean_002,,,NAFT18012_P1A2_D14_50_S21
GSM5135572,Liver MPS co-culture tissue,Lean,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Lean,SRA,Liver_MPS_Lean_003,,,NAFT18012_P1A3_D14_51_S1
GSM5135573,Liver MPS co-culture tissue,Fat,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat,SRA,Liver_MPS_Fat,,,NAFT18012_P1A4_D14_52_S4
GSM5135574,Liver MPS co-culture tissue,Fat,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat,SRA,Liver_MPS_Fat,,,NAFT18012_P1A5_D14_53_S7
GSM5135575,Liver MPS co-culture tissue,Fat,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat,SRA,Liver_MPS_Fat,,,NAFT18012_P1A6_D14_54_S10
GSM5135576,Liver MPS co-culture tissue,Lean,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Lean,SRA,Liver_MPS_Lean,,,NAFT18013_P1A2_D14_02_S3
GSM5135577,Liver MPS co-culture tissue,Lean,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Lean,SRA,Liver_MPS_Lean,,,NAFT18013_P1A3_D14_03_S6
GSM5135578,Liver MPS co-culture tissue,Fat,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat,SRA,Liver_MPS_Fat,,,NAFT18013_P1A4_D14_04_S9
GSM5135579,Liver MPS co-culture tissue,Fat,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat,SRA,Liver_MPS_Fat,,,NAFT18013_P1A5_D14_05_S12
GSM5135580,Liver MPS co-culture tissue,Fat,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat,SRA,Liver_MPS_Fat,,,NAFT18013_P1A6_D14_06_S15
GSM5135581,Liver MPS co-culture tissue,Lean,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Lean,SRA,Liver_MPS_Lean,,,NAFT18014_P1A1_D14_85_S13
GSM5135582,Liver MPS co-culture tissue,Lean,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Lean,SRA,Liver_MPS_Lean,,,NAFT18014_P1A2_D14_86_S16
GSM5135583,Liver MPS co-culture tissue,Lean,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Lean,SRA,Liver_MPS_Lean,,,NAFT18014_P1A3_D14_87_S19
GSM5135584,Liver MPS co-culture tissue,Fat,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat,SRA,Liver_MPS_Fat,,,NAFT18014_P1A4_D14_88_S22
GSM5135585,Liver MPS co-culture tissue,Fat,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat,SRA,Liver_MPS_Fat,,,NAFT18014_P1A5_D14_89_S2
GSM5135586,Liver MPS co-culture tissue,Fat,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat,SRA,Liver_MPS_Fat,,,NAFT18014_P1A6_D14_90_S5
GSM5135587,Liver MPS co-culture tissue,Lean,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Lean,SRA,Liver_MPS_Lean,,,NAFT18015_P1A1_D14_145_S8
GSM5135588,Liver MPS co-culture tissue,Lean,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Lean,SRA,Liver_MPS_Lean,,,NAFT18015_P1A2_D14_146_S11
GSM5135589,Liver MPS co-culture tissue,Lean,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Lean,SRA,Liver_MPS_Lean,,,NAFT18015_P1A3_D14_147_S14
GSM5135590,Liver MPS co-culture tissue,Fat,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat,SRA,Liver_MPS_Fat,,,NAFT18015_P1A4_D14_148_S17
GSM5135591,Liver MPS co-culture tissue,Fat,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat,SRA,Liver_MPS_Fat,,,NAFT18015_P1A5_D14_149_S20
GSM5135592,Liver MPS co-culture tissue,Fat,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat,SRA,Liver_MPS_Fat,,,NAFT18015_P1A6_D14_150_S23
GSM5135593,Liver MPS co-culture tissue,Lean_LPS,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Lean_LPS,SRA,Liver_MPS_Lean_LPS,,,NAFT18012_P1B3_D14_57_S10
GSM5135594,Liver MPS co-culture tissue,Lean_TGF-B,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Lean_TGF-B,SRA,Liver_MPS_Lean_TGF-B,,,NAFT18012_P2A1_D14_61_S13
GSM5135595,Liver MPS co-culture tissue,Fat_TGF-B,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat_TGF-B,SRA,Liver_MPS_Fat_TGF-B,,,NAFT18012_P2A5_D14_65_S16
GSM5135596,Liver MPS co-culture tissue,Lean_Fructose,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Lean_Fructose,SRA,Liver_MPS_Lean_Fructose,,,NAFT18012_P2B3_D14_69_S19
GSM5135597,Liver MPS co-culture tissue,Lean_LPS_TGF-B,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Lean_LPS_TGF-B,SRA,Liver_MPS_Lean_LPS_TGF-B,,,NAFT18012_P3A1_D14_73_S22
