gsm,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__objective response,sample_type,source_name,sra_relation,supplementary_files,title
GSM5176220,NextSeq 550,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21697,Huh751,Huh751 DMSO differentiation Day 0 Replicate 1,SRA,Huh751_D0_1,https://www.ncbi.nlm.nih.gov/sra?term=SRX10366595,,Huh751_D0_1
GSM5176221,NextSeq 550,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21697,Huh751,Huh751 DMSO differentiation Day 0 Replicate 2,SRA,Huh751_D0_2,https://www.ncbi.nlm.nih.gov/sra?term=SRX10366596,,Huh751_D0_2
GSM5176222,NextSeq 550,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21697,Huh751,Huh751 DMSO differentiation Day 0 Replicate 3,SRA,Huh751_D0_3,https://www.ncbi.nlm.nih.gov/sra?term=SRX10366597,,Huh751_D0_3
GSM5176223,NextSeq 550,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21697,Huh751,Huh751 DMSO differentiation Day 3 Replicate 1,SRA,Huh751_D3_1,https://www.ncbi.nlm.nih.gov/sra?term=SRX10366598,,Huh751_D3_1
GSM5176224,NextSeq 550,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21697,Huh751,Huh751 DMSO differentiation Day 3 Replicate 2,SRA,Huh751_D3_2,https://www.ncbi.nlm.nih.gov/sra?term=SRX10366599,,Huh751_D3_2
GSM5176225,NextSeq 550,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21697,Huh751,Huh751 DMSO differentiation Day 3 Replicate 3,SRA,Huh751_D3_3,https://www.ncbi.nlm.nih.gov/sra?term=SRX10366600,,Huh751_D3_3
GSM5176226,NextSeq 550,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21697,Huh751,Huh751 DMSO differentiation Day 7 Replicate 1,SRA,Huh751_D7_1,https://www.ncbi.nlm.nih.gov/sra?term=SRX10366601,,Huh751_D7_1
GSM5176227,NextSeq 550,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21697,Huh751,Huh751 DMSO differentiation Day 7 Replicate 2,SRA,Huh751_D7_2,https://www.ncbi.nlm.nih.gov/sra?term=SRX10366602,,Huh751_D7_2
GSM5176228,NextSeq 550,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21697,Huh751,Huh751 DMSO differentiation Day 7 Replicate 3,SRA,Huh751_D7_3,https://www.ncbi.nlm.nih.gov/sra?term=SRX10366603,,Huh751_D7_3
GSM5176229,NextSeq 550,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21697,Huh751,Huh751 DMSO differentiation Day 10 Replicate 1,SRA,Huh751_D10_1,https://www.ncbi.nlm.nih.gov/sra?term=SRX10366604,,Huh751_D10_1
GSM5176230,NextSeq 550,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21697,Huh751,Huh751 DMSO differentiation Day 10 Replicate 2,SRA,Huh751_D10_2,https://www.ncbi.nlm.nih.gov/sra?term=SRX10366605,,Huh751_D10_2
GSM5176231,NextSeq 550,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21697,Huh751,Huh751 DMSO differentiation Day 10 Replicate 3,SRA,Huh751_D10_3,https://www.ncbi.nlm.nih.gov/sra?term=SRX10366606,,Huh751_D10_3
