gsm,canon__age,canon__sex,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__Sex,raw__age,raw__cell type,raw__clinic status,raw__clinical outcome,raw__infection,raw__selection marker,raw__sofa score,raw__strain,raw__time point,raw__tissue,raw__treatment(1),sample_type,source_name,sra_relation,supplementary_files,title
GSM5203165,,,liver lymph nodes,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,PIC (T + cDC),,,NA,CD45+Lin-MHC-II+CD11c+TCRb+,,c57bl,2 weeks,liver lymph nodes,ND,SRA,LLN PIC ND doublet 1,https://www.ncbi.nlm.nih.gov/sra?term=SRX10421448,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5203nnn/GSM5203165/suppl/GSM5203165_AB10014.txt.gz,Sample 1_AB10014
GSM5203166,,,liver lymph nodes,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,PIC (T + cDC),,,NA,CD45+Lin-MHC-II+CD11c+TCRb+,,c57bl,2 weeks,liver lymph nodes,MCDD,SRA,LLN PIC MCDD doublet 1,https://www.ncbi.nlm.nih.gov/sra?term=SRX10421449,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5203nnn/GSM5203166/suppl/GSM5203166_AB10015.txt.gz,Sample 2_AB10015
GSM5203167,,,liver lymph nodes,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,PIC (T + cDC),,,NA,CD45+Lin-MHC-II+CD11c+TCRb+,,c57bl,2 weeks,liver lymph nodes,MCDD,SRA,LLN PIC  MCDD doublet 2,https://www.ncbi.nlm.nih.gov/sra?term=SRX10421466,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5203nnn/GSM5203167/suppl/GSM5203167_AB10016.txt.gz,Sample 3_AB10016
GSM5203168,,,liver lymph nodes,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,cDC,,,NA,CD45+Lin-MHC-II+CD11c+,,c57bl,2 weeks,liver lymph nodes,MCDD,SRA,LLN DC  MCDD 1,https://www.ncbi.nlm.nih.gov/sra?term=SRX10421467,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5203nnn/GSM5203168/suppl/GSM5203168_AB10019.txt.gz,Sample 4_AB10019
GSM5203169,,,liver lymph nodes,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,T,,,NA,CD45+TCRB+,,c57bl,2 weeks,liver lymph nodes,MCDD,SRA,LLN T  MCDD 1,https://www.ncbi.nlm.nih.gov/sra?term=SRX10421468,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5203nnn/GSM5203169/suppl/GSM5203169_AB10020.txt.gz,Sample 5_AB10020
GSM5203170,,,liver lymph nodes,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,T,,,NA,CD45+TCRB+,,c57bl,2 weeks,liver lymph nodes,ND,SRA,LLN T ND 3,https://www.ncbi.nlm.nih.gov/sra?term=SRX10421469,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5203nnn/GSM5203170/suppl/GSM5203170_AB10506.txt.gz,Sample 6_AB10506
GSM5203171,,,liver lymph nodes,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,T,,,NA,CD45+TCRB+,,c57bl,2 weeks,liver lymph nodes,ND,SRA,LLN T ND 4,https://www.ncbi.nlm.nih.gov/sra?term=SRX10421470,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5203nnn/GSM5203171/suppl/GSM5203171_AB10507.txt.gz,Sample 7_AB10507
GSM5203172,,,liver lymph nodes,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,T,,,NA,CD45+TCRB+,,c57bl,2 weeks,liver lymph nodes,ND,SRA,LLN T ND 5,https://www.ncbi.nlm.nih.gov/sra?term=SRX10421471,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5203nnn/GSM5203172/suppl/GSM5203172_AB10508.txt.gz,Sample 8_AB10508
GSM5203173,,,liver lymph nodes,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,cDC,,,NA,CD45+Lin-MHC-II+CD11c+,,c57bl,2 weeks,liver lymph nodes,ND,SRA,LLN DC ND 2,https://www.ncbi.nlm.nih.gov/sra?term=SRX10421472,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5203nnn/GSM5203173/suppl/GSM5203173_AB10509.txt.gz,Sample 9_AB10509
GSM5203174,,,liver lymph nodes,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,cDC,,,NA,CD45+Lin-MHC-II+CD11c+,,c57bl,2 weeks,liver lymph nodes,ND,SRA,LLN DC ND 3,https://www.ncbi.nlm.nih.gov/sra?term=SRX10421473,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5203nnn/GSM5203174/suppl/GSM5203174_AB10510.txt.gz,Sample 10_AB10510
