gsm,canon__disease,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__condition,raw__tissue,raw__tissue/cell type,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM5277644,Healthy,Liver,,Illumina NextSeq 500,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL18573,Healthy,Liver,,,SRA,Human liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756652,,Healthy_1
GSM5277645,Healthy,Liver,,Illumina NextSeq 500,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL18573,Healthy,Liver,,,SRA,Human liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756653,,Healthy_2
GSM5277646,Healthy,Liver,,Illumina NextSeq 500,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL18573,Healthy,Liver,,,SRA,Human liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756654,,Healthy_3
GSM5277647,Healthy,Liver,,Illumina NextSeq 500,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL18573,Healthy,Liver,,,SRA,Human liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756655,,Healthy_4
GSM5277648,NASH,Liver,,Illumina NextSeq 500,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL18573,NASH,Liver,,,SRA,Human liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756656,,NASH_5
GSM5277649,NASH,Liver,,Illumina NextSeq 500,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL18573,NASH,Liver,,,SRA,Human liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756657,,NASH_6
GSM5277650,NASH,Liver,,Illumina NextSeq 500,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL18573,NASH,Liver,,,SRA,Human liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756658,,NASH_7
GSM5277651,NASH,Liver,,Illumina NextSeq 500,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL18573,NASH,Liver,,,SRA,Human liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756659,,NASH_8
GSM5277652,BSA,FL83B hepatocytes,,Illumina NextSeq 500,other,genomic,ATAC-seq,genomic DNA,Mus musculus,GPL19057,BSA,FL83B hepatocytes,,,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756660,,BSA_1
GSM5277653,BSA,FL83B hepatocytes,,Illumina NextSeq 500,other,genomic,ATAC-seq,genomic DNA,Mus musculus,GPL19057,BSA,FL83B hepatocytes,,,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756661,,BSA_2
GSM5277654,BSA,FL83B hepatocytes,,Illumina NextSeq 500,other,genomic,ATAC-seq,genomic DNA,Mus musculus,GPL19057,BSA,FL83B hepatocytes,,,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756662,,BSA_3
GSM5277655,PAL,FL83B hepatocytes,,Illumina NextSeq 500,other,genomic,ATAC-seq,genomic DNA,Mus musculus,GPL19057,PAL,FL83B hepatocytes,,,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756663,,PAL_1
GSM5277656,PAL,FL83B hepatocytes,,Illumina NextSeq 500,other,genomic,ATAC-seq,genomic DNA,Mus musculus,GPL19057,PAL,FL83B hepatocytes,,,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756664,,PAL_2
GSM5277657,PAL,FL83B hepatocytes,,Illumina NextSeq 500,other,genomic,ATAC-seq,genomic DNA,Mus musculus,GPL19057,PAL,FL83B hepatocytes,,,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756665,,PAL_3
GSM5277658,Healthy,,none,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Healthy,,Liver,none,SRA,Human liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756533,,RNA-seq_Healthy_1
GSM5277659,Healthy,,none,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Healthy,,Liver,none,SRA,Human liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756534,,RNA-seq_Healthy_2
GSM5277660,Healthy,,none,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Healthy,,Liver,none,SRA,Human liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756535,,RNA-seq_Healthy_3
GSM5277661,Healthy,,none,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Healthy,,Liver,none,SRA,Human liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756536,,RNA-seq_Healthy_4
GSM5277662,NASH,,none,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,NASH,,Liver,none,SRA,Human liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756537,,RNA-seq_NASH_5
GSM5277663,NASH,,none,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,NASH,,Liver,none,SRA,Human liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756538,,RNA-seq_NASH_6
GSM5277664,NASH,,none,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,NASH,,Liver,none,SRA,Human liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756539,,RNA-seq_NASH_7
GSM5277665,NASH,,none,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,NASH,,Liver,none,SRA,Human liver tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756540,,RNA-seq_NASH_8
GSM5277666,BSA,,none,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL19057,BSA,,FL83B hepatocytes,none,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756541,,RNA-seq_BSA_1
GSM5277667,BSA,,none,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL19057,BSA,,FL83B hepatocytes,none,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756542,,RNA-seq_BSA_2
GSM5277668,BSA,,none,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL19057,BSA,,FL83B hepatocytes,none,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756543,,RNA-seq_BSA_3
GSM5277669,PAL,,none,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL19057,PAL,,FL83B hepatocytes,none,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756544,,RNA-seq_PAL_1
GSM5277670,PAL,,none,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL19057,PAL,,FL83B hepatocytes,none,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756545,,RNA-seq_PAL_2
GSM5277671,PAL,,none,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL19057,PAL,,FL83B hepatocytes,none,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756546,,RNA-seq_PAL_3
GSM5277672,BSA,,non-targeting sgRNA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,BSA,,FL83B hepatocytes,non-targeting sgRNA,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756547,,RNA-seq_CON_1_J78.3
GSM5277673,BSA,,non-targeting sgRNA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,BSA,,FL83B hepatocytes,non-targeting sgRNA,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756548,,RNA-seq_CON_2_J78.3
GSM5277674,BSA,,non-targeting sgRNA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,BSA,,FL83B hepatocytes,non-targeting sgRNA,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756549,,RNA-seq_CON_3_J78.3
GSM5277675,BSA,,Tcf4 sgRNA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,BSA,,FL83B hepatocytes,Tcf4 sgRNA,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756550,,RNA-seq_TCF4-KO_4
GSM5277676,BSA,,Tcf4 sgRNA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,BSA,,FL83B hepatocytes,Tcf4 sgRNA,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756551,,RNA-seq_TCF4-KO_5
GSM5277677,BSA,,Tcf4 sgRNA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,BSA,,FL83B hepatocytes,Tcf4 sgRNA,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756552,,RNA-seq_TCF4-KO_6
GSM5277678,PAL,,non-targeting sgRNA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,PAL,,FL83B hepatocytes,non-targeting sgRNA,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756553,,RNA-seq_CON_PAL_7_J78.3
GSM5277679,PAL,,non-targeting sgRNA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,PAL,,FL83B hepatocytes,non-targeting sgRNA,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756554,,RNA-seq_CON_PAL_8_J78.3
GSM5277680,PAL,,non-targeting sgRNA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,PAL,,FL83B hepatocytes,non-targeting sgRNA,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756555,,RNA-seq_CON_PAL_9_J78.3
GSM5277681,PAL,,Tcf4 sgRNA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,PAL,,FL83B hepatocytes,Tcf4 sgRNA,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756556,,RNA-seq_TCF4-KO_PAL_10
GSM5277682,PAL,,Tcf4 sgRNA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,PAL,,FL83B hepatocytes,Tcf4 sgRNA,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756557,,RNA-seq_TCF4-KO_PAL_11
GSM5277683,PAL,,Tcf4 sgRNA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,PAL,,FL83B hepatocytes,Tcf4 sgRNA,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756558,,RNA-seq_TCF4-KO_PAL_12
GSM5277684,BSA,,non-targeting sgRNA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,BSA,,FL83B hepatocytes,non-targeting sgRNA,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756559,,RNA-seq_CON_1_J78.4
GSM5277685,BSA,,non-targeting sgRNA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,BSA,,FL83B hepatocytes,non-targeting sgRNA,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756560,,RNA-seq_CON_2_J78.4
GSM5277686,BSA,,non-targeting sgRNA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,BSA,,FL83B hepatocytes,non-targeting sgRNA,SRA,Mouse hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756561,,RNA-seq_CON_3_J78.4
