gsm,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__treatm_4day_full_info,raw__treatm_code,sample_type,source_name,sra_relation,supplementary_files,title
GSM5416895,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Unstimulated Control,U,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346882,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416895/suppl/GSM5416895_s104188-001-001.counts.tsv.gz,s104188-001-001
GSM5416896,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Unstimulated Control,U,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346883,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416896/suppl/GSM5416896_s104188-001-002.counts.tsv.gz,s104188-001-002
GSM5416897,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Unstimulated Control,U,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346884,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416897/suppl/GSM5416897_s104188-001-003.counts.tsv.gz,s104188-001-003
GSM5416898,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Unstimulated Control,U,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346885,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416898/suppl/GSM5416898_s104188-001-004.counts.tsv.gz,s104188-001-004
GSM5416899,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Unstimulated Control,U,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346886,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416899/suppl/GSM5416899_s104188-001-005.counts.tsv.gz,s104188-001-005
GSM5416900,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Unstimulated Control,U,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346887,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416900/suppl/GSM5416900_s104188-001-006.counts.tsv.gz,s104188-001-006
GSM5416901,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TGF-β1 (2 ng/mL),T,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346888,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416901/suppl/GSM5416901_s104188-001-008.counts.tsv.gz,s104188-001-008
GSM5416902,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TGF-β1 (2 ng/mL),T,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346889,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416902/suppl/GSM5416902_s104188-001-009.counts.tsv.gz,s104188-001-009
GSM5416903,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TGF-β1 (2 ng/mL),T,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346890,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416903/suppl/GSM5416903_s104188-001-010.counts.tsv.gz,s104188-001-010
GSM5416904,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TGF-β1 (2 ng/mL),T,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346891,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416904/suppl/GSM5416904_s104188-001-011.counts.tsv.gz,s104188-001-011
GSM5416905,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TGF-β1 (2 ng/mL),T,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346892,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416905/suppl/GSM5416905_s104188-001-012.counts.tsv.gz,s104188-001-012
GSM5416906,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TGF-β1 (2 ng/mL),T,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346893,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416906/suppl/GSM5416906_s104188-001-013.counts.tsv.gz,s104188-001-013
GSM5416907,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TGF-β1 (2 ng/mL),T,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346894,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416907/suppl/GSM5416907_s104188-001-014.counts.tsv.gz,s104188-001-014
GSM5416908,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TGF-β1 (2 ng/mL),T,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346895,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416908/suppl/GSM5416908_s104188-001-015.counts.tsv.gz,s104188-001-015
GSM5416909,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TGF-β1 (2 ng/mL) + Sodium Butyrate (1mM),TB,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346896,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416909/suppl/GSM5416909_s104188-001-016.counts.tsv.gz,s104188-001-016
GSM5416910,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TGF-β1 (2 ng/mL) + Sodium Butyrate (1mM),TB,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346897,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416910/suppl/GSM5416910_s104188-001-017.counts.tsv.gz,s104188-001-017
GSM5416911,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TGF-β1 (2 ng/mL) + Sodium Butyrate (1mM),TB,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346898,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416911/suppl/GSM5416911_s104188-001-018.counts.tsv.gz,s104188-001-018
GSM5416912,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TGF-β1 (2 ng/mL) + Sodium Butyrate (1mM),TB,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346899,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416912/suppl/GSM5416912_s104188-001-019.counts.tsv.gz,s104188-001-019
GSM5416913,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TGF-β1 (2 ng/mL) + Sodium Butyrate (1mM),TB,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346900,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416913/suppl/GSM5416913_s104188-001-020.counts.tsv.gz,s104188-001-020
GSM5416914,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TGF-β1 (2 ng/mL) + Sodium Butyrate (1mM),TB,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346901,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416914/suppl/GSM5416914_s104188-001-021.counts.tsv.gz,s104188-001-021
GSM5416915,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TGF-β1 (2 ng/mL) + Sodium Butyrate (1mM),TB,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346902,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416915/suppl/GSM5416915_s104188-001-022.counts.tsv.gz,s104188-001-022
GSM5416916,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TGF-β1 (2 ng/mL) + Sodium Butyrate (1mM),TB,SRA,Primary human hepatic stellate cells (HSC),https://www.ncbi.nlm.nih.gov/sra?term=SRX11346903,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5416nnn/GSM5416916/suppl/GSM5416916_s104188-001-023.counts.tsv.gz,s104188-001-023
