gsm,canon__disease,canon__sex,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__Sex,raw__cell type,raw__differentiation status,raw__disease state,raw__rna isolation method,sample_type,source_name,sra_relation,supplementary_files,title
GSM5474274,healthy human liver,female,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,female,hepatic organoids,12d hepatic differentiation of biliary organoids,healthy human liver,total RNA isolated by TRIZOL procedure,SRA,"FDD healthy female  liver, deceased donor",https://www.ncbi.nlm.nih.gov/sra?term=SRX11559697,,1 FDD p5
GSM5474275,healthy human liver,female,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,female,hepatic organoids,12d hepatic differentiation of biliary organoids,healthy human liver,total RNA isolated by TRIZOL procedure,SRA,"FDD healthy female  liver, deceased donor",https://www.ncbi.nlm.nih.gov/sra?term=SRX11559698,,2 FDD p5
GSM5474276,healthy human liver,female,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,female,hepatic organoids,12d hepatic differentiation of biliary organoids,healthy human liver,total RNA isolated by TRIZOL procedure,SRA,"FDD healthy female  liver, deceased donor",https://www.ncbi.nlm.nih.gov/sra?term=SRX11559699,,3 FDD p5
GSM5474277,healthy human liver,female,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,female,hepatic organoids,12d hepatic differentiation of biliary organoids,healthy human liver,total RNA isolated by TRIZOL procedure,SRA,"FDD healthy female  liver,  deceased donor",https://www.ncbi.nlm.nih.gov/sra?term=SRX11559700,,4 FDD after second differentiation final p8
GSM5474278,healthy human liver,female,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,female,hepatic organoids,12d hepatic differentiation of biliary organoids,healthy human liver,total RNA isolated by TRIZOL procedure,SRA,"FDD healthy female  liver,  deceased donor",https://www.ncbi.nlm.nih.gov/sra?term=SRX11559701,,5 FDD after second differentiation final p8
GSM5474279,healthy human liver,female,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,female,hepatic organoids,12d hepatic differentiation of biliary organoids,healthy human liver,total RNA isolated by TRIZOL procedure,SRA,"FDD healthy female  liver,  deceased donor",https://www.ncbi.nlm.nih.gov/sra?term=SRX11559702,,6 FDD after second differentiation final p8
GSM5474280,healthy human liver,female,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,female,hepatic organoids,12d hepatic differentiation of biliary organoids,healthy human liver,total RNA isolated by TRIZOL procedure,SRA,"FDD healthy female  liver,  living donor",https://www.ncbi.nlm.nih.gov/sra?term=SRX11559703,,7 FLD p5
GSM5474281,healthy human liver,female,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,female,hepatic organoids,12d hepatic differentiation of biliary organoids,healthy human liver,total RNA isolated by TRIZOL procedure,SRA,"FDD healthy female  liver,  living donor",https://www.ncbi.nlm.nih.gov/sra?term=SRX11559704,,8 FLD p5
GSM5474282,healthy human liver,female,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,female,hepatic organoids,12d hepatic differentiation of biliary organoids,healthy human liver,total RNA isolated by TRIZOL procedure,SRA,"FDD healthy female  liver,  living donor",https://www.ncbi.nlm.nih.gov/sra?term=SRX11559705,,9 FLD p5
GSM5474283,healthy human liver,female,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,female,hepatic organoids,12d hepatic differentiation of biliary organoids,healthy human liver,total RNA isolated by TRIZOL procedure,SRA,"FDD healthy female  liver,  living donor",https://www.ncbi.nlm.nih.gov/sra?term=SRX11559706,,10 FLD after second differentiation  final p8
