gsm,canon__diagnosis,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell type,raw__diagnosis,raw__diet,raw__donor,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM5643804,,liver,DMSO,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,kupffer,,,1,liver,DMSO,SRA,sorted kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX12724906,,Donor 1 DMSO
GSM5643805,,liver,DPI,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,kupffer,,,1,liver,DPI,SRA,sorted kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX12724907,,Donor 1 DPI
GSM5643806,,liver,DMSO,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,kupffer,,,2,liver,DMSO,SRA,sorted kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX12724908,,Donor 2 DMSO
GSM5643807,,liver,DPI,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,kupffer,,,2,liver,DPI,SRA,sorted kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX12724909,,Donor 2 DPI
GSM5643808,,liver,n/a,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL13112,kupffer,,normal,,liver,n/a,SRA,sorted kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX12724896,,KC from normal diet mouse 1
GSM5643809,,liver,n/a,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL13112,kupffer,,normal,,liver,n/a,SRA,sorted kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX12724897,,KC from normal diet mouse 2
GSM5643810,,liver,vehicle,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL13112,kupffer,,HFD,,liver,vehicle,SRA,sorted kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX12724898,,KC from HFD mouse 1 treated with Vehicle
GSM5643811,,liver,vehicle,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL13112,kupffer,,HFD,,liver,vehicle,SRA,sorted kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX12724899,,KC from HFD mouse 2 treated with Vehicle
GSM5643812,,liver,vehicle,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL13112,kupffer,,HFD,,liver,vehicle,SRA,sorted kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX12724900,,KC from HFD mouse 3 treated with Vehicle
GSM5643813,,liver,DPI,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL13112,kupffer,,HFD,,liver,DPI,SRA,sorted kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX12724901,,KC from HFD mouse 1 treated with DPI
GSM5643814,,liver,DPI,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL13112,kupffer,,HFD,,liver,DPI,SRA,sorted kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX12724902,,KC from HFD mouse 2 treated with DPI
GSM5643815,,liver,DPI,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL13112,kupffer,,HFD,,liver,DPI,SRA,sorted kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX12724903,,KC from HFD mouse 3 treated with DPI
GSM5643816,,liver,DPI,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL13112,kupffer,,HFD,,liver,DPI,SRA,sorted kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX12724904,,KC from HFD mouse 4 treated with DPI
