gsm,canon__age,canon__disease,canon__ethnicity,canon__sex,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__Sex,raw__age,raw__disease state,raw__genotype,raw__race,raw__strain,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM5704309,,,,,whole liver,Normal chow for 3 months,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,,,,,C57BL/6J,whole liver,Normal chow for 3 months,SRA,whole liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13234439,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5704nnn/GSM5704309/suppl/GSM5704309_snRNAseq_3moNC_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5704nnn/GSM5704309/suppl/GSM5704309_snRNAseq_3moNC_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5704nnn/GSM5704309/suppl/GSM5704309_snRNAseq_3moNC_matrix.mtx.gz,snRNA-seq_NC_3mo
GSM5704310,,,,,whole liver,Normal chow for 9 months,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,,,,,C57BL/6J,whole liver,Normal chow for 9 months,SRA,whole liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13234440,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5704nnn/GSM5704310/suppl/GSM5704310_snRNAseq_9moNC_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5704nnn/GSM5704310/suppl/GSM5704310_snRNAseq_9moNC_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5704nnn/GSM5704310/suppl/GSM5704310_snRNAseq_9moNC_matrix.mtx.gz,snRNA-seq_NC_9mo
GSM5704311,,,,,whole liver,modified ALIOS diet for 3 months,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,,,,,C57BL/6J,whole liver,modified ALIOS diet for 3 months,SRA,whole liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13234441,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5704nnn/GSM5704311/suppl/GSM5704311_snRNAseq_3moNASH_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5704nnn/GSM5704311/suppl/GSM5704311_snRNAseq_3moNASH_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5704nnn/GSM5704311/suppl/GSM5704311_snRNAseq_3moNASH_matrix.mtx.gz,snRNA-seq_ALIOS_3mo
GSM5704312,,,,,whole liver,modified ALIOS diet for 9 months,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,,,,,C57BL/6J,whole liver,modified ALIOS diet for 9 months,SRA,whole liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13234442,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5704nnn/GSM5704312/suppl/GSM5704312_snRNAseq_9moNASH_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5704nnn/GSM5704312/suppl/GSM5704312_snRNAseq_9moNASH_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5704nnn/GSM5704312/suppl/GSM5704312_snRNAseq_9moNASH_matrix.mtx.gz,snRNA-seq_ALIOS_9mo
GSM5704313,,,,,whole liver,Normal chow for 3 months,Illumina NovaSeq 6000,other,genomic,ATAC-seq,genomic DNA,Mus musculus,GPL24247,,,,,,C57BL/6J,whole liver,Normal chow for 3 months,SRA,whole liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13234443,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5704nnn/GSM5704313/suppl/GSM5704313_snATACseq_3moNC_rep1_fragments.tsv.gz,snATAC-seq_NC_3mo_rep1
GSM5704314,,,,,whole liver,Normal chow for 3 months,Illumina NovaSeq 6000,other,genomic,ATAC-seq,genomic DNA,Mus musculus,GPL24247,,,,,,C57BL/6J,whole liver,Normal chow for 3 months,SRA,whole liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13234444,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5704nnn/GSM5704314/suppl/GSM5704314_snATACseq_3moNC_rep2_fragments.tsv.gz,snATAC-seq_NC_3mo_rep2
GSM5704315,,,,,whole liver,Normal chow for 9 months,Illumina NovaSeq 6000,other,genomic,ATAC-seq,genomic DNA,Mus musculus,GPL24247,,,,,,C57BL/6J,whole liver,Normal chow for 9 months,SRA,whole liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13234445,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5704nnn/GSM5704315/suppl/GSM5704315_snATACseq_9moNC_fragments.tsv.gz,snATAC-seq_NC_9mo
GSM5704316,,,,,whole liver,modified ALIOS diet for 3 months,Illumina NovaSeq 6000,other,genomic,ATAC-seq,genomic DNA,Mus musculus,GPL24247,,,,,,C57BL/6J,whole liver,modified ALIOS diet for 3 months,SRA,whole liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13234446,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5704nnn/GSM5704316/suppl/GSM5704316_snATACseq_3moNASH_fragments.tsv.gz,snATAC-seq_ALIOS_3mo
GSM5704317,,,,,whole liver,modified ALIOS diet for 9 months,Illumina NovaSeq 6000,other,genomic,ATAC-seq,genomic DNA,Mus musculus,GPL24247,,,,,,C57BL/6J,whole liver,modified ALIOS diet for 9 months,SRA,whole liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13234447,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5704nnn/GSM5704317/suppl/GSM5704317_snATACseq_9moNASH_fragments.tsv.gz,snATAC-seq_ALIOS_9mo
GSM5704321,,,,,whole liver,injected with AAV8-TBG-GFP,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,,,control,,C57BL/6J,whole liver,injected with AAV8-TBG-GFP,SRA,whole liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13234451,,RNA-seq_GFP_liver_rep1
GSM5704322,,,,,whole liver,injected with AAV8-TBG-GFP,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,,,control,,C57BL/6J,whole liver,injected with AAV8-TBG-GFP,SRA,whole liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13234452,,RNA-seq_GFP_liver_rep2
GSM5704323,,,,,whole liver,injected with AAV8-TBG-GFP,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,,,control,,C57BL/6J,whole liver,injected with AAV8-TBG-GFP,SRA,whole liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13234453,,RNA-seq_GFP_liver_rep3
GSM5704324,,,,,whole liver,injected with AAV8-TBG-Ephb2,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,,,force expression of Ephb2,,C57BL/6J,whole liver,injected with AAV8-TBG-Ephb2,SRA,whole liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13234454,,RNA-seq_Ephb2_liver_rep1
