gsm,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__digestion method,raw__number of added abs,raw__number of cells,raw__platform,raw__shortfilename,raw__strain,sample_type,source_name,sra_relation,supplementary_files,title
GSM5764242,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,3347,10x Genomics – v3,ABU11,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549161,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764242/suppl/GSM5764242_filtered_feature_bc_matrix_ABU11.h5,Healthy Mouse Liver Nuclei_Mouse_001_Sample_001
GSM5764243,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,1386,10x Genomics – v3,ABU12,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549162,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764243/suppl/GSM5764243_filtered_feature_bc_matrix_ABU12.h5,Healthy Mouse Liver Nuclei_Mouse_001_Sample_002
GSM5764244,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,1320,10x Genomics – v3,ABU13,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549163,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764244/suppl/GSM5764244_filtered_feature_bc_matrix_ABU13.h5,Healthy Mouse Liver Nuclei_Mouse_001_Sample_003
GSM5764245,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,2330,10x Genomics – v3.1,ABU17,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549164,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764245/suppl/GSM5764245_filtered_feature_bc_matrix_ABU17.h5,Healthy Mouse Liver Nuclei_Mouse_002_Sample_001
GSM5764246,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,732,10x Genomics – v3.1,ABU18,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549165,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764246/suppl/GSM5764246_filtered_feature_bc_matrix_ABU18.h5,Healthy Mouse Liver Nuclei_Mouse_003_Sample_001
GSM5764247,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,3641,10x Genomics – v3.1,ABU19,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549166,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764247/suppl/GSM5764247_filtered_feature_bc_matrix_ABU19.h5,Healthy Mouse Liver Nuclei_Mouse_002_Sample_002
GSM5764248,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,95,10x Genomics – v3,ABU1,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549167,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764248/suppl/GSM5764248_filtered_feature_bc_matrix_ABU1.h5,Healthy Mouse Liver Nuclei_Mouse_004_Sample_001
GSM5764249,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,8771,10x Genomics – v3.1,ABU20,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549168,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764249/suppl/GSM5764249_filtered_feature_bc_matrix_ABU20.h5,Healthy Mouse Liver Nuclei_Mouse_003_Sample_002
GSM5764250,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,11015,10x Genomics – v3.1,ABU21,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549169,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764250/suppl/GSM5764250_filtered_feature_bc_matrix_ABU21.h5,Healthy Mouse Liver Capsule Nuclei_Mouse_001_Sample_001
GSM5764251,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,1239,10x Genomics – v3,ABU2,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549170,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764251/suppl/GSM5764251_filtered_feature_bc_matrix_ABU2.h5,Healthy Mouse Liver Nuclei_Mouse_004_Sample_002
