gsm,canon__disease,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__condition,raw__number of added abs,raw__number of spots,raw__platform,raw__shortfilename,raw__strain,sample_type,source_name,sra_relation,supplementary_files,title
GSM5764414,StSt,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,StSt,0,1646,10x Visium,JBO001,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549293,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764414/suppl/GSM5764414_filtered_feature_bc_matrix_JBO001.h5 | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764414/suppl/GSM5764414_scalefactors_json_JBO001.json.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764414/suppl/GSM5764414_tissue_hires_image_JBO001.png.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764414/suppl/GSM5764414_tissue_lowres_image_JBO001.png.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764414/suppl/GSM5764414_tissue_positions_list_JBO001.csv.gz,Healthy Mouse Liver_Mouse_001_Sample_001
GSM5764415,StSt,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,StSt,0,1651,10x Visium,JBO002,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549294,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764415/suppl/GSM5764415_filtered_feature_bc_matrix_JBO002.h5 | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764415/suppl/GSM5764415_scalefactors_json_JBO002.json.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764415/suppl/GSM5764415_tissue_hires_image_JBO002.png.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764415/suppl/GSM5764415_tissue_lowres_image_JBO002.png.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764415/suppl/GSM5764415_tissue_positions_list_JBO002.csv.gz,Healthy Mouse Liver_Mouse_001_Sample_002
GSM5764416,StSt,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,StSt,0,1604,10x Visium,JBO003,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549295,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764416/suppl/GSM5764416_filtered_feature_bc_matrix_JBO003.h5 | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764416/suppl/GSM5764416_scalefactors_json_JBO003.json.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764416/suppl/GSM5764416_tissue_hires_image_JBO003.png.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764416/suppl/GSM5764416_tissue_lowres_image_JBO003.png.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764416/suppl/GSM5764416_tissue_positions_list_JBO003.csv.gz,Healthy Mouse Liver_Mouse_001_Sample_003
GSM5764417,StSt,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,StSt,0,2286,10x Visium,JBO004,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549296,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764417/suppl/GSM5764417_filtered_feature_bc_matrix_JBO004.h5 | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764417/suppl/GSM5764417_scalefactors_json_JBO004.json.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764417/suppl/GSM5764417_tissue_hires_image_JBO004.png.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764417/suppl/GSM5764417_tissue_lowres_image_JBO004.png.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764417/suppl/GSM5764417_tissue_positions_list_JBO004.csv.gz,Healthy Mouse Liver_Mouse_001_Sample_004
GSM5764418,StSt,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,StSt,0,438,10x Visium,CAP002,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549297,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764418/suppl/GSM5764418_filtered_feature_bc_matrix_CAP002.h5 | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764418/suppl/GSM5764418_scalefactors_json_CAP002.json.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764418/suppl/GSM5764418_tissue_hires_image_CAP002.png.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764418/suppl/GSM5764418_tissue_lowres_image_CAP002.png.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764418/suppl/GSM5764418_tissue_positions_list_CAP002.csv.gz,Healthy Mouse Liver Capsule_Mouse_002_Sample_001
GSM5764419,SD,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,SD,0,1279,10x Visium,JBO006,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549298,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764419/suppl/GSM5764419_filtered_feature_bc_matrix_JBO006.h5 | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764419/suppl/GSM5764419_scalefactors_json_JBO006.json.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764419/suppl/GSM5764419_tissue_hires_image_JBO006.png.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764419/suppl/GSM5764419_tissue_lowres_image_JBO006.png.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764419/suppl/GSM5764419_tissue_positions_list_JBO006.csv.gz,Standard diet fed (36 weeks) Mouse Liver_Mouse_001_Sample_001
GSM5764420,WD,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,WD,0,2348,10x Visium,JBO009,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549299,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764420/suppl/GSM5764420_filtered_feature_bc_matrix_JBO009.h5 | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764420/suppl/GSM5764420_scalefactors_json_JBO009.json.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764420/suppl/GSM5764420_tissue_hires_image_JBO009.png.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764420/suppl/GSM5764420_tissue_lowres_image_JBO009.png.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764420/suppl/GSM5764420_tissue_positions_list_JBO009.csv.gz,Western diet fed (36 weeks) Mouse Liver_Mouse_001_Sample_001
GSM5764421,WD,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,WD,0,2076,10x Visium,JBO010,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549300,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764421/suppl/GSM5764421_filtered_feature_bc_matrix_JBO010.h5 | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764421/suppl/GSM5764421_scalefactors_json_JBO010.json.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764421/suppl/GSM5764421_tissue_hires_image_JBO010.png.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764421/suppl/GSM5764421_tissue_lowres_image_JBO010.png.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764421/suppl/GSM5764421_tissue_positions_list_JBO010.csv.gz,Western diet fed (36 weeks) Mouse Liver_Mouse_002_Sample_001
GSM5764422,WD,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,WD,0,2254,10x Visium,JBO012,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549301,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764422/suppl/GSM5764422_filtered_feature_bc_matrix_JBO012.h5 | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764422/suppl/GSM5764422_scalefactors_json_JBO012.json.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764422/suppl/GSM5764422_tissue_hires_image_JBO012.png.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764422/suppl/GSM5764422_tissue_lowres_image_JBO012.png.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764422/suppl/GSM5764422_tissue_positions_list_JBO012.csv.gz,Western diet fed (36 weeks) Mouse Liver_Mouse_002_Sample_002
GSM5764423,StSt,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,StSt,100,1708,10x Visium,BH001,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549302,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764423/suppl/GSM5764423_counts_ADT_BH001.csv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764423/suppl/GSM5764423_filtered_feature_bc_matrix_BH001.h5 | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764423/suppl/GSM5764423_scalefactors_json_BH001.json.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764423/suppl/GSM5764423_tissue_hires_image_BH001.png.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764423/suppl/GSM5764423_tissue_lowres_image_BH001.png.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764423/suppl/GSM5764423_tissue_positions_list_BH001.csv.gz,Healthy Mouse Liver_ with Abs_Mouse_002_Sample_001
