gsm,canon__age,canon__disease,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__age,raw__chip antibody,raw__diet,raw__disease state,raw__genotype,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM5916335,4 months,,liver,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL19057,4 months,,"Normal, 8 wks",,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280043,,RNA Seq ND8 rep1
GSM5916336,4 months,,liver,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL19057,4 months,,"Normal, 8 wks",,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280044,,RNA Seq ND8 rep2
GSM5916337,4 months,,liver,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL19057,4 months,,"Normal, 8 wks",,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280045,,RNA Seq ND8 rep3
GSM5916338,4 months,,liver,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL19057,4 months,,"Normal, 8 wks",,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280046,,RNA Seq ND8 rep4
GSM5916339,4 months,,liver,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL19057,4 months,,"Western, 8 wks",,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280047,,RNA Seq WD8 rep1
GSM5916340,4 months,,liver,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL19057,4 months,,"Western, 8 wks",,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280048,,RNA Seq WD8 rep2
GSM5916341,4 months,,liver,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL19057,4 months,,"Western, 8 wks",,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280049,,RNA Seq WD8 rep3
GSM5916342,5 months,,liver,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL19057,5 months,,"Western, 8 wks",,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280050,,RNA Seq WD8 rep4
GSM5916343,5 months,,liver,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL19057,5 months,,"Normal, 12 wks",,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280051,,RNA Seq ND12 rep1
GSM5916344,5 months,,liver,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL19057,5 months,,"Normal, 12 wks",,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280052,,RNA Seq ND12 rep2
GSM5916345,5 months,,liver,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL19057,5 months,,"Normal, 12 wks",,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280053,,RNA Seq ND12 rep3
GSM5916346,5 months,,liver,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL19057,5 months,,"Normal, 12 wks",,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280054,,RNA Seq ND12 rep4
GSM5916347,5 months,,liver,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL19057,5 months,,"Western, 12 wks",,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280055,,RNA Seq WD12 rep1
GSM5916348,5 months,,liver,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL19057,5 months,,"Western, 12 wks",,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280056,,RNA Seq WD12 rep2
GSM5916349,5 months,,liver,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL19057,5 months,,"Western, 12 wks",,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280057,,RNA Seq WD12 rep3
GSM5916350,4 months,,liver,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,genomic DNA,Mus musculus,GPL19057,4 months,Foxa2,Normal,,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280058,,Foxa2 ChIP ND rep1
GSM5916351,5 months,,liver,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,genomic DNA,Mus musculus,GPL19057,5 months,Foxa2,Normal,,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280067,,Foxa2 ChIP ND rep2
GSM5916352,4 months,,liver,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,genomic DNA,Mus musculus,GPL19057,4 months,Foxa2,"Western, 8 wks",,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280068,,Foxa2 ChIP WD8 rep1
GSM5916353,4 months,,liver,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,genomic DNA,Mus musculus,GPL19057,4 months,Foxa2,"Western, 8 wks",,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280069,,Foxa2 ChIP WD8 rep2
GSM5916354,5 months,,liver,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,genomic DNA,Mus musculus,GPL19057,5 months,Foxa2,"Western, 12 wks",,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280070,,Foxa2 ChIP WD12 rep1
GSM5916355,5 months,,liver,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,genomic DNA,Mus musculus,GPL19057,5 months,Foxa2,"Western, 12 wks",,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280071,,Foxa2 ChIP WD12 rep2
GSM5916356,4 months,,liver,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,genomic DNA,Mus musculus,GPL19057,4 months,Lamin B1,Normal,,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280072,,Lamin B1 ChIP ND8 rep1
GSM5916357,4 months,,liver,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,genomic DNA,Mus musculus,GPL19057,4 months,Lamin B1,Normal,,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280073,,Lamin B1 ChIP ND8 rep2
GSM5916358,5 months,,liver,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,genomic DNA,Mus musculus,GPL19057,5 months,Lamin B1,Normal,,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280074,,Lamin B1 ChIP ND12 rep1
GSM5916359,5 months,,liver,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,genomic DNA,Mus musculus,GPL19057,5 months,Lamin B1,Normal,,WT,liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14280075,,Lamin B1 ChIP ND12 rep2
