gsm,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell type,raw__differentiation days,raw__differentiation stage,raw__donor weight,raw__replicate,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM5946077,control,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Induced pluripotent stem cells differentiated into hepatocytes,0,1,normal,1,control,SRA,Induced pluripotent stem cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX14433843,,"stage 1, control, normal, replicate 1"
GSM5946078,control,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Induced pluripotent stem cells differentiated into hepatocytes,0,1,normal,2,control,SRA,Induced pluripotent stem cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX14433844,,"stage 1, control, normal, replicate 2"
GSM5946079,control,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Induced pluripotent stem cells differentiated into hepatocytes,0,1,obese,1,control,SRA,Induced pluripotent stem cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX14433845,,"stage 1, control, Obese, replicate 1"
GSM5946080,control,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Induced pluripotent stem cells differentiated into hepatocytes,0,1,obese,2,control,SRA,Induced pluripotent stem cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX14433846,,"stage 1, control, Obese, replicate 2"
GSM5946081,palmitate,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Induced pluripotent stem cells differentiated into hepatocytes,0,1,normal,1,palmitate,SRA,Induced pluripotent stem cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX14433847,,"stage 1, Treated, normal, replicate 1"
GSM5946082,palmitate,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Induced pluripotent stem cells differentiated into hepatocytes,0,1,normal,2,palmitate,SRA,Induced pluripotent stem cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX14433848,,"stage 1, Treated, normal, replicate 2"
GSM5946083,palmitate,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Induced pluripotent stem cells differentiated into hepatocytes,0,1,obese,1,palmitate,SRA,Induced pluripotent stem cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX14433849,,"stage 1, Treated, Obese, replicate 1"
GSM5946084,palmitate,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Induced pluripotent stem cells differentiated into hepatocytes,0,1,obese,2,palmitate,SRA,Induced pluripotent stem cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX14433850,,"stage 1, Treated, Obese, replicate 2"
GSM5946085,control,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Induced pluripotent stem cells differentiated into hepatocytes,6,2,normal,1,control,SRA,Induced pluripotent stem cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX14433851,,"stage 2, control, normal, replicate 1"
GSM5946086,control,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Induced pluripotent stem cells differentiated into hepatocytes,6,2,normal,2,control,SRA,Induced pluripotent stem cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX14433852,,"stage 2, control, normal, replicate 2"
