gsm,canon__sex,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__donor id,raw__gender,raw__sampling,raw__timepoint,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM6032901,Male,Liver,CTRh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TX08,Male,Snap-frozen,24h,Liver,CTRh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778800,,Liver PCLS CTR 24h TX08
GSM6032902,Male,Liver,Gh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TX08,Male,Snap-frozen,24h,Liver,Gh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778825,,Liver PCLS G 24h TX08
GSM6032903,Male,Liver,Fh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TX08,Male,Snap-frozen,24h,Liver,Fh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778826,,Liver PCLS F 24h TX08
GSM6032904,Male,Liver,GFh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TX08,Male,Snap-frozen,24h,Liver,GFh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778827,,Liver PCLS GF 24h TX08
GSM6032905,Male,Liver,GFIh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TX08,Male,Snap-frozen,24h,Liver,GFIh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778828,,Liver PCLS GFI 24h TX08
GSM6032906,Male,Liver,GFIPh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TX08,Male,Snap-frozen,24h,Liver,GFIPh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778829,,Liver PCLS GFIP 24h TX08
GSM6032907,Male,Liver,GFIOh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TX08,Male,Snap-frozen,24h,Liver,GFIOh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778830,,Liver PCLS GFIO 24h TX08
GSM6032908,Male,Liver,CTRh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TX08,Male,Snap-frozen,48h,Liver,CTRh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778831,,Liver PCLS CTR 48h TX08
GSM6032909,Male,Liver,Gh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TX08,Male,Snap-frozen,48h,Liver,Gh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778832,,Liver PCLS G 48h TX08
GSM6032910,Male,Liver,Fh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TX08,Male,Snap-frozen,48h,Liver,Fh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778801,,Liver PCLS F 48h TX08
GSM6032911,Male,Liver,GFh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,TX08,Male,Snap-frozen,48h,Liver,GFh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778802,,Liver PCLS GF 48h TX08
