gsm,canon__disease,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__condition,raw__derived tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM6253326,Co-cultured with HepG2 cells. No treatments with free fatty acid,MinION,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24106,Caco-2,Co-cultured with HepG2 cells. No treatments with free fatty acid,Human intestine,SRA,Caco-2  Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX15790170,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6253nnn/GSM6253326/suppl/GSM6253326_LTC_Caco2_CoCal_Cont.rep1.TPM.txt.gz,LTC_Caco2_CoCal_Cont.rep1
GSM6253327,Co-cultured with HepG2 cells. No treatments with free fatty acid,MinION,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24106,Caco-2,Co-cultured with HepG2 cells. No treatments with free fatty acid,Human intestine,SRA,Caco-2  Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX15790171,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6253nnn/GSM6253327/suppl/GSM6253327_LTC_Caco2_CoCal_Cont.rep2.TPM.txt.gz,LTC_Caco2_CoCal_Cont.rep2
GSM6253328,Co-cultured with HepG2 cells. Treatments with free fatty acid (1 mM),MinION,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24106,Caco-2,Co-cultured with HepG2 cells. Treatments with free fatty acid (1 mM),Human intestine,SRA,Caco-2  Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX15790172,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6253nnn/GSM6253328/suppl/GSM6253328_LTC_Caco2_CoCal_FA.rep1.TPM.txt.gz,LTC_Caco2_CoCal_FA.rep1
GSM6253329,Co-cultured with HepG2 cells. Treatments with free fatty acid (1 mM),MinION,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24106,Caco-2,Co-cultured with HepG2 cells. Treatments with free fatty acid (1 mM),Human intestine,SRA,Caco-2  Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX15790173,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6253nnn/GSM6253329/suppl/GSM6253329_LTC_Caco2_CoCal_FA.rep2.TPM.txt.gz,LTC_Caco2_CoCal_FA.rep2
GSM6253330,No treatments with free fatty acid,MinION,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24106,Caco-2,No treatments with free fatty acid,Human intestine,SRA,Caco-2  Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX15790174,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6253nnn/GSM6253330/suppl/GSM6253330_LTC_Caco2_MonoCal_Cont.rep1.TPM.txt.gz,LTC_Caco2_MonoCal_Cont.rep1
GSM6253331,No treatments with free fatty acid,MinION,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24106,Caco-2,No treatments with free fatty acid,Human intestine,SRA,Caco-2  Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX15790175,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6253nnn/GSM6253331/suppl/GSM6253331_LTC_Caco2_MonoCal_Cont.rep2.TPM.txt.gz,LTC_Caco2_MonoCal_Cont.rep2
GSM6253332,Treatments with free fatty acid (1 mM),MinION,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24106,Caco-2,Treatments with free fatty acid (1 mM),Human intestine,SRA,Caco-2  Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX15790176,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6253nnn/GSM6253332/suppl/GSM6253332_LTC_Caco2_MonoCal_FA.rep1.TPM.txt.gz,LTC_Caco2_MonoCal_FA.rep1
GSM6253333,Treatments with free fatty acid (1 mM),MinION,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24106,Caco-2,Treatments with free fatty acid (1 mM),Human intestine,SRA,Caco-2  Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX15790177,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6253nnn/GSM6253333/suppl/GSM6253333_LTC_Caco2_MonoCal_FA.rep2.TPM.txt.gz,LTC_Caco2_MonoCal_FA.rep2
GSM6253334,Co-cultured with CaCO2 cells. No treatments with free fatty acid,MinION,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24106,HepG2,Co-cultured with CaCO2 cells. No treatments with free fatty acid,Human hepatocellular carcinoma,SRA,Hep G2 Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX15790178,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6253nnn/GSM6253334/suppl/GSM6253334_LTC_HepG2_CoCal_Cont.rep1.TPM.txt.gz,LTC_HepG2_CoCal_Cont.rep1
GSM6253335,Co-cultured with CaCO2 cells. No treatments with free fatty acid,MinION,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24106,HepG2,Co-cultured with CaCO2 cells. No treatments with free fatty acid,Human hepatocellular carcinoma,SRA,Hep G2 Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX15790179,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6253nnn/GSM6253335/suppl/GSM6253335_LTC_HepG2_CoCal_Cont.rep2.TPM.txt.gz,LTC_HepG2_CoCal_Cont.rep2
