gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__genotype,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM6422725,liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,immortalized human hepatocytes (IHH),hepatocytes,WT,liver,Control,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX16743606,,Sample_UJ-3100-w1; Control
GSM6422726,liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,immortalized human hepatocytes (IHH),hepatocytes,WT,liver,Control,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX16743607,,Sample_UJ-3100-w2; Control
GSM6422727,liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,immortalized human hepatocytes (IHH),hepatocytes,WT,liver,Control,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX16743608,,Sample_UJ-3100-w3; Control
GSM6422728,liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,immortalized human hepatocytes (IHH),hepatocytes,WT,liver,Control,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX16743609,,Sample_UJ-3100-w4; Control
GSM6422729,liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,immortalized human hepatocytes (IHH),hepatocytes,WT,liver,Control,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX16743610,,Sample_UJ-3100-w5; Control
GSM6422730,liver,DOX (2uM),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,immortalized human hepatocytes (IHH),hepatocytes,WT,liver,DOX (2uM),SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX16743611,,Sample_UJ-3100-x1; DOX (2uM)
GSM6422731,liver,DOX (2uM),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,immortalized human hepatocytes (IHH),hepatocytes,WT,liver,DOX (2uM),SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX16743612,,Sample_UJ-3100-x2; DOX (2uM)
GSM6422732,liver,DOX (2uM),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,immortalized human hepatocytes (IHH),hepatocytes,WT,liver,DOX (2uM),SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX16743613,,Sample_UJ-3100-x3; DOX (2uM)
GSM6422733,liver,DOX (2uM),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,immortalized human hepatocytes (IHH),hepatocytes,WT,liver,DOX (2uM),SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX16743614,,Sample_UJ-3100-x4; DOX (2uM)
GSM6422734,liver,DOX (2uM),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,immortalized human hepatocytes (IHH),hepatocytes,WT,liver,DOX (2uM),SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX16743615,,Sample_UJ-3100-x5; DOX (2uM)
GSM6422735,liver,Conditioned medium (Ctrl),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,immortalized human hepatocytes (IHH),hepatocytes,WT,liver,Conditioned medium (Ctrl),SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX16743616,,Sample_UJ-3100-y1; Conditioned medium (Ctrl)
