gsm,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__ecm compositions,raw__substrate stiffness,raw__time,sample_type,source_name,sra_relation,supplementary_files,title
GSM6442988,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary Human HSCs,Hepatic Stellate Cells,"Collagen 1, Fibronectin",25kPa,72 hours,SRA,Primary Human HSCs,https://www.ncbi.nlm.nih.gov/sra?term=SRX17023418,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6442nnn/GSM6442988/suppl/GSM6442988_C1FN25_01.csv.gz,C1FN25_01_RNA
GSM6442989,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary Human HSCs,Hepatic Stellate Cells,"Collagen 1, Fibronectin",25kPa,72 hours,SRA,Primary Human HSCs,https://www.ncbi.nlm.nih.gov/sra?term=SRX17023419,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6442nnn/GSM6442989/suppl/GSM6442989_C1FN25_02.csv.gz,C1FN25_02_RNA
GSM6442990,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary Human HSCs,Hepatic Stellate Cells,"Collagen 1, Fibronectin",25kPa,72 hours,SRA,Primary Human HSCs,https://www.ncbi.nlm.nih.gov/sra?term=SRX17023420,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6442nnn/GSM6442990/suppl/GSM6442990_C1FN25_03.csv.gz,C1FN25_03_RNA
GSM6442991,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary Human HSCs,Hepatic Stellate Cells,"Collagen 4, Tenascin C",25kPa,72 hours,SRA,Primary Human HSCs,https://www.ncbi.nlm.nih.gov/sra?term=SRX17023421,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6442nnn/GSM6442991/suppl/GSM6442991_C4TC25_01.csv.gz,C4TC25_01_RNA
GSM6442992,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary Human HSCs,Hepatic Stellate Cells,"Collagen 4, Tenascin C",25kPa,72 hours,SRA,Primary Human HSCs,https://www.ncbi.nlm.nih.gov/sra?term=SRX17023422,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6442nnn/GSM6442992/suppl/GSM6442992_C4TC25_02.csv.gz,C4TC25_02_RNA
GSM6442993,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary Human HSCs,Hepatic Stellate Cells,"Collagen 4, Tenascin C",25kPa,72 hours,SRA,Primary Human HSCs,https://www.ncbi.nlm.nih.gov/sra?term=SRX17023423,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6442nnn/GSM6442993/suppl/GSM6442993_C4TC25_03.csv.gz,C4TC25_03_RNA
GSM6442994,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary Human HSCs,Hepatic Stellate Cells,"Fibronectin, Laminin",25kPa,72 hours,SRA,Primary Human HSCs,https://www.ncbi.nlm.nih.gov/sra?term=SRX17023424,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6442nnn/GSM6442994/suppl/GSM6442994_FNLN25_01.csv.gz,FNLN25_01_RNA
GSM6442995,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary Human HSCs,Hepatic Stellate Cells,"Fibronectin, Laminin",25kPa,72 hours,SRA,Primary Human HSCs,https://www.ncbi.nlm.nih.gov/sra?term=SRX17023425,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6442nnn/GSM6442995/suppl/GSM6442995_FNLN25_02.csv.gz,FNLN25_02_RNA
GSM6442996,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary Human HSCs,Hepatic Stellate Cells,"Fibronectin, Laminin",25kPa,72 hours,SRA,Primary Human HSCs,https://www.ncbi.nlm.nih.gov/sra?term=SRX17023426,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6442nnn/GSM6442996/suppl/GSM6442996_FNLN25_03.csv.gz,FNLN25_03_RNA
GSM6442997,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary Human HSCs,Hepatic Stellate Cells,"Collagen 1, Fibronectin",1kPa,72 hours,SRA,Primary Human HSCs,https://www.ncbi.nlm.nih.gov/sra?term=SRX17023427,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6442nnn/GSM6442997/suppl/GSM6442997_C1FN01_01.csv.gz,C1FN01_01_RNA
GSM6442998,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary Human HSCs,Hepatic Stellate Cells,"Collagen 1, Fibronectin",1kPa,72 hours,SRA,Primary Human HSCs,https://www.ncbi.nlm.nih.gov/sra?term=SRX17023428,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6442nnn/GSM6442998/suppl/GSM6442998_C1FN01_02.csv.gz,C1FN01_02_RNA
