gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__genotype,raw__individual,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM6893374,Liver,ACCi 7 days,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Human hepatocyte organoid,Hepatocyte,APOB-mutant,donor 1,Liver,ACCi 7 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX18840739,,ACCi treated APOB-/- organoids from donor 1
GSM6893375,Liver,vehicle 7 days,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Human hepatocyte organoid,Hepatocyte,APOB-mutant,donor 1,Liver,vehicle 7 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX18840740,,vehicle treated APOB-/- organoids from donor 1
GSM6893376,Liver,DGAT2i 7 days,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Human hepatocyte organoid,Hepatocyte,APOB-mutant,donor 1,Liver,DGAT2i 7 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX18840741,,DGAT2i treated APOB-/- organoids from donor 1
GSM6893377,Liver,FASi 7 days,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Human hepatocyte organoid,Hepatocyte,APOB-mutant,donor 1,Liver,FASi 7 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX18840742,,FASi treated APOB-/- organoids from donor 1
GSM6893378,Liver,FGF19 7 days,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Human hepatocyte organoid,Hepatocyte,APOB-mutant,donor 1,Liver,FGF19 7 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX18840743,,FGF19 treated APOB-/- organoids from donor 1
GSM6893379,Liver,ACCi 7 days,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Human hepatocyte organoid,Hepatocyte,APOB-mutant,donor 2,Liver,ACCi 7 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX18840744,,ACCi treated APOB-/- organoids from donor 2
GSM6893380,Liver,vehicle 7 days,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Human hepatocyte organoid,Hepatocyte,APOB-mutant,donor 2,Liver,vehicle 7 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX18840745,,vehicle treated APOB-/- organoids from donor 2
GSM6893381,Liver,DGAT2i 7 days,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Human hepatocyte organoid,Hepatocyte,APOB-mutant,donor 2,Liver,DGAT2i 7 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX18840746,,DGAT2i treated APOB-/- organoids from donor 2
GSM6893382,Liver,FASi 7 days,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Human hepatocyte organoid,Hepatocyte,APOB-mutant,donor 2,Liver,FASi 7 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX18840747,,FASi treated APOB-/- organoids from donor 2
GSM6893383,Liver,FGF19 7 days,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Human hepatocyte organoid,Hepatocyte,APOB-mutant,donor 2,Liver,FGF19 7 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX18840748,,FGF19 treated APOB-/- organoids from donor 2
GSM6893384,Liver,FXRa 7 days,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Human hepatocyte organoid,Hepatocyte,APOB-mutant,donor 1,Liver,FXRa 7 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX18840749,,FXRa treated APOB-/- organoids from donor 1
GSM6893385,Liver,FXRa 7 days,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Human hepatocyte organoid,Hepatocyte,APOB-mutant,donor 2,Liver,FXRa 7 days,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX18840750,,FXRa treated APOB-/- organoids from donor 2
