gsm,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__donor id,raw__genotype,raw__perturbation,raw__sirna,sample_type,source_name,sra_relation,supplementary_files,title
GSM6970005,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,PHH,primary human hepatocyte,ONR,WT,FFA_0uM,siCtrl,SRA,PHH,https://www.ncbi.nlm.nih.gov/sra?term=SRX19162112,,ONR_A_PHH_siCtrl_Plate_1_FFA_0uM_Rep1
GSM6970006,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,PHH,primary human hepatocyte,ONR,WT,FFA_0uM,siCtrl,SRA,PHH,https://www.ncbi.nlm.nih.gov/sra?term=SRX19162113,,ONR_A_PHH_siCtrl_Plate_1_FFA_0uM_Rep2
GSM6970007,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,PHH,primary human hepatocyte,ONR,WT,FFA_0uM,siCtrl,SRA,PHH,https://www.ncbi.nlm.nih.gov/sra?term=SRX19162114,,ONR_A_PHH_siCtrl_Plate_1_FFA_0uM_Rep3
GSM6970008,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,PHH,primary human hepatocyte,ONR,WT,FFA_0uM,siCtrl,SRA,PHH,https://www.ncbi.nlm.nih.gov/sra?term=SRX19162115,,ONR_A_PHH_siCtrl_Plate_1_FFA_0uM_Rep4
GSM6970009,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,PHH,primary human hepatocyte,ONR,WT,FFA_0uM,siCtrl,SRA,PHH,https://www.ncbi.nlm.nih.gov/sra?term=SRX19162116,,ONR_A_PHH_siCtrl_Plate_1_FFA_0uM_Rep5
GSM6970010,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,PHH,primary human hepatocyte,ONR,WT,FFA_800uM,siCtrl,SRA,PHH,https://www.ncbi.nlm.nih.gov/sra?term=SRX19162117,,ONR_A_PHH_siCtrl_Plate_1_FFA_800uM_Rep1
GSM6970011,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,PHH,primary human hepatocyte,ONR,WT,FFA_800uM,siCtrl,SRA,PHH,https://www.ncbi.nlm.nih.gov/sra?term=SRX19162118,,ONR_A_PHH_siCtrl_Plate_1_FFA_800uM_Rep2
GSM6970012,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,PHH,primary human hepatocyte,ONR,WT,FFA_800uM,siCtrl,SRA,PHH,https://www.ncbi.nlm.nih.gov/sra?term=SRX19162119,,ONR_A_PHH_siCtrl_Plate_1_FFA_800uM_Rep3
GSM6970013,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,PHH,primary human hepatocyte,ONR,WT,FFA_800uM,siCtrl,SRA,PHH,https://www.ncbi.nlm.nih.gov/sra?term=SRX19162120,,ONR_A_PHH_siCtrl_Plate_1_FFA_800uM_Rep4
GSM6970014,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,PHH,primary human hepatocyte,ONR,WT,FFA_800uM,siCtrl,SRA,PHH,https://www.ncbi.nlm.nih.gov/sra?term=SRX19162121,,ONR_A_PHH_siCtrl_Plate_1_FFA_800uM_Rep5
