gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell type,raw__donor id,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM7113703,blood (PBMC),M-CSF+IL4_+IL13,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Monocyte/Macrophages,1,blood (PBMC),M-CSF+IL4_+IL13,SRA,blood (PBMC),https://www.ncbi.nlm.nih.gov/sra?term=SRX19758688,,1_M_CSF_IL_4_ IL_13
GSM7113704,blood (PBMC),M-CSF+IL4_+IL13,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Monocyte/Macrophages,1,blood (PBMC),M-CSF+IL4_+IL13,SRA,blood (PBMC),https://www.ncbi.nlm.nih.gov/sra?term=SRX19758689,,2_M_CSF_IL_4_ IL_13
GSM7113705,blood (PBMC),M-CSF+IL4_+IL13,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Monocyte/Macrophages,2,blood (PBMC),M-CSF+IL4_+IL13,SRA,blood (PBMC),https://www.ncbi.nlm.nih.gov/sra?term=SRX19758690,,3_M_CSF_IL_4_ IL_13
GSM7113706,blood (PBMC),M-CSF+IL4_+IL13,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Monocyte/Macrophages,2,blood (PBMC),M-CSF+IL4_+IL13,SRA,blood (PBMC),https://www.ncbi.nlm.nih.gov/sra?term=SRX19758691,,4_M_CSF_IL_4_ IL_13
GSM7113707,blood (PBMC),M-CSF+IL4_+IL13,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Monocyte/Macrophages,2,blood (PBMC),M-CSF+IL4_+IL13,SRA,blood (PBMC),https://www.ncbi.nlm.nih.gov/sra?term=SRX19758692,,5_M_CSF_IL_4_ IL_13
GSM7113708,blood (PBMC),M-CSF+LPS+IFN-gamma,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Monocyte/Macrophages,3,blood (PBMC),M-CSF+LPS+IFN-gamma,SRA,blood (PBMC),https://www.ncbi.nlm.nih.gov/sra?term=SRX19758693,,2_M_CSF_LPS_IFN_gamma
GSM7113709,blood (PBMC),M-CSF+LPS+IFN-gamma,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Monocyte/Macrophages,3,blood (PBMC),M-CSF+LPS+IFN-gamma,SRA,blood (PBMC),https://www.ncbi.nlm.nih.gov/sra?term=SRX19758694,,3_M_CSF_LPS_IFN_gamma
GSM7113710,blood (PBMC),M-CSF+LPS+IFN-gamma,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Monocyte/Macrophages,3,blood (PBMC),M-CSF+LPS+IFN-gamma,SRA,blood (PBMC),https://www.ncbi.nlm.nih.gov/sra?term=SRX19758695,,4_M_CSF_LPS_IFN_gamma
GSM7113711,blood (PBMC),M-CSF+LPS+IFN-gamma,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Monocyte/Macrophages,3,blood (PBMC),M-CSF+LPS+IFN-gamma,SRA,blood (PBMC),https://www.ncbi.nlm.nih.gov/sra?term=SRX19758696,,5_M_CSF_LPS_IFN_gamma
GSM7113712,blood (PBMC),M-CSF,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Monocyte/Macrophages,4,blood (PBMC),M-CSF,SRA,blood (PBMC),https://www.ncbi.nlm.nih.gov/sra?term=SRX19758697,,1_M_CSF_unstim
