gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__agent,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM7165936,Liver organoid,mono,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,mono,Liver organoid,SRA,Liver organoid,https://www.ncbi.nlm.nih.gov/sra?term=SRX19950672,,LO-mono-1
GSM7165937,Liver organoid,mono,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,mono,Liver organoid,SRA,Liver organoid,https://www.ncbi.nlm.nih.gov/sra?term=SRX19950673,,LO-mono-2
GSM7165938,Liver organoid,iMAC,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,iMAC,Liver organoid,SRA,Liver organoid,https://www.ncbi.nlm.nih.gov/sra?term=SRX19950674,,LO-iMAC-1
GSM7165939,Liver organoid,iMAC,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,iMAC,Liver organoid,SRA,Liver organoid,https://www.ncbi.nlm.nih.gov/sra?term=SRX19950675,,LO-iMAC-2
GSM7165940,Liver organoid,iMAC-FA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,iMAC-FA,Liver organoid,SRA,Liver organoid,https://www.ncbi.nlm.nih.gov/sra?term=SRX19950676,,LO-iMAC-FA-1
GSM7165941,Liver organoid,iMAC-FA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,iMAC-FA,Liver organoid,SRA,Liver organoid,https://www.ncbi.nlm.nih.gov/sra?term=SRX19950677,,LO-iMAC-FA-2
GSM7165942,Liver organoid,mono-HCV,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,mono-HCV,Liver organoid,SRA,Liver organoid,https://www.ncbi.nlm.nih.gov/sra?term=SRX19950678,,LO-mono-HCV-1
GSM7165943,Liver organoid,mono-HCV,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,mono-HCV,Liver organoid,SRA,Liver organoid,https://www.ncbi.nlm.nih.gov/sra?term=SRX19950679,,LO-mono-HCV-2
GSM7165944,Liver organoid,iMAC-HCV,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,iMAC-HCV,Liver organoid,SRA,Liver organoid,https://www.ncbi.nlm.nih.gov/sra?term=SRX19950680,,LO-iMAC-HCV-1
GSM7165945,Liver organoid,iMAC-HCV,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,iMAC-HCV,Liver organoid,SRA,Liver organoid,https://www.ncbi.nlm.nih.gov/sra?term=SRX19950681,,LO-iMAC-HCV-2
GSM7165946,Liver organoid,iMAC-FAHCV,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,iMAC-FAHCV,Liver organoid,SRA,Liver organoid,https://www.ncbi.nlm.nih.gov/sra?term=SRX19950682,,LO-iMAC-FAHCV-1
GSM7165947,Liver organoid,iMAC-FAHCV,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,iMAC-FAHCV,Liver organoid,SRA,Liver organoid,https://www.ncbi.nlm.nih.gov/sra?term=SRX19950683,,LO-iMAC-FAHCV-2
