gsm,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,sample_type,source_name,sra_relation,supplementary_files,title
GSM7437129,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,HKCI2 cell line,NAFLD-HCC,SRA,HKCI2 cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX20550764,,SHL2-nc-1_FRAS202423559-1r
GSM7437131,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,HKCI2 cell line,NAFLD-HCC,SRA,HKCI2 cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX20550765,,SHL2-nc-2_FRAS202423560-1r
GSM7437132,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,HKCI2 cell line,NAFLD-HCC,SRA,HKCI2 cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX20550766,,SHL2-sh2_FRAS202423561-1r
GSM7437134,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,HKCI2 cell line,NAFLD-HCC,SRA,HKCI2 cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX20550767,,SHL2-sh3_FRAS202423562-1r
GSM7437135,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,HKCI2 cell line,NAFLD-HCC,SRA,HKCI2 cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX20550768,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7437nnn/GSM7437135/suppl/GSM7437135_rmdup_fastp15_SHL2-nc-1-inputAligned.sortedByCoord.out_normalized.bw,SHL2-nc-1-input
GSM7437136,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,HKCI2 cell line,NAFLD-HCC,SRA,HKCI2 cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX20550769,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7437nnn/GSM7437136/suppl/GSM7437136_rmdup_fastp15_SHL2-nc-1-IPAligned.sortedByCoord.out_normalized.bw,SHL2-nc-1-IP
GSM7437137,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,HKCI2 cell line,NAFLD-HCC,SRA,HKCI2 cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX20550770,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7437nnn/GSM7437137/suppl/GSM7437137_rmdup_fastp15_SHL2-nc-2-inputAligned.sortedByCoord.out_normalized.bw,SHL2-nc-2-input
GSM7437138,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,HKCI2 cell line,NAFLD-HCC,SRA,HKCI2 cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX20550771,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7437nnn/GSM7437138/suppl/GSM7437138_rmdup_fastp15_SHL2-nc-2-IPAligned.sortedByCoord.out_normalized.bw,SHL2-nc-2-IP
GSM7437139,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,HKCI2 cell line,NAFLD-HCC,SRA,HKCI2 cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX20550772,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7437nnn/GSM7437139/suppl/GSM7437139_rmdup_fastp15_SHL2-sh2-inputAligned.sortedByCoord.out_normalized.bw,SHL2-sh2-input
GSM7437140,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,HKCI2 cell line,NAFLD-HCC,SRA,HKCI2 cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX20550773,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7437nnn/GSM7437140/suppl/GSM7437140_rmdup_fastp15_SHL2-sh2-IPAligned.sortedByCoord.out_normalized.bw,SHL2-sh2-IP
GSM7437141,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,HKCI2 cell line,NAFLD-HCC,SRA,HKCI2 cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX20550774,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7437nnn/GSM7437141/suppl/GSM7437141_rmdup_fastp15_SHL2-sh3-inputAligned.sortedByCoord.out_normalized.bw,SHL2-sh3-input
GSM7437142,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,HKCI2 cell line,NAFLD-HCC,SRA,HKCI2 cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX20550775,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7437nnn/GSM7437142/suppl/GSM7437142_rmdup_fastp15_SHL2-sh3-IPAligned.sortedByCoord.out_normalized.bw,SHL2-sh3-IP
