gsm,canon__age,canon__sex,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__Sex,raw__age,raw__diet,raw__drug treatment,raw__genotype,raw__strain,raw__streptozotocin treatment,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM7865084,7 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,7 weeks,SCD,Untreated,WT,C57BL/6J,Untreated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224738,,"Healthy control,7w, biological replication 1"
GSM7865085,7 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,7 weeks,SCD,Untreated,WT,C57BL/6J,Untreated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224739,,"Healthy control,7w, biological replication 2"
GSM7865086,7 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,7 weeks,SCD,Untreated,WT,C57BL/6J,Untreated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224740,,"Healthy control,7w, biological replication 3"
GSM7865087,7 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,7 weeks,SCD,Untreated,WT,C57BL/6J,Untreated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224741,,"Healthy control,7w, biological replication 4"
GSM7865088,7 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,7 weeks,SCD,Untreated,WT,C57BL/6J,Untreated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224742,,"Healthy control,7w, biological replication 5"
GSM7865089,8 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,8 weeks,SCD,Untreated,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224743,,"Acutre streptozotocin-treated state,8w, biological replication 1"
GSM7865090,8 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,8 weeks,SCD,Untreated,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224744,,"Acutre streptozotocin-treated state,8w, biological replication 2"
GSM7865091,8 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,8 weeks,SCD,Untreated,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224745,,"Acutre streptozotocin-treated state,8w, biological replication 3"
GSM7865092,14 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,14 weeks,HFD,Untreated,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224746,,"STZ+HFD model, 14w, biological replication 1"
GSM7865093,14 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,14 weeks,HFD,Untreated,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224747,,"STZ+HFD model, 14w, biological replication 2"
GSM7865094,14 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,14 weeks,HFD,Untreated,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224748,,"STZ+HFD model, 14w, biological replication 3"
GSM7865095,14 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,14 weeks,HFD,Untreated,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224749,,"STZ+HFD model, 14w, biological replication 4"
