gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell type,raw__individual,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM7889104,Liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary hepatocyte,F95,Liver,Control,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22478235,,Control hepatocyte of F95 rep1
GSM7889105,Liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary hepatocyte,F95,Liver,Control,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22478236,,Control hepatocyte of F95 rep2
GSM7889106,Liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary hepatocyte,F95,Liver,Control,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22478237,,Control hepatocyte of F95 rep3
GSM7889107,Liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary hepatocyte,F95P,Liver,Control,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22478238,,Control hepatocyte of F95P rep1
GSM7889108,Liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary hepatocyte,F95P,Liver,Control,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22478239,,Control hepatocyte of F95P rep2
GSM7889109,Liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary hepatocyte,F95P,Liver,Control,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22478240,,Control hepatocyte of F95P rep3
GSM7889110,Liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary hepatocyte,M95,Liver,Control,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22478241,,Control hepatocyte of M95 rep1
GSM7889111,Liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary hepatocyte,M95,Liver,Control,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22478242,,Control hepatocyte of M95 rep2
GSM7889112,Liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary hepatocyte,M95,Liver,Control,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22478243,,Control hepatocyte of M95 rep3
GSM7889113,Liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary hepatocyte,H961,Liver,Control,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22478244,,Control hepatocyte of H961 rep1
GSM7889114,Liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary hepatocyte,H961,Liver,Control,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22478245,,Control hepatocyte of H961 rep2
GSM7889115,Liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary hepatocyte,H961,Liver,Control,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22478246,,Control hepatocyte of H961 rep3
GSM7889116,Liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary hepatocyte,H20,Liver,Control,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22478247,,Control hepatocyte of H20 rep1
GSM7889117,Liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary hepatocyte,H20,Liver,Control,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22478248,,Control hepatocyte of H20 rep2
