gsm,canon__disease,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell type,raw__disease state,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM7890424,MASH,Peripheral blood,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Neutrophil,MASH,Peripheral blood,SRA,Peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX22482408,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7890nnn/GSM7890424/suppl/GSM7890424_Advanced_1_star_counts.txt.gz,Advanced_1
GSM7890425,MASH,Peripheral blood,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Neutrophil,MASH,Peripheral blood,SRA,Peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX22482409,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7890nnn/GSM7890425/suppl/GSM7890425_Advanced_2_star_counts.txt.gz,Advanced_2
GSM7890426,MASH,Peripheral blood,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Neutrophil,MASH,Peripheral blood,SRA,Peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX22482410,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7890nnn/GSM7890426/suppl/GSM7890426_Advanced_3_star_counts.txt.gz,Advanced_3
GSM7890427,MASH,Peripheral blood,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Neutrophil,MASH,Peripheral blood,SRA,Peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX22482411,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7890nnn/GSM7890427/suppl/GSM7890427_Advanced_4_star_counts.txt.gz,Advanced_4
GSM7890428,MASH,Peripheral blood,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Neutrophil,MASH,Peripheral blood,SRA,Peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX22482412,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7890nnn/GSM7890428/suppl/GSM7890428_Mild_1_star_counts.txt.gz,Mild_1
GSM7890429,MASH,Peripheral blood,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Neutrophil,MASH,Peripheral blood,SRA,Peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX22482413,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7890nnn/GSM7890429/suppl/GSM7890429_Mild_2_star_counts.txt.gz,Mild_2
GSM7890430,MASH,Peripheral blood,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Neutrophil,MASH,Peripheral blood,SRA,Peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX22482414,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7890nnn/GSM7890430/suppl/GSM7890430_Mild_3_star_counts.txt.gz,Mild_3
GSM7890431,MASH,Peripheral blood,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Neutrophil,MASH,Peripheral blood,SRA,Peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX22482415,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7890nnn/GSM7890431/suppl/GSM7890431_Normal_1_star_counts.txt.gz,Normal_1
GSM7890432,healthy,Peripheral blood,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Neutrophil,healthy,Peripheral blood,SRA,Peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX22482416,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7890nnn/GSM7890432/suppl/GSM7890432_Normal_2_star_counts.txt.gz,Normal_2
GSM7890433,healthy,Peripheral blood,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Neutrophil,healthy,Peripheral blood,SRA,Peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX22482417,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7890nnn/GSM7890433/suppl/GSM7890433_Normal_3_star_counts.txt.gz,Normal_3
GSM7890434,healthy,Peripheral blood,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Neutrophil,healthy,Peripheral blood,SRA,Peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX22482418,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7890nnn/GSM7890434/suppl/GSM7890434_Normal_4_star_counts.txt.gz,Normal_4
GSM7890435,healthy,Peripheral blood,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Neutrophil,healthy,Peripheral blood,SRA,Peripheral blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX22482419,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7890nnn/GSM7890435/suppl/GSM7890435_Normal_5_star_counts.txt.gz,Normal_5
