gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell type,raw__genotype,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8019450,Liver,6h_DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,6h_DMSO,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232552,,6h_DMSO_rep1 [A1.1]
GSM8019451,Liver,6h_DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,6h_DMSO,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232553,,6h_DMSO_rep2 [A1.2]
GSM8019452,Liver,6h_DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,6h_DMSO,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232554,,6h_DMSO_rep3 [A1.3]
GSM8019453,Liver,6h_DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,6h_DMSO,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232555,,6h_DMSO_rep4 [A1.4]
GSM8019454,Liver,6h_TLC-065,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,6h_TLC-065,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232556,,6h_TLC-065_rep1 [A2.1]
GSM8019455,Liver,6h_TLC-065,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,6h_TLC-065,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232557,,6h_TLC-065_rep2 [A2.2]
GSM8019456,Liver,6h_TLC-065,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,6h_TLC-065,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232558,,6h_TLC-065_rep3 [A2.3]
GSM8019457,Liver,6h_TLC-065,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,6h_TLC-065,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232559,,6h_TLC-065_rep4 [A2.4]
GSM8019458,Liver,12h_DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,12h_DMSO,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232560,,12h_DMSO_rep1 [B1.1]
GSM8019459,Liver,12h_DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,12h_DMSO,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232561,,12h_DMSO_rep2 [B1.2]
GSM8019460,Liver,12h_DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,12h_DMSO,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232562,,12h_DMSO_rep3 [B1.3]
GSM8019461,Liver,12h_DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,12h_DMSO,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232563,,12h_DMSO_rep4 [B1.4]
GSM8019462,Liver,12h_TLC-065,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,12h_TLC-065,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232564,,12h_TLC-065_rep1 [B2.1]
GSM8019463,Liver,12h_TLC-065,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,12h_TLC-065,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232565,,12h_TLC-065_rep2 [B2.2]
GSM8019464,Liver,12h_TLC-065,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,12h_TLC-065,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232566,,12h_TLC-065_rep3 [B2.3]
GSM8019465,Liver,12h_TLC-065,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,12h_TLC-065,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232567,,12h_TLC-065_rep4 [B2.4]
GSM8019466,Liver,24h_DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,24h_DMSO,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232568,,24h_DMSO_rep1 [C1.1]
GSM8019467,Liver,24h_DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,24h_DMSO,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232569,,24h_DMSO_rep2 [C1.2]
GSM8019468,Liver,24h_DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,24h_DMSO,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232570,,24h_DMSO_rep3 [C1.3]
GSM8019469,Liver,24h_DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,24h_DMSO,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232571,,24h_DMSO_rep4 [C1.4]
GSM8019470,Liver,24h_TLC-065,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,24h_TLC-065,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232572,,24h_TLC-065_rep1 [C2.1]
GSM8019471,Liver,24h_TLC-065,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,24h_TLC-065,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232573,,24h_TLC-065_rep2 [C2.2]
GSM8019472,Liver,24h_TLC-065,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,24h_TLC-065,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232574,,24h_TLC-065_rep3 [C2.3]
GSM8019473,Liver,24h_TLC-065,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL23479,Primary hepatocytes,,Liver,24h_TLC-065,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232575,,24h_TLC-065_rep4 [C2.4]
GSM8019474,Human liver organoids,DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,,GCKR rs1260326 CC,Human liver organoids,DMSO,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232576,,CC_HLO_DMSO_rep1 [CC_H_1]
GSM8019475,Human liver organoids,DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,,GCKR rs1260326 CC,Human liver organoids,DMSO,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232577,,CC_HLO_DMSO_rep2 [CC_H_2]
GSM8019476,Human liver organoids,DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,,GCKR rs1260326 CC,Human liver organoids,DMSO,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232578,,CC_HLO_DMSO_rep3 [CC_H_3]
GSM8019477,Human liver organoids,TLC065,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,,GCKR rs1260326 CC,Human liver organoids,TLC065,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232579,,CC_HLO_TLC065_rep1 [CC_H_4]
GSM8019478,Human liver organoids,TLC065,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,,GCKR rs1260326 CC,Human liver organoids,TLC065,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232580,,CC_HLO_TLC065_rep2 [CC_H_5]
GSM8019479,Human liver organoids,TLC065,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,,GCKR rs1260326 CC,Human liver organoids,TLC065,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232581,,CC_HLO_TLC065_rep3 [CC_H_6]
GSM8019480,Human liver organoids,DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,,GCKR rs1260326 CC,Human liver organoids,DMSO,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232582,,CC_sHLO_DMSO_rep1 [CC_S_1]
GSM8019481,Human liver organoids,DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,,GCKR rs1260326 CC,Human liver organoids,DMSO,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232583,,CC_sHLO_DMSO_rep2 [CC_S_2]
GSM8019482,Human liver organoids,DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,,GCKR rs1260326 CC,Human liver organoids,DMSO,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232584,,CC_sHLO_DMSO_rep3 [CC_S_3]
GSM8019483,Human liver organoids,TLC065,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,,GCKR rs1260326 CC,Human liver organoids,TLC065,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232585,,CC_sHLO_TLC065_rep1 [CC_S_4]
GSM8019484,Human liver organoids,TLC065,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,,GCKR rs1260326 CC,Human liver organoids,TLC065,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232586,,CC_sHLO_TLC065_rep2 [CC_S_5]
GSM8019485,Human liver organoids,TLC065,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,,GCKR rs1260326 CC,Human liver organoids,TLC065,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232587,,CC_sHLO_TLC065_rep3 [CC_S_6]
GSM8019486,Human liver organoids,DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,,GCKR rs1260326 TT,Human liver organoids,DMSO,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232588,,TT_HLO_DMSO_rep1 [TT_H_1]
GSM8019487,Human liver organoids,DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,,GCKR rs1260326 TT,Human liver organoids,DMSO,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232589,,TT_HLO_DMSO_rep2 [TT_H_2]
GSM8019488,Human liver organoids,DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,,GCKR rs1260326 TT,Human liver organoids,DMSO,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232590,,TT_HLO_DMSO_rep3 [TT_H_3]
GSM8019489,Human liver organoids,TLC065,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,,GCKR rs1260326 TT,Human liver organoids,TLC065,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232591,,TT_HLO_TLC065_rep1 [TT_H_4]
GSM8019490,Human liver organoids,TLC065,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,,GCKR rs1260326 TT,Human liver organoids,TLC065,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232592,,TT_HLO_TLC065_rep2 [TT_H_5]
GSM8019491,Human liver organoids,TLC065,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,,GCKR rs1260326 TT,Human liver organoids,TLC065,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232593,,TT_HLO_TLC065_rep3 [TT_H_6]
GSM8019492,Human liver organoids,DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,,GCKR rs1260326 TT,Human liver organoids,DMSO,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232594,,TT_sHLO_DMSO_rep1 [TT_S_1]
GSM8019493,Human liver organoids,DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,,GCKR rs1260326 TT,Human liver organoids,DMSO,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX23232595,,TT_sHLO_DMSO_rep2 [TT_S_2]
