gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8021665,Priamry Hepatic Stellate Cells,Solvent,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21290,,Priamry Hepatic Stellate Cells,Solvent,SRA,Priamry Hepatic Stellate Cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX23265334,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8021nnn/GSM8021665/suppl/GSM8021665_CJ5657_S1.txt.gz,PHSC_Solvent_1
GSM8021666,Priamry Hepatic Stellate Cells,Solvent,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21290,,Priamry Hepatic Stellate Cells,Solvent,SRA,Priamry Hepatic Stellate Cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX23265335,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8021nnn/GSM8021666/suppl/GSM8021666_CJ5657_S2.txt.gz,PHSC_Solvent_2
GSM8021667,Priamry Hepatic Stellate Cells,Solvent,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21290,,Priamry Hepatic Stellate Cells,Solvent,SRA,Priamry Hepatic Stellate Cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX23265336,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8021nnn/GSM8021667/suppl/GSM8021667_CJ5657_S3.txt.gz,PHSC_Solvent_3
GSM8021668,Priamry Hepatic Stellate Cells,TGFBeta,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21290,,Priamry Hepatic Stellate Cells,TGFBeta,SRA,Priamry Hepatic Stellate Cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX23265337,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8021nnn/GSM8021668/suppl/GSM8021668_CJ5657_S4.txt.gz,PHSC_TGFβ_1
GSM8021669,Priamry Hepatic Stellate Cells,TGFBeta,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21290,,Priamry Hepatic Stellate Cells,TGFBeta,SRA,Priamry Hepatic Stellate Cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX23265338,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8021nnn/GSM8021669/suppl/GSM8021669_CJ5657_S5.txt.gz,PHSC_TGFβ_2
GSM8021670,Priamry Hepatic Stellate Cells,TGFBeta,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21290,,Priamry Hepatic Stellate Cells,TGFBeta,SRA,Priamry Hepatic Stellate Cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX23265339,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8021nnn/GSM8021670/suppl/GSM8021670_CJ5657_S6.txt.gz,PHSC_TGFβ_3
GSM8021671,,Solvent,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21290,LX-2Cell Line,,Solvent,SRA,LX-2 Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23265340,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8021nnn/GSM8021671/suppl/GSM8021671_YM7160_S7.txt.gz,LX2_Solvent_1
GSM8021672,,Solvent,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21290,LX-2Cell Line,,Solvent,SRA,LX-2 Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23265341,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8021nnn/GSM8021672/suppl/GSM8021672_YM7160_S8.txt.gz,LX2_Solvent_2
GSM8021673,,Solvent,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21290,LX-2Cell Line,,Solvent,SRA,LX-2 Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23265342,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8021nnn/GSM8021673/suppl/GSM8021673_YM7160_S9.txt.gz,LX2_Solvent_3
GSM8021674,,TGFBeta,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL21290,LX-2Cell Line,,TGFBeta,SRA,LX-2 Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23265343,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8021nnn/GSM8021674/suppl/GSM8021674_YM7160_S10.txt.gz,LX2_TGFβ_1
