gsm,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__genotype,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8070882,basal media,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Huh7,hepatoma,WT,basal media,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX23579306,,WT_0_0
GSM8070883,basal media,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Huh7,hepatoma,WT,basal media,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX23579307,,WT_0_1
GSM8070884,basal media,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Huh7,hepatoma,WT,basal media,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX23579308,,WT_0_2
GSM8070885,basal media,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Huh7,hepatoma,WT,basal media,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX23579309,,WT_0_3
GSM8070886,basal media,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Huh7,hepatoma,ABHD6 KO,basal media,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX23579310,,KO_0_0
GSM8070887,basal media,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Huh7,hepatoma,ABHD6 KO,basal media,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX23579311,,KO_0_1
GSM8070888,basal media,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Huh7,hepatoma,ABHD6 KO,basal media,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX23579312,,KO_0_2
GSM8070889,basal media,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Huh7,hepatoma,ABHD6 KO,basal media,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX23579313,,KO_0_3
GSM8070890,800 microM palmitic acid,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Huh7,hepatoma,WT,800 microM palmitic acid,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX23579314,,WT_24_0
GSM8070891,800 microM palmitic acid,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Huh7,hepatoma,WT,800 microM palmitic acid,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX23579315,,WT_24_1
GSM8070892,800 microM palmitic acid,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Huh7,hepatoma,WT,800 microM palmitic acid,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX23579316,,WT_24_2
GSM8070893,800 microM palmitic acid,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Huh7,hepatoma,WT,800 microM palmitic acid,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX23579317,,WT_24_3
GSM8070894,800 microM palmitic acid,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Huh7,hepatoma,ABHD6 KO,800 microM palmitic acid,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX23579318,,KO_24_0
GSM8070895,800 microM palmitic acid,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Huh7,hepatoma,ABHD6 KO,800 microM palmitic acid,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX23579319,,KO_24_1
