gsm,canon__disease,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell type,raw__disease state,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8122035,healthy control,Liver,untreated,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver cell,healthy control,Liver,untreated,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23809226,,Control_rep1 [21120D1]
GSM8122036,healthy control,Liver,untreated,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver cell,healthy control,Liver,untreated,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23809230,,Control_rep2 [21124D1]
GSM8122037,healthy control,Liver,untreated,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver cell,healthy control,Liver,untreated,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23809229,,Control_rep3 [22068D1]
GSM8122038,healthy control,Liver,untreated,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver cell,healthy control,Liver,untreated,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23809228,,Control_rep4 [22085D1]
GSM8122039,healthy control,Liver,untreated,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver cell,healthy control,Liver,untreated,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23809227,,Control_rep5 [22113D1]
GSM8122040,healthy control,Liver,untreated,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver cell,healthy control,Liver,untreated,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23809239,,Control_rep6 [22114D1]
GSM8122041,non-alcoholic fatty liver disease (NAFLD),Liver,untreated,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver cell,non-alcoholic fatty liver disease (NAFLD),Liver,untreated,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23809238,,NAFL_rep1 [21149D1]
GSM8122042,non-alcoholic fatty liver disease (NAFLD),Liver,untreated,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver cell,non-alcoholic fatty liver disease (NAFLD),Liver,untreated,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23809237,,NAFL_rep2 [21151D1]
GSM8122043,non-alcoholic fatty liver disease (NAFLD),Liver,untreated,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver cell,non-alcoholic fatty liver disease (NAFLD),Liver,untreated,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23809236,,NAFL_rep3 [22105D1]
GSM8122044,non-alcoholic fatty liver disease (NAFLD),Liver,untreated,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver cell,non-alcoholic fatty liver disease (NAFLD),Liver,untreated,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23809235,,NAFL_rep4 [22120D1]
GSM8122045,non-alcoholic fatty liver disease (NAFLD),Liver,untreated,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver cell,non-alcoholic fatty liver disease (NAFLD),Liver,untreated,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23809234,,NAFL_rep5 [22123D1]
GSM8122046,non-alcoholic fatty liver disease (NAFLD),Liver,untreated,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver cell,non-alcoholic fatty liver disease (NAFLD),Liver,untreated,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23809233,,NAFL_rep6 [22130D1]
GSM8122047,non-alcoholic steatohepatitis (NASH),Liver,untreated,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver cell,non-alcoholic steatohepatitis (NASH),Liver,untreated,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23809232,,NASH_rep1 [22054D1]
GSM8122048,non-alcoholic steatohepatitis (NASH),Liver,untreated,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver cell,non-alcoholic steatohepatitis (NASH),Liver,untreated,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23809231,,NASH_rep2 [22092D1]
GSM8122049,non-alcoholic steatohepatitis (NASH),Liver,untreated,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver cell,non-alcoholic steatohepatitis (NASH),Liver,untreated,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23809240,,NASH_rep3 [22093D1]
GSM8122050,non-alcoholic steatohepatitis (NASH),Liver,untreated,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver cell,non-alcoholic steatohepatitis (NASH),Liver,untreated,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX23809241,,NASH_rep4 [22095D1]
