gsm,canon__sex,canon__stage,canon__steatosis_grade,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__Sex,raw__Stage,raw__balloning,raw__cell line,raw__cell type,raw__chip antibody,raw__fibrosis nas_tidy,raw__genotype,raw__lobular inflammation,raw__lobular necrosis,raw__steatosis,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8253036,,,,liver,resting,Illumina NovaSeq 6000,other,genomic,Hi-C,genomic DNA,Homo sapiens,GPL24676,,,,HSC,primary human hepatic cell,,,n/a,,,,liver,resting,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24462696,,HSC_capturemicroc_Rep1
GSM8253037,,,,liver,resting,Illumina NovaSeq 6000,other,genomic,Hi-C,genomic DNA,Homo sapiens,GPL24676,,,,HSC,primary human hepatic cell,,,n/a,,,,liver,resting,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24462697,,HSC_capturemicroc_Rep2
GSM8257189,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488324,,HSC001_hNTO_12day_R1
GSM8257190,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488325,,HSC001_hNTO_12day_R2
GSM8257191,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488326,,HSC001_hNTO_12day_R3
GSM8257192,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488327,,HSC001_COL1A1_12day_R1
GSM8257193,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488328,,HSC001_COL1A1_12day_R2
GSM8257194,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488329,,HSC001_COL1A1_12day_R3
GSM8257195,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488330,,HSC001_NR3C1_12day_R1
GSM8257196,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488331,,HSC001_NR3C1_12day_R2
