gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell type,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8344695,pbmc,no treatment,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,CD3+/Tcell,pbmc,no treatment,SRA,pbmc,https://www.ncbi.nlm.nih.gov/sra?term=SRX25004155,,hm_pbmc_nd_1_gex
GSM8344696,liver,no treatment,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,CD3+/Tcell,liver,no treatment,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25004156,,hm_liver_nd_rep1_gex
GSM8344697,liver,no treatment,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,CD3+/Tcell,liver,no treatment,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25004157,,hm_liver_nd_rep2_gex
GSM8344698,liver,disease - ALD,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,CD3+/Tcell,liver,disease - ALD,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25004158,,hm_liver_ald_rep1_gex
GSM8344699,liver,disease - ALD,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,CD3+/Tcell,liver,disease - ALD,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25004159,,hm_liver_ald_rep2_gex
GSM8344700,liver,disease - ALD,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,CD3+/Tcell,liver,disease - ALD,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25004160,,hm_liver_ald_rep3_gex
GSM8344701,liver,disease - MASH,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,CD3+/Tcell,liver,disease - MASH,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25004161,,hm_liver_mash_rep1_gex
GSM8344702,liver,disease - MASH,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,CD3+/Tcell,liver,disease - MASH,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25004162,,hm_liver_mash_rep2a_gex
GSM8344703,liver,disease - MASH,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,CD3+/Tcell,liver,disease - MASH,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25004163,,hm_liver_mash_rep2b_gex
GSM8344704,pbmc,no treatment,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,CD3+/Tcell,pbmc,no treatment,SRA,pbmc,https://www.ncbi.nlm.nih.gov/sra?term=SRX25004164,,hm_pbmc_nd_1_TCR
GSM8344705,liver,no treatment,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,CD3+/Tcell,liver,no treatment,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25004165,,hm_liver_nd_rep1_TCR
GSM8344706,liver,no treatment,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,CD3+/Tcell,liver,no treatment,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25004167,,hm_liver_nd_rep2_TCR
GSM8344707,liver,disease - ALD,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,CD3+/Tcell,liver,disease - ALD,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25004166,,hm_liver_ald_rep1_TCR
GSM8344708,liver,disease - ALD,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,CD3+/Tcell,liver,disease - ALD,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25004168,,hm_liver_ald_rep2_TCR
GSM8344709,liver,disease - ALD,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,CD3+/Tcell,liver,disease - ALD,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25004169,,hm_liver_ald_rep3_TCR
GSM8344710,liver,disease - MASH,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,CD3+/Tcell,liver,disease - MASH,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25004170,,hm_liver_mash_rep1_TCR
GSM8344711,liver,disease - MASH,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,CD3+/Tcell,liver,disease - MASH,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25004171,,hm_liver_mash_rep2a_TCR
GSM8344712,liver,disease - MASH,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,CD3+/Tcell,liver,disease - MASH,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25004172,,hm_liver_mash_rep2b_TCR
