gsm,canon__age,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__age,raw__cell type,raw__genotype,raw__strain,raw__time,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8432342,12 months,liver,,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Mus musculus,GPL24247,12 months,liver cells,Aldh2-/-,C57BL/6,,liver,,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25524103,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8432nnn/GSM8432342/suppl/GSM8432342_A624_filtered_feature_bc_matrix.h5 | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8432nnn/GSM8432342/suppl/GSM8432342_A624_molecule_info.h5 | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8432nnn/GSM8432342/suppl/GSM8432342_A624_raw_feature_bc_matrix.h5,"Aldh2-/-, snRNAseq"
GSM8432343,12 months,liver,,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Mus musculus,GPL24247,12 months,liver cells,Aldh2-/-Sptbn1+/-,C57BL/6,,liver,,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25524104,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8432nnn/GSM8432343/suppl/GSM8432343_A625_filtered_feature_bc_matrix.h5 | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8432nnn/GSM8432343/suppl/GSM8432343_A625_molecule_info.h5 | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8432nnn/GSM8432343/suppl/GSM8432343_A625_raw_feature_bc_matrix.h5,"Aldh2-/-Sptbn1+/-, snRNAseq"
GSM8432344,12 months,liver,,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Mus musculus,GPL24247,12 months,liver cells,WT,C57BL/6,,liver,,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25524105,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8432nnn/GSM8432344/suppl/GSM8432344_A757_filtered_feature_bc_matrix.h5 | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8432nnn/GSM8432344/suppl/GSM8432344_A757_molecule_info.h5 | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8432nnn/GSM8432344/suppl/GSM8432344_A757_raw_feature_bc_matrix.h5,"WT, snRNAseq"
GSM8432345,12 months,liver,,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Mus musculus,GPL24247,12 months,liver cells,Sptbn1+/-,C57BL/6,,liver,,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25524106,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8432nnn/GSM8432345/suppl/GSM8432345_A894_filtered_feature_bc_matrix.h5 | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8432nnn/GSM8432345/suppl/GSM8432345_A894_molecule_info.h5 | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8432nnn/GSM8432345/suppl/GSM8432345_A894_raw_feature_bc_matrix.h5,"Sptbn1+/-, snRNAseq"
GSM8432346,,liver,siControl,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,,"coculture human liver cells: hepatocyte, Kupffer cell, stellate cell",,,96h,liver,siControl,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25524107,,"siCtrl, replicate 1, RNAseq"
GSM8432347,,liver,siControl,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,,"coculture human liver cells: hepatocyte, Kupffer cell, stellate cell",,,96h,liver,siControl,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25524108,,"siCtrl, replicate 2, RNAseq"
GSM8432348,,liver,siControl,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,,"coculture human liver cells: hepatocyte, Kupffer cell, stellate cell",,,96h,liver,siControl,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25524109,,"siCtrl, replicate 3, RNAseq"
GSM8432349,,liver,25nM siSptbn1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,,"coculture human liver cells: hepatocyte, Kupffer cell, stellate cell",,,96h,liver,25nM siSptbn1,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25524110,,"25nM siSptbn1, replicate 1, RNAseq"
GSM8432350,,liver,25nM siSptbn1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,,"coculture human liver cells: hepatocyte, Kupffer cell, stellate cell",,,96h,liver,25nM siSptbn1,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25524111,,"25nM siSptbn1, replicate 2, RNAseq"
GSM8432351,,liver,25nM siSptbn1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,,"coculture human liver cells: hepatocyte, Kupffer cell, stellate cell",,,96h,liver,25nM siSptbn1,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25524112,,"25nM siSptbn1, replicate 3, RNAseq"
GSM8432352,,liver,50nM siSptbn1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,,"coculture human liver cells: hepatocyte, Kupffer cell, stellate cell",,,96h,liver,50nM siSptbn1,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25524113,,"50nM siSptbn1, replicate 1, RNAseq"
GSM8432353,,liver,50nM siSptbn1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,,"coculture human liver cells: hepatocyte, Kupffer cell, stellate cell",,,96h,liver,50nM siSptbn1,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25524114,,"50nM siSptbn1, replicate 2, RNAseq"
GSM8432354,,liver,50nM siSptbn1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,,"coculture human liver cells: hepatocyte, Kupffer cell, stellate cell",,,96h,liver,50nM siSptbn1,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25524115,,"50nM siSptbn1, replicate 3, RNAseq"
GSM8443184,,liver,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,liver cells,,,,liver,,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25627123,,"wild type, replicate 1, RNAseq"
GSM8443185,,liver,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,liver cells,,,,liver,,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25627124,,"wild type, replicate 2, RNAseq"
GSM8443186,,liver,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,liver cells,,,,liver,,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25627125,,"wild type, replicate 3, RNAseq"
GSM8443187,,liver,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,liver cells,,,,liver,,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25627126,,"wild type, replicate 4, RNAseq"
GSM8443188,,liver,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,liver cells,,,,liver,,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25627127,,"wild type, replicate 5, RNAseq"
GSM8443189,,liver,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,liver cells,,,,liver,,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25627128,,"Aldh2-/-, replicate 1, RNAseq"
GSM8443190,,liver,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,liver cells,,,,liver,,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25627129,,"Aldh2-/-, replicate 2, RNAseq"
GSM8443191,,liver,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,liver cells,,,,liver,,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25627130,,"Aldh2-/-, replicate 3, RNAseq"
GSM8443192,,liver,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,liver cells,,,,liver,,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25627131,,"Aldh2-/-, replicate 4, RNAseq"
GSM8443193,,liver,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,liver cells,,,,liver,,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25627132,,"Aldh2-/-Sptbn1+/-, replicate 1, RNAseq"
GSM8443194,,liver,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,liver cells,,,,liver,,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25627133,,"Aldh2-/-Sptbn1+/-, replicate 2, RNAseq"
GSM8443195,,liver,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,liver cells,,,,liver,,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25627134,,"Aldh2-/-Sptbn1+/-, replicate 3, RNAseq"
GSM8443196,,liver,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,liver cells,,,,liver,,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25627135,,"Aldh2-/-Sptbn1+/-, replicate 4, RNAseq"
GSM8443197,,liver,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,liver cells,,,,liver,,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25627136,,"Aldh2-/-Sptbn1+/-, replicate 5, RNAseq"
