gsm,canon__sex,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__gender,raw__genotype,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8488418,,liver,CCl4 i.p. for 3 weeks,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL28330,,hepatic stellate cells,,LratCre;Ai32(RCL-ChR2(H134R)/EYFP)+/-,liver,CCl4 i.p. for 3 weeks,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25892640,,mAHSC_male1
GSM8488419,,liver,CCl4 i.p. for 3 weeks,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL28330,,hepatic stellate cells,,LratCre;Ai32(RCL-ChR2(H134R)/EYFP)+/-,liver,CCl4 i.p. for 3 weeks,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25892641,,mAHSC_male2
GSM8488420,,liver,CCl4 i.p. for 3 weeks,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL28330,,hepatic stellate cells,,LratCre;Ai32(RCL-ChR2(H134R)/EYFP)+/-,liver,CCl4 i.p. for 3 weeks,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25892642,,mAHSC_female1
GSM8488421,,liver,CCl4 i.p. for 3 weeks,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL28330,,hepatic stellate cells,,LratCre;Ai32(RCL-ChR2(H134R)/EYFP)+/-,liver,CCl4 i.p. for 3 weeks,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25892643,,mAHSC_female2
GSM8488422,,liver,Control,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL28330,,hepatic stellate cells,,WT,liver,Control,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25892644,,Control_1
GSM8488423,,liver,Control,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL28330,,hepatic stellate cells,,WT,liver,Control,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25892645,,Control_2
GSM8488424,,liver,10μm 17β-estradiol,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL28330,,hepatic stellate cells,,WT,liver,10μm 17β-estradiol,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25892646,,Estradiol_1
GSM8488425,,liver,10μm 17β-estradiol,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL28330,,hepatic stellate cells,,WT,liver,10μm 17β-estradiol,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25892647,,Estradiol_2
GSM8490658,,,,DNBSEQ-T7,ChIP,genomic,ChIP-Seq,genomic DNA,Mus musculus,GPL28330,hepatic stellate cells,primary cells,,,,,SRA,hepatic stellate cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX25919294,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8490nnn/GSM8490658/suppl/GSM8490658_YJlab_chip_S001_hepatic_mm9p_cpm.bw,YJlab_chip_S001_hepatic
GSM8582601,M,liver,,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,,hepatic stellate cells,M,,liver,,SRA,tissue derived primary cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX26433833,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8582nnn/GSM8582601/suppl/GSM8582601_Human_HSC_Male_RNA_experssion.txt.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8582nnn/GSM8582601/suppl/GSM8582601_Human_HSC_Male_gene_experssion.txt.gz,Human_HSC_M
GSM8582602,F,liver,,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,,hepatic stellate cells,F,,liver,,SRA,tissue derived primary cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX26433834,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8582nnn/GSM8582602/suppl/GSM8582602_Human_HSC_Female_RNA_experssion.txt.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8582nnn/GSM8582602/suppl/GSM8582602_Human_HSC_Female_gene_experssion.txt.gz,Human_HSC_F
