gsm,canon__disease,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__disease,raw__disease group,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM8491342,MASLD,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD,F3,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923107,,Liver sample 1
GSM8491343,MASLD,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD,F4,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923108,,Liver sample 2
GSM8491344,MASLD,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD,F4,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923140,,Liver sample 3
GSM8491345,MASLD,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD,F3,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923141,,Liver sample 4
GSM8491346,MASLD,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD,F0-2,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923142,,Liver sample 5
GSM8491347,MASLD,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD,F4,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923143,,Liver sample 6
GSM8491348,MASLD,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD,F4,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923144,,Liver sample 7
GSM8491349,MASLD,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD,F4,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923145,,Liver sample 8
GSM8491350,MASLD,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD,F4,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923146,,Liver sample 9
GSM8491351,MASLD,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD,F4,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923147,,Liver sample 10
GSM8491352,CVH,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CVH,F4,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923148,,Liver sample 11
GSM8491353,CVH,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CVH,F4,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923149,,Liver sample 12
GSM8491354,CVH,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CVH,F4,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923150,,Liver sample 13
