gsm,canon__diagnosis,canon__sex,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__Sex,raw__diagn,raw__diagnosis,raw__subject id,raw__tissue,raw__treat(non)cirrhotic,raw__treatment,raw__treatorganism,raw__treatperfusionhr,sample_type,source_name,sra_relation,supplementary_files,title
GSM8578526,Primary_biliary_cholangitis,,liver,H0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,,PBC,Primary_biliary_cholangitis,Human1,liver,C,H0,H,0,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26414731,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8578nnn/GSM8578526/suppl/GSM8578526_104307-001-001R.counts.tsv.gz,Human1_001R
GSM8578527,Primary_biliary_cholangitis,,liver,H6,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,,PBC,Primary_biliary_cholangitis,Human1,liver,C,H6,H,6,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26414732,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8578nnn/GSM8578527/suppl/GSM8578527_104307-001-009.counts.tsv.gz,Human1_009
GSM8578528,NASH,,liver,H0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,,NASH,NASH,Human2,liver,C,H0,H,0,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26414733,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8578nnn/GSM8578528/suppl/GSM8578528_104307-001-017.counts.tsv.gz,Human2_017
GSM8578529,NASH,,liver,H6,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,,NASH,NASH,Human2,liver,C,H6,H,6,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26414734,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8578nnn/GSM8578529/suppl/GSM8578529_104307-001-025.counts.tsv.gz,Human2_025
GSM8578530,Alcoholic_Liver_Disease,,liver,H0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,,ALD,Alcoholic_Liver_Disease,Human3,liver,C,H0,H,0,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26414735,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8578nnn/GSM8578530/suppl/GSM8578530_104307-001-033.counts.tsv.gz,Human3_033
GSM8578531,Alcoholic_Liver_Disease,,liver,H6,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,,ALD,Alcoholic_Liver_Disease,Human3,liver,C,H6,H,6,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26414736,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8578nnn/GSM8578531/suppl/GSM8578531_104307-001-040.counts.tsv.gz,Human3_040
GSM8578532,Hepatitis_B_+_hepatocellular_carcinoma,,liver,H0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,,HBHC,Hepatitis_B_+_hepatocellular_carcinoma,Human4,liver,Nc,H0,H,0,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26414737,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8578nnn/GSM8578532/suppl/GSM8578532_104307-001-049.counts.tsv.gz,Human4_049
GSM8578533,Hepatitis_B_+_hepatocellular_carcinoma,,liver,H6,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,,HBHC,Hepatitis_B_+_hepatocellular_carcinoma,Human4,liver,Nc,H6,H,6,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26414738,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8578nnn/GSM8578533/suppl/GSM8578533_104307-001-057.counts.tsv.gz,Human4_057
GSM8578534,Alcoholic_Liver_Disease,,liver,H0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,,ALD,Alcoholic_Liver_Disease,Human5,liver,C,H0,H,0,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26414739,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8578nnn/GSM8578534/suppl/GSM8578534_104307-001-065.counts.tsv.gz,Human5_065
GSM8578535,Alcoholic_Liver_Disease,,liver,H6,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,,ALD,Alcoholic_Liver_Disease,Human5,liver,C,H6,H,6,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26414740,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8578nnn/GSM8578535/suppl/GSM8578535_104307-001-072.counts.tsv.gz,Human5_072
