gsm,canon__stage,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__disease stage,raw__timepoint,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM8595812,healthy,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,healthy,day1,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509564,,D1.H1.231127
GSM8595813,healthy,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,healthy,day1,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509565,,D1.H2.231127
GSM8595814,healthy,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,healthy,day7,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509566,,D7.H1.231127
GSM8595815,healthy,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,healthy,day7,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509567,,D7.H2.231127
GSM8595816,healthy,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,healthy,day14,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509568,,D7.H3.231127
GSM8595817,healthy,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,healthy,day14,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509569,,D14.H1.231127
GSM8595818,healthy,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,healthy,day14,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509570,,D14.H2.231127
GSM8595819,healthy,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,healthy,day14,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509571,,D14.H3.231127
GSM8595820,healthy,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,healthy,day21,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509572,,D21.H1.231127
GSM8595821,healthy,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,healthy,day21,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509573,,D21.H2.231127
GSM8595822,MASH,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,MASH,day21,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509574,,D21.N.231127
GSM8595823,MASH,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,MASH,day1,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509575,,D1.A_S1
GSM8595824,MASH,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,MASH,day1,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509576,,D1.B_S2
GSM8595825,MASH,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,MASH,day7,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509577,,D7.A_S3
GSM8595826,MASH,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,MASH,day7,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509578,,D7.B_S4
GSM8595827,MASH,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,MASH,day7,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509579,,D7.C_S5
GSM8595828,MASH,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,MASH,day14,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509580,,D14.A_S6
GSM8595829,MASH,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,MASH,day14,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509581,,D14.B_S7
GSM8595830,MASH,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,MASH,day14,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509582,,D14.C_S8
GSM8595831,MASH,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,MASH,day21,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509583,,D21.A_S9
GSM8595832,MASH,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,MASH,day21,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509584,,D21.B_S10
GSM8595833,MASH,bioprinted liver,Illumina HiSeq 2500,cDNA,transcriptomic,ssRNA-seq,total RNA,Homo sapiens,GPL16791,MASH,day21,bioprinted liver,SRA,bioprinted liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26509585,,D21.C_S11
