gsm,canon__disease,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__age at_sacrifice_(mice),raw__ccl4 model_diet_(mice),raw__ccl4 model_dosage_(mice),raw__cell type,raw__cell/mouse line,raw__condition,raw__tissue,raw__treatment dose,sample_type,source_name,sra_relation,supplementary_files,title
GSM8648415,DMSO control,HCC immortalized cells,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18460,n/a,n/a,n/a,HCC immortalized cells,Hep3B,DMSO control,HCC immortalized cells,n/a,SRA,HCC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827382,,"Hep3B cells, DMSO control, biol rep 1"
GSM8648416,DMSO control,HCC immortalized cells,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18460,n/a,n/a,n/a,HCC immortalized cells,Hep3B,DMSO control,HCC immortalized cells,n/a,SRA,HCC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827383,,"Hep3B cells, DMSO control, biol rep 2"
GSM8648417,DMSO control,HCC immortalized cells,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18460,n/a,n/a,n/a,HCC immortalized cells,Hep3B,DMSO control,HCC immortalized cells,n/a,SRA,HCC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827384,,"Hep3B cells, DMSO control, biol rep 3"
GSM8648418,Salicylic acid-treated,HCC immortalized cells,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18460,n/a,n/a,n/a,HCC immortalized cells,Hep3B,Salicylic acid-treated,HCC immortalized cells,Salicylic acid 1mM,SRA,HCC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827385,,"Hep3B cells, Salsalate-treated, biol rep 1"
GSM8648419,Salicylic acid-treated,HCC immortalized cells,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18460,n/a,n/a,n/a,HCC immortalized cells,Hep3B,Salicylic acid-treated,HCC immortalized cells,Salicylic acid 1mM,SRA,HCC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827386,,"Hep3B cells, Salsalate-treated, biol rep 2"
GSM8648420,Salicylic acid-treated,HCC immortalized cells,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18460,n/a,n/a,n/a,HCC immortalized cells,Hep3B,Salicylic acid-treated,HCC immortalized cells,Salicylic acid 1mM,SRA,HCC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827387,,"Hep3B cells, Salsalate-treated, biol rep 3"
GSM8648421,Lenvatinib-mesylate-treated,HCC immortalized cells,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18460,n/a,n/a,n/a,HCC immortalized cells,Hep3B,Lenvatinib-mesylate-treated,HCC immortalized cells,Lenvatinib-mesylate 100nM,SRA,HCC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827388,,"Hep3B cells, Lenvatinib-treated, biol rep 1"
GSM8648422,Lenvatinib-mesylate-treated,HCC immortalized cells,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18460,n/a,n/a,n/a,HCC immortalized cells,Hep3B,Lenvatinib-mesylate-treated,HCC immortalized cells,Lenvatinib-mesylate 100nM,SRA,HCC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827389,,"Hep3B cells, Lenvatinib-treated, biol rep 2"
GSM8648423,Lenvatinib-mesylate-treated,HCC immortalized cells,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18460,n/a,n/a,n/a,HCC immortalized cells,Hep3B,Lenvatinib-mesylate-treated,HCC immortalized cells,Lenvatinib-mesylate 100nM,SRA,HCC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827390,,"Hep3B cells, Lenvatinib-treated, biol rep 3"
GSM8648424,Combination-treated,HCC immortalized cells,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18460,n/a,n/a,n/a,HCC immortalized cells,Hep3B,Combination-treated,HCC immortalized cells,Salicylic acid 1mM + Lenvatinib-mesylate 100nM,SRA,HCC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827391,,"Hep3B cells, Combination-treated, biol rep 1"
GSM8648425,Combination-treated,HCC immortalized cells,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18460,n/a,n/a,n/a,HCC immortalized cells,Hep3B,Combination-treated,HCC immortalized cells,Salicylic acid 1mM + Lenvatinib-mesylate 100nM,SRA,HCC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827392,,"Hep3B cells, Combination-treated, biol rep 2"
GSM8648426,Combination-treated,HCC immortalized cells,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18460,n/a,n/a,n/a,HCC immortalized cells,Hep3B,Combination-treated,HCC immortalized cells,Salicylic acid 1mM + Lenvatinib-mesylate 100nM,SRA,HCC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827393,,"Hep3B cells, Combination-treated, biol rep 3"
GSM8648427,vehicle control,non-tumor liver,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL30172,38 weeks,TD. 120528,(0.32 μg)/g of body weight  1x/wk,all non-tumor liver,"C57BL/6J, Male",vehicle control,non-tumor liver,n/a,SRA,non-tumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827394,,"Non-tumor liver tissue, vehicle gavaged, biol rep 1"
GSM8648428,vehicle control,non-tumor liver,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL30172,38 weeks,TD. 120528,(0.32 μg)/g of body weight  1x/wk,all non-tumor liver,"C57BL/6J, Male",vehicle control,non-tumor liver,n/a,SRA,non-tumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827395,,"Non-tumor liver tissue, vehicle gavaged, biol rep 2"
GSM8648429,vehicle control,non-tumor liver,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL30172,38 weeks,TD. 120528,(0.32 μg)/g of body weight  1x/wk,all non-tumor liver,"C57BL/6J, Male",vehicle control,non-tumor liver,n/a,SRA,non-tumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827396,,"Non-tumor liver tissue, vehicle gavaged, biol rep 3"
GSM8648430,vehicle control,non-tumor liver,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL30172,38 weeks,TD. 120528,(0.32 μg)/g of body weight  1x/wk,all non-tumor liver,"C57BL/6J, Male",vehicle control,non-tumor liver,n/a,SRA,non-tumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827397,,"Non-tumor liver tissue, vehicle gavaged, biol rep 4"
GSM8648431,vehicle control,non-tumor liver,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL30172,38 weeks,TD. 120528,(0.32 μg)/g of body weight  1x/wk,all non-tumor liver,"C57BL/6J, Male",vehicle control,non-tumor liver,n/a,SRA,non-tumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827402,,"Non-tumor liver tissue, vehicle gavaged, biol rep 5"
GSM8648432,vehicle control,non-tumor liver,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL30172,38 weeks,TD. 120528,(0.32 μg)/g of body weight  1x/wk,all non-tumor liver,"C57BL/6J, Male",vehicle control,non-tumor liver,n/a,SRA,non-tumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827403,,"Non-tumor liver tissue, vehicle gavaged, biol rep 6"
GSM8648433,Salsalate-treated,non-tumor liver,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL30172,38 weeks,TD. 120528,(0.32 μg)/g of body weight  1x/wk,all non-tumor liver,"C57BL/6J, Male",Salsalate-treated,non-tumor liver,Salsalate 300mg/kg/day,SRA,non-tumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827404,,"Non-tumor liver tissue, Salsalate gavaged, biol rep 1"
GSM8648434,Salsalate-treated,non-tumor liver,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL30172,38 weeks,TD. 120528,(0.32 μg)/g of body weight  1x/wk,all non-tumor liver,"C57BL/6J, Male",Salsalate-treated,non-tumor liver,Salsalate 300mg/kg/day,SRA,non-tumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827405,,"Non-tumor liver tissue, Salsalate gavaged, biol rep 2"
GSM8648435,Salsalate-treated,non-tumor liver,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL30172,38 weeks,TD. 120528,(0.32 μg)/g of body weight  1x/wk,all non-tumor liver,"C57BL/6J, Male",Salsalate-treated,non-tumor liver,Salsalate 300mg/kg/day,SRA,non-tumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827406,,"Non-tumor liver tissue, Salsalate gavaged, biol rep 3"
GSM8648436,Salsalate-treated,non-tumor liver,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL30172,38 weeks,TD. 120528,(0.32 μg)/g of body weight  1x/wk,all non-tumor liver,"C57BL/6J, Male",Salsalate-treated,non-tumor liver,Salsalate 300mg/kg/day,SRA,non-tumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827407,,"Non-tumor liver tissue, Salsalate gavaged, biol rep 4"
GSM8648437,Salsalate-treated,non-tumor liver,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL30172,38 weeks,TD. 120528,(0.32 μg)/g of body weight  1x/wk,all non-tumor liver,"C57BL/6J, Male",Salsalate-treated,non-tumor liver,Salsalate 300mg/kg/day,SRA,non-tumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827408,,"Non-tumor liver tissue, Salsalate gavaged, biol rep 5"
GSM8648438,Salsalate-treated,non-tumor liver,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL30172,38 weeks,TD. 120528,(0.32 μg)/g of body weight  1x/wk,all non-tumor liver,"C57BL/6J, Male",Salsalate-treated,non-tumor liver,Salsalate 300mg/kg/day,SRA,non-tumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827409,,"Non-tumor liver tissue, Salsalate gavaged, biol rep 6"
GSM8648439,Lenvatinib-treated,non-tumor liver,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL30172,38 weeks,TD. 120528,(0.32 μg)/g of body weight  1x/wk,all non-tumor liver,"C57BL/6J, Male",Lenvatinib-treated,non-tumor liver,Lenvatinib Mesylate 2.5mg/kg/day,SRA,non-tumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26827410,,"Non-tumor liver tissue, Lenvatinib gavaged, biol rep 1"
