gsm,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,sample_type,source_name,sra_relation,supplementary_files,title
GSM8748885,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413751,,HSC001_UNTREATED+COLCOAT_4day_R1_1
GSM8748886,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413752,,HSC001_UNTREATED+COLCOAT_4day_R2_1
GSM8748887,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413753,,HSC001_UNTREATED+COLCOAT_4day_R3_1
GSM8748888,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413754,,HSC001_TGFB1+COLCOAT_4day_R1_1
GSM8748889,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413755,,HSC001_TGFB1+COLCOAT_4day_R2_1
GSM8748890,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413756,,HSC001_TGFB1+COLCOAT_4day_R3_1
GSM8748891,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413757,,HSC001_UNTREATED+NOCOAT_7day_R1_1
GSM8748892,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413758,,HSC001_UNTREATED+NOCOAT_7day_R2_1
GSM8748893,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413759,,HSC001_UNTREATED+NOCOAT_7day_R3_1
GSM8748894,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413760,,HSC001_TGFB1+NOCOAT_7day_R1_1
GSM8748895,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413761,,HSC001_TGFB1+NOCOAT_7day_R2_1
GSM8748896,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413762,,HSC001_TGFB1+NOCOAT_7day_R3_1
GSM8748897,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413763,,HSC001_UNTREATED+COLCOAT_4day_R4_1
GSM8748898,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413764,,HSC001_TGFB1+COLCOAT_4day_R4_1
GSM8748899,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413765,,HSC001_UNTREATED+COLCOAT_4day_R1_2
GSM8748900,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413766,,HSC001_UNTREATED+COLCOAT_4day_R2_2
GSM8748901,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413767,,HSC001_UNTREATED+COLCOAT_4day_R3_2
GSM8748902,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413768,,HSC001_TGFB1+COLCOAT_4day_R1_2
GSM8748903,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413769,,HSC001_TGFB1+COLCOAT_4day_R2_2
GSM8748904,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413770,,HSC001_TGFB1+COLCOAT_4day_R3_2
GSM8748905,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413771,,HSC001_UNTREATED+NOCOAT_7day_R1_2
GSM8748906,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413772,,HSC001_UNTREATED+NOCOAT_7day_R2_2
GSM8748907,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413773,,HSC001_UNTREATED+NOCOAT_7day_R3_2
GSM8748908,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413774,,HSC001_TGFB1+NOCOAT_7day_R1_2
GSM8748909,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413775,,HSC001_TGFB1+NOCOAT_7day_R2_2
GSM8748910,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413776,,HSC001_TGFB1+NOCOAT_7day_R3_2
GSM8748911,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413777,,HSC001_UNTREATED+COLCOAT_4day_R4_2
GSM8748912,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX27413778,,HSC001_TGFB1+COLCOAT_4day_R4_2
