gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__batch,raw__strain,raw__subject status,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8758624,liver,Treatment naïve,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,1,,ENEG patients with MASLD,liver,Treatment naïve,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479602,,EM1
GSM8758625,liver,Treatment naïve,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,1,,ENEG patients with MASLD,liver,Treatment naïve,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479603,,EM2
GSM8758626,liver,Treatment naïve,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,1,,ENEG patients with MASLD,liver,Treatment naïve,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479604,,EM3
GSM8758627,liver,Treatment naïve,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,1,,ENEG patients with MASLD,liver,Treatment naïve,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479605,,EM4
GSM8758628,liver,Treatment naïve,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,1,,ENEG patients with MASLD,liver,Treatment naïve,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479606,,EM5
GSM8758629,liver,Treatment naïve,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,1,,ENEG patients with MASLD,liver,Treatment naïve,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479607,,EM6
GSM8758630,liver,Treatment naïve,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,1,,ENEG patients with MASLD,liver,Treatment naïve,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479608,,EM7
GSM8758631,liver,Treatment naïve,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,1,,ENEG patients with MASLD,liver,Treatment naïve,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479609,,EM8
GSM8758632,liver,Treatment naïve,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,1,,ENEG patients with MASLD,liver,Treatment naïve,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479610,,EM9
GSM8758633,liver,Treatment naïve,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,1,,ENEG patients with MASLD,liver,Treatment naïve,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479611,,EM10
GSM8758634,liver,Treatment naïve,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,1,,ENEG patients with MASLD,liver,Treatment naïve,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479612,,EM11
GSM8758635,liver,Treatment naïve,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,1,,ENEG patient,liver,Treatment naïve,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479613,,E1
GSM8758636,liver,Treatment naïve,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,1,,ENEG patient,liver,Treatment naïve,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479614,,E2
GSM8758637,liver,Treatment naïve,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,1,,ENEG patient,liver,Treatment naïve,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479615,,E3
GSM8758638,liver,Treatment naïve,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,1,,ENEG patient,liver,Treatment naïve,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479616,,E4
GSM8758639,liver,Treatment naïve,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,1,,ENEG patient,liver,Treatment naïve,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479617,,E5
GSM8758640,liver,Treatment naïve,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,2,,ENEG patient,liver,Treatment naïve,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479618,,E6
GSM8758641,liver,Treatment naïve,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,2,,ENEG patient,liver,Treatment naïve,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479619,,E7
GSM8758642,liver,rAAV8-1.3 HBV injection + chow diet,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL34290,3,C57BL/6,,liver,rAAV8-1.3 HBV injection + chow diet,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479620,,HBV1
GSM8758643,liver,rAAV8-1.3 HBV injection + chow diet,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL34290,3,C57BL/6,,liver,rAAV8-1.3 HBV injection + chow diet,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479621,,HBV2
GSM8758644,liver,rAAV8-1.3 HBV injection + chow diet,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL34290,3,C57BL/6,,liver,rAAV8-1.3 HBV injection + chow diet,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479622,,HBV3
GSM8758645,liver,rAAV8-1.3 HBV injection + chow diet,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL34290,3,C57BL/6,,liver,rAAV8-1.3 HBV injection + chow diet,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479623,,HBV4
GSM8758646,liver,rAAV8-1.3 HBV injection + chow diet,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL34290,3,C57BL/6,,liver,rAAV8-1.3 HBV injection + chow diet,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479624,,HBV5
GSM8758647,liver,rAAV8-1.3 HBV injection + high fat diet,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL34290,3,C57BL/6,,liver,rAAV8-1.3 HBV injection + high fat diet,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479625,,HBV-MASLD1
GSM8758648,liver,rAAV8-1.4 HBV injection + high fat diet,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL34290,3,C57BL/6,,liver,rAAV8-1.4 HBV injection + high fat diet,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479626,,HBV-MASLD2
GSM8758649,liver,rAAV8-1.5 HBV injection + high fat diet,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL34290,3,C57BL/6,,liver,rAAV8-1.5 HBV injection + high fat diet,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479627,,HBV-MASLD3
GSM8758650,liver,rAAV8-1.6 HBV injection + high fat diet,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL34290,3,C57BL/6,,liver,rAAV8-1.6 HBV injection + high fat diet,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479628,,HBV-MASLD4
GSM8758651,liver,chow diet,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL34290,3,C57BL/6,,liver,chow diet,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479629,,Control1
GSM8758652,liver,chow diet,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL34290,3,C57BL/6,,liver,chow diet,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479630,,Control2
GSM8758653,liver,chow diet,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL34290,3,C57BL/6,,liver,chow diet,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479631,,Control3
GSM8758654,liver,chow diet,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL34290,3,C57BL/6,,liver,chow diet,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479632,,Control4
GSM8758655,liver,high fat diet,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL34290,3,C57BL/6,,liver,high fat diet,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27479633,,MASLD1
