gsm,canon__disease,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell type,raw__disease state,sample_type,source_name,sra_relation,supplementary_files,title
GSM8873319,NAFL donor,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,Primary hepatic stellate cells,NAFL donor,SRA,Primary hepatic stellate cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX28151104,,00SC-CTRL-1
GSM8873320,NAFL donor,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,Primary hepatic stellate cells,NAFL donor,SRA,Primary hepatic stellate cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX28151105,,00SC-CTRL-2
GSM8873321,NAFL donor,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,Primary hepatic stellate cells,NAFL donor,SRA,Primary hepatic stellate cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX28151106,,00SC-IVA-1
GSM8873322,NAFL donor,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,Primary hepatic stellate cells,NAFL donor,SRA,Primary hepatic stellate cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX28151107,,00SC-IVA-2
GSM8873323,NASH donor,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,Primary hepatic stellate cells,NASH donor,SRA,Primary hepatic stellate cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX28151108,,55SC-CTRL-1
GSM8873324,NASH donor,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,Primary hepatic stellate cells,NASH donor,SRA,Primary hepatic stellate cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX28151109,,55SC-CTRL-2
GSM8873325,NASH donor,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,Primary hepatic stellate cells,NASH donor,SRA,Primary hepatic stellate cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX28151110,,55SC-IVA-1
GSM8873326,NASH donor,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,Primary hepatic stellate cells,NASH donor,SRA,Primary hepatic stellate cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX28151111,,55SC-IVA-2
GSM8873327,NASH donor,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,Human liver spheroid,NASH donor,SRA,Human liver spheroid,https://www.ncbi.nlm.nih.gov/sra?term=SRX28151112,,Spheroid-CTRL-1
GSM8873328,NASH donor,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,Human liver spheroid,NASH donor,SRA,Human liver spheroid,https://www.ncbi.nlm.nih.gov/sra?term=SRX28151113,,Spheroid-CTRL-2
GSM8873329,NASH donor,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,Human liver spheroid,NASH donor,SRA,Human liver spheroid,https://www.ncbi.nlm.nih.gov/sra?term=SRX28151114,,Spheroid-NASH-1
GSM8873330,NASH donor,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,Human liver spheroid,NASH donor,SRA,Human liver spheroid,https://www.ncbi.nlm.nih.gov/sra?term=SRX28151115,,Spheroid-NASH-2
GSM8873331,NASH donor,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,Human liver spheroid,NASH donor,SRA,Human liver spheroid,https://www.ncbi.nlm.nih.gov/sra?term=SRX28151116,,Spheroid-IVA-1
GSM8873332,NASH donor,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,Human liver spheroid,NASH donor,SRA,Human liver spheroid,https://www.ncbi.nlm.nih.gov/sra?term=SRX28151117,,Spheroid-IVA-2
