gsm,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8877024,H2O,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,H2O,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167004,,"HepG2 cells, control H2O rep 1"
GSM8877025,H2O,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,H2O,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167005,,"HepG2 cells, control H2O rep 2"
GSM8877026,H2O,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,H2O,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167006,,"HepG2 cells, control H2O rep 3"
GSM8877027,H2O,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,H2O,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167007,,"HepG2 cells, control H2O rep 4"
GSM8877028,CdCl2,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,CdCl2,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167008,,"HepG2 cells, CdCl2 rep 1"
GSM8877029,CdCl2,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,CdCl2,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167009,,"HepG2 cells, CdCl2 rep 2"
GSM8877030,CdCl2,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,CdCl2,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167010,,"HepG2 cells, CdCl2 rep 3"
GSM8877031,CdCl2,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,CdCl2,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167011,,"HepG2 cells, CdCl2 rep 4"
GSM8877032,DMSO,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,DMSO,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167012,,"HepG2 cells, control DMSO, rep 1"
GSM8877033,DMSO,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,DMSO,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167013,,"HepG2 cells, control DMSO, rep 2"
GSM8877034,DMSO,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,DMSO,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167014,,"HepG2 cells, control DMSO, rep 3"
GSM8877035,DMSO,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,DMSO,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167015,,"HepG2 cells, control DMSO, rep 4"
GSM8877036,TCDD,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,TCDD,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167016,,"HepG2 cells, TCDD, rep 1"
GSM8877037,TCDD,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,TCDD,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167017,,"HepG2 cells, TCDD, rep 2"
GSM8877038,TCDD,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,TCDD,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167018,,"HepG2 cells, TCDD, rep 3"
GSM8877039,TCDD,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,TCDD,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167019,,"HepG2 cells, TCDD, rep 4"
GSM8877040,PFOS,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,PFOS,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167020,,"HepG2 cells, PFOS, rep 1"
GSM8877041,PFOS,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,PFOS,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167021,,"HepG2 cells, PFOS, rep 2"
GSM8877042,PFOS,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,PFOS,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167022,,"HepG2 cells, PFOS, rep 3"
GSM8877043,PFOS,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,PFOS,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167023,,"HepG2 cells, PFOS, rep 4"
GSM8877044,BPA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,BPA,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167024,,"HepG2 cells, BPA, rep 1"
GSM8877045,BPA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,BPA,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167025,,"HepG2 cells, BPA, rep 2"
GSM8877046,BPA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,BPA,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167026,,"HepG2 cells, BPA, rep 3"
GSM8877047,BPA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,BPA,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167027,,"HepG2 cells, BPA, rep 4"
GSM8877048,TBTCl,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,TBTCl,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167028,,"HepG2 cells, TBTCl, rep 1"
GSM8877049,TBTCl,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,TBTCl,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167029,,"HepG2 cells, TBTCl, rep 2"
GSM8877050,TBTCl,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,TBTCl,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167030,,"HepG2 cells, TBTCl, rep 3"
GSM8877051,TBTCl,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2,hepatocyte,TBTCl,SRA,HepG2,https://www.ncbi.nlm.nih.gov/sra?term=SRX28167031,,"HepG2 cells, TBTCl, rep 4"
