gsm,canon__disease,canon__sex,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__Sex,raw__disease state,raw__genotype,raw__probe barcode,raw__strain,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM9021483,,Male,liver,CCl4,Illumina HiSeq 4000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Mus musculus,GPL21103,Male,,WT,,,liver,CCl4,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX29021619,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021483/suppl/GSM9021483_MouseLiver_RNA_ImmuneCells_CCl4_24hr_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021483/suppl/GSM9021483_MouseLiver_RNA_ImmuneCells_CCl4_24hr_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021483/suppl/GSM9021483_MouseLiver_RNA_ImmuneCells_CCl4_24hr_matrix.mtx.gz,MouseLiver_RNA_ImmuneCells_CCl4_24hr
GSM9021484,,Male,liver,CCl4,Illumina HiSeq 4000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Mus musculus,GPL21103,Male,,WT,,,liver,CCl4,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX29021620,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021484/suppl/GSM9021484_MouseLiver_RNA_ImmuneCells_CCl4_96hr_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021484/suppl/GSM9021484_MouseLiver_RNA_ImmuneCells_CCl4_96hr_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021484/suppl/GSM9021484_MouseLiver_RNA_ImmuneCells_CCl4_96hr_matrix.mtx.gz,MouseLiver_RNA_ImmuneCells_CCl4_96hr
GSM9021485,,Male,liver,CCl4,Illumina HiSeq 4000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Mus musculus,GPL21103,Male,,WT,,,liver,CCl4,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX29021621,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021485/suppl/GSM9021485_MouseLiver_RNA_ImmuneCells_CCl4_4wk_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021485/suppl/GSM9021485_MouseLiver_RNA_ImmuneCells_CCl4_4wk_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021485/suppl/GSM9021485_MouseLiver_RNA_ImmuneCells_CCl4_4wk_matrix.mtx.gz,MouseLiver_RNA_ImmuneCells_CCl4_4wk
GSM9021486,,Male,liver,Healthy,Illumina HiSeq 4000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Mus musculus,GPL21103,Male,,WT,,,liver,Healthy,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX29021622,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021486/suppl/GSM9021486_MouseLiver_RNA_ImmuneCells_Ctrl_24hr_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021486/suppl/GSM9021486_MouseLiver_RNA_ImmuneCells_Ctrl_24hr_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021486/suppl/GSM9021486_MouseLiver_RNA_ImmuneCells_Ctrl_24hr_matrix.mtx.gz,MouseLiver_RNA_ImmuneCells_Ctrl_24hr
GSM9021487,,Male,liver,Healthy,Illumina HiSeq 4000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Mus musculus,GPL21103,Male,,WT,,,liver,Healthy,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX29021623,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021487/suppl/GSM9021487_MouseLiver_RNA_ImmuneCells_Ctrl_96hr_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021487/suppl/GSM9021487_MouseLiver_RNA_ImmuneCells_Ctrl_96hr_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021487/suppl/GSM9021487_MouseLiver_RNA_ImmuneCells_Ctrl_96hr_matrix.mtx.gz,MouseLiver_RNA_ImmuneCells_Ctrl_96hr
GSM9021488,,Male,liver,Healthy,Illumina HiSeq 4000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Mus musculus,GPL21103,Male,,WT,,,liver,Healthy,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX29021624,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021488/suppl/GSM9021488_MouseLiver_RNA_ImmuneCells_Ctrl_4wk_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021488/suppl/GSM9021488_MouseLiver_RNA_ImmuneCells_Ctrl_4wk_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021488/suppl/GSM9021488_MouseLiver_RNA_ImmuneCells_Ctrl_4wk_matrix.mtx.gz,MouseLiver_RNA_ImmuneCells_Ctrl_4wk
GSM9021489,,Male,blood,CCl4,Illumina HiSeq 4000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Mus musculus,GPL21103,Male,,WT,,,blood,CCl4,SRA,blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX29021625,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021489/suppl/GSM9021489_MouseBlood_RNA_ImmuneCells_CCl4_24hr_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021489/suppl/GSM9021489_MouseBlood_RNA_ImmuneCells_CCl4_24hr_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021489/suppl/GSM9021489_MouseBlood_RNA_ImmuneCells_CCl4_24hr_matrix.mtx.gz,MouseBlood_RNA_ImmuneCells_CCl4_24hr
GSM9021490,,Male,blood,CCl4,Illumina HiSeq 4000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Mus musculus,GPL21103,Male,,WT,,,blood,CCl4,SRA,blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX29021626,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021490/suppl/GSM9021490_MouseBlood_RNA_ImmuneCells_CCl4_96hr_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021490/suppl/GSM9021490_MouseBlood_RNA_ImmuneCells_CCl4_96hr_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021490/suppl/GSM9021490_MouseBlood_RNA_ImmuneCells_CCl4_96hr_matrix.mtx.gz,MouseBlood_RNA_ImmuneCells_CCl4_96hr
GSM9021491,,Male,blood,CCl4,Illumina HiSeq 4000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Mus musculus,GPL21103,Male,,WT,,,blood,CCl4,SRA,blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX29021627,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021491/suppl/GSM9021491_MouseBlood_RNA_ImmuneCells_CCl4_4wk_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021491/suppl/GSM9021491_MouseBlood_RNA_ImmuneCells_CCl4_4wk_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021491/suppl/GSM9021491_MouseBlood_RNA_ImmuneCells_CCl4_4wk_matrix.mtx.gz,MouseBlood_RNA_ImmuneCells_CCl4_4wk
GSM9021492,,Male,blood,Healthy,Illumina HiSeq 4000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Mus musculus,GPL21103,Male,,WT,,,blood,Healthy,SRA,blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX29021628,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021492/suppl/GSM9021492_MouseBlood_RNA_ImmuneCells_Ctrl_24hr_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021492/suppl/GSM9021492_MouseBlood_RNA_ImmuneCells_Ctrl_24hr_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9021nnn/GSM9021492/suppl/GSM9021492_MouseBlood_RNA_ImmuneCells_Ctrl_24hr_matrix.mtx.gz,MouseBlood_RNA_ImmuneCells_Ctrl_24hr
