gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__genotype,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM9049399,Human liver organoids,DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,GCKR rs1260326 CC,Human liver organoids,DMSO,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29191293,,Wild-type sHLO treated with vehicle_1
GSM9049400,Human liver organoids,DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,GCKR rs1260326 CC,Human liver organoids,DMSO,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29191294,,Wild-type sHLO treated with vehicle_2
GSM9049401,Human liver organoids,DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,GCKR rs1260326 CC,Human liver organoids,DMSO,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29191295,,Wild-type sHLO treated with vehicle_3
GSM9049402,Human liver organoids,TLC-2716,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,GCKR rs1260326 CC,Human liver organoids,TLC-2716,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29191296,,Wild-type sHLO treated with TLC-2716_1
GSM9049403,Human liver organoids,TLC-2716,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,GCKR rs1260326 CC,Human liver organoids,TLC-2716,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29191297,,Wild-type sHLO treated with TLC-2716_2
GSM9049404,Human liver organoids,TLC-2716,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,GCKR rs1260326 CC,Human liver organoids,TLC-2716,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29191298,,Wild-type sHLO treated with TLC-2716_3
GSM9049405,Human liver organoids,DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,GCKR rs1260326 TT,Human liver organoids,DMSO,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29191299,,GCKR mutation carried sHLOs treated with vehicle_1
GSM9049406,Human liver organoids,DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,GCKR rs1260326 TT,Human liver organoids,DMSO,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29191300,,GCKR mutation carried sHLOs treated with vehicle_2
GSM9049407,Human liver organoids,DMSO,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,GCKR rs1260326 TT,Human liver organoids,DMSO,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29191301,,GCKR mutation carried sHLOs treated with vehicle_3
GSM9049408,Human liver organoids,TLC-2716,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,GCKR rs1260326 TT,Human liver organoids,TLC-2716,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29191302,,GCKR mutation carried sHLOs treated with TLC-2716_1
GSM9049409,Human liver organoids,TLC-2716,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,GCKR rs1260326 TT,Human liver organoids,TLC-2716,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29191303,,GCKR mutation carried sHLOs treated with TLC-2716_2
GSM9049410,Human liver organoids,TLC-2716,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL23227,GCKR rs1260326 TT,Human liver organoids,TLC-2716,SRA,Human liver organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29191304,,GCKR mutation carried sHLOs treated with TLC-2716_3
