gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__genotype,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM9213050,Fibroblast,Proliferating,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,MRC5,Human lung fibroblast,WT,Fibroblast,Proliferating,SRA,Fibroblast,https://www.ncbi.nlm.nih.gov/sra?term=SRX30335518,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9213nnn/GSM9213050/suppl/GSM9213050_SV01.counts.txt.gz,"Proliferating MRC5 fibroblast, pLenti CRISPR/Cas9; Replicate 1"
GSM9213051,Fibroblast,Proliferating,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,MRC5,Human lung fibroblast,WT,Fibroblast,Proliferating,SRA,Fibroblast,https://www.ncbi.nlm.nih.gov/sra?term=SRX30335519,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9213nnn/GSM9213051/suppl/GSM9213051_SV02.counts.txt.gz,"Proliferating MRC5 fibroblast, pLenti CRISPR/Cas9; Replicate 2"
GSM9213052,Fibroblast,Proliferating,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,MRC5,Human lung fibroblast,WT,Fibroblast,Proliferating,SRA,Fibroblast,https://www.ncbi.nlm.nih.gov/sra?term=SRX30335520,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9213nnn/GSM9213052/suppl/GSM9213052_SV03.counts.txt.gz,"Proliferating MRC5 fibroblast, pLenti CRISPR/Cas9; Replicate 3"
GSM9213053,Fibroblast,Proliferating,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,MRC5,Human lung fibroblast,IFIH1 KO,Fibroblast,Proliferating,SRA,Fibroblast,https://www.ncbi.nlm.nih.gov/sra?term=SRX30335521,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9213nnn/GSM9213053/suppl/GSM9213053_SV04.counts.txt.gz,"Proliferating MRC5 fibroblast, IFIH1 CRISPR/Cas9; Replicate 1"
GSM9213054,Fibroblast,Proliferating,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,MRC5,Human lung fibroblast,IFIH1 KO,Fibroblast,Proliferating,SRA,Fibroblast,https://www.ncbi.nlm.nih.gov/sra?term=SRX30335522,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9213nnn/GSM9213054/suppl/GSM9213054_SV05.counts.txt.gz,"Proliferating MRC5 fibroblast, IFIH1 CRISPR/Cas9; Replicate 2"
GSM9213055,Fibroblast,Proliferating,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,MRC5,Human lung fibroblast,IFIH1 KO,Fibroblast,Proliferating,SRA,Fibroblast,https://www.ncbi.nlm.nih.gov/sra?term=SRX30335523,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9213nnn/GSM9213055/suppl/GSM9213055_SV06.counts.txt.gz,"Proliferating MRC5 fibroblast, IFIH1 CRISPR/Cas9; Replicate 3"
GSM9213056,Fibroblast,Proliferating,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,MRC5,Human lung fibroblast,DDX58 KO,Fibroblast,Proliferating,SRA,Fibroblast,https://www.ncbi.nlm.nih.gov/sra?term=SRX30335524,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9213nnn/GSM9213056/suppl/GSM9213056_SV07.counts.txt.gz,"Proliferating MRC5 fibroblast, DDX58 CRISPR/Cas9; Replicate 1"
GSM9213057,Fibroblast,Proliferating,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,MRC5,Human lung fibroblast,DDX58 KO,Fibroblast,Proliferating,SRA,Fibroblast,https://www.ncbi.nlm.nih.gov/sra?term=SRX30335525,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9213nnn/GSM9213057/suppl/GSM9213057_SV08.counts.txt.gz,"Proliferating MRC5 fibroblast, DDX58 CRISPR/Cas9; Replicate 2"
GSM9213058,Fibroblast,Proliferating,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,MRC5,Human lung fibroblast,DDX58 KO,Fibroblast,Proliferating,SRA,Fibroblast,https://www.ncbi.nlm.nih.gov/sra?term=SRX30335526,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9213nnn/GSM9213058/suppl/GSM9213058_SV09.counts.txt.gz,"Proliferating MRC5 fibroblast, DDX58 CRISPR/Cas9; Replicate 3"
GSM9213059,Fibroblast,20Gy X-ray irradiation,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,MRC5,Human lung fibroblast,WT,Fibroblast,20Gy X-ray irradiation,SRA,Fibroblast,https://www.ncbi.nlm.nih.gov/sra?term=SRX30335535,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9213nnn/GSM9213059/suppl/GSM9213059_SV11.counts.txt.gz,"Senescent MRC5 fibroblast, pLenti CRISPR/Cas9; Replicate 2"
