gsm,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__plasmid condition,raw__tgfb1 dose,raw__tissue,raw__treatment dose,raw__treatment time,sample_type,source_name,sra_relation,supplementary_files,title
GSM9223734,HSC immortalized cells,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,LX-2,hepatic stellate cells,400 ng PRP-empty,2.5 ng/mL,HSC immortalized cells,DMSO,24 hours,SRA,HSC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX30399312,,"LX-2 cells, PRP-empty, TGFb1, DMSO, biol rep 1"
GSM9223735,HSC immortalized cells,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,LX-2,hepatic stellate cells,400 ng PRP-empty,2.5 ng/mL,HSC immortalized cells,DMSO,24 hours,SRA,HSC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX30399313,,"LX-2 cells, PRP-empty, TGFb1, DMSO, biol rep 2"
GSM9223736,HSC immortalized cells,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,LX-2,hepatic stellate cells,400 ng PRP-empty,2.5 ng/mL,HSC immortalized cells,DMSO,24 hours,SRA,HSC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX30399314,,"LX-2 cells, PRP-empty, TGFb1, DMSO, biol rep 3"
GSM9223737,HSC immortalized cells,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,LX-2,hepatic stellate cells,400 ng PRP-empty,2.5 ng/mL,HSC immortalized cells,30 µM EVT0185,24 hours,SRA,HSC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX30399315,,"LX-2 cells, PRP-empty, TGFb1, EVT0185, biol rep 1"
GSM9223738,HSC immortalized cells,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,LX-2,hepatic stellate cells,400 ng PRP-empty,2.5 ng/mL,HSC immortalized cells,30 µM EVT0185,24 hours,SRA,HSC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX30399316,,"LX-2 cells, PRP-empty, TGFb1, EVT0185, biol rep 2"
GSM9223739,HSC immortalized cells,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,LX-2,hepatic stellate cells,400 ng PRP-empty,2.5 ng/mL,HSC immortalized cells,30 µM EVT0185,24 hours,SRA,HSC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX30399317,,"LX-2 cells, PRP-empty, TGFb1, EVT0185, biol rep 3"
GSM9223740,HSC immortalized cells,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,LX-2,hepatic stellate cells,400 ng PRP-SLC27A2,2.5 ng/mL,HSC immortalized cells,DMSO,24 hours,SRA,HSC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX30399318,,"LX-2 cells, PRP-SLC27A2, TGFb1, DMSO, biol rep 1"
GSM9223741,HSC immortalized cells,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,LX-2,hepatic stellate cells,400 ng PRP-SLC27A2,2.5 ng/mL,HSC immortalized cells,DMSO,24 hours,SRA,HSC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX30399319,,"LX-2 cells, PRP-SLC27A2, TGFb1, DMSO, biol rep 2"
GSM9223742,HSC immortalized cells,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,LX-2,hepatic stellate cells,400 ng PRP-SLC27A2,2.5 ng/mL,HSC immortalized cells,DMSO,24 hours,SRA,HSC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX30399320,,"LX-2 cells, PRP-SLC27A2, TGFb1, DMSO, biol rep 3"
GSM9223743,HSC immortalized cells,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,LX-2,hepatic stellate cells,400 ng PRP-SLC27A2,2.5 ng/mL,HSC immortalized cells,30 µM EVT0185,24 hours,SRA,HSC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX30399321,,"LX-2 cells, PRP-SLC27A2, TGFb1, EVT0185, biol rep 1"
GSM9223744,HSC immortalized cells,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,LX-2,hepatic stellate cells,400 ng PRP-SLC27A2,2.5 ng/mL,HSC immortalized cells,30 µM EVT0185,24 hours,SRA,HSC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX30399322,,"LX-2 cells, PRP-SLC27A2, TGFb1, EVT0185, biol rep 2"
GSM9223745,HSC immortalized cells,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,LX-2,hepatic stellate cells,400 ng PRP-SLC27A2,2.5 ng/mL,HSC immortalized cells,30 µM EVT0185,24 hours,SRA,HSC immortalized cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX30399323,,"LX-2 cells, PRP-SLC27A2, TGFb1, EVT0185, biol rep 3"
