gsm,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__batch,raw__cell type,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM9284751,Vehicle,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,2025-03-25,Primary human hepatic sinusoidal endothelial cells (HHSEC),Vehicle,SRA,Primary human hepatic sinusoidal endothelial cells (HHSEC),https://www.ncbi.nlm.nih.gov/sra?term=SRX31067785,,HHSEC bulk RNA-seq - Vehicle control-veh-1
GSM9284752,Vehicle,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,2025-03-26,Primary human hepatic sinusoidal endothelial cells (HHSEC),Vehicle,SRA,Primary human hepatic sinusoidal endothelial cells (HHSEC),https://www.ncbi.nlm.nih.gov/sra?term=SRX31067786,,HHSEC bulk RNA-seq - Vehicle control-veh-2
GSM9284753,Vehicle,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,2025-03-27,Primary human hepatic sinusoidal endothelial cells (HHSEC),Vehicle,SRA,Primary human hepatic sinusoidal endothelial cells (HHSEC),https://www.ncbi.nlm.nih.gov/sra?term=SRX31067787,,HHSEC bulk RNA-seq - Vehicle control-veh-3
GSM9284754,PA 500uM,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,2025-03-28,Primary human hepatic sinusoidal endothelial cells (HHSEC),PA 500uM,SRA,Primary human hepatic sinusoidal endothelial cells (HHSEC),https://www.ncbi.nlm.nih.gov/sra?term=SRX31067788,,HHSEC bulk RNA-seq - PA 500uM-1
GSM9284755,PA 500uM,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,2025-03-29,Primary human hepatic sinusoidal endothelial cells (HHSEC),PA 500uM,SRA,Primary human hepatic sinusoidal endothelial cells (HHSEC),https://www.ncbi.nlm.nih.gov/sra?term=SRX31067789,,HHSEC bulk RNA-seq - PA 500uM-2
GSM9284756,PA 500uM,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,2025-03-30,Primary human hepatic sinusoidal endothelial cells (HHSEC),PA 500uM,SRA,Primary human hepatic sinusoidal endothelial cells (HHSEC),https://www.ncbi.nlm.nih.gov/sra?term=SRX31067790,,HHSEC bulk RNA-seq - PA 500uM-3
GSM9284757,PA 800uM,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,2025-03-31,Primary human hepatic sinusoidal endothelial cells (HHSEC),PA 800uM,SRA,Primary human hepatic sinusoidal endothelial cells (HHSEC),https://www.ncbi.nlm.nih.gov/sra?term=SRX31067791,,HHSEC bulk RNA-seq - PA 800uM-1
GSM9284758,PA 800uM,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,2025-03-32,Primary human hepatic sinusoidal endothelial cells (HHSEC),PA 800uM,SRA,Primary human hepatic sinusoidal endothelial cells (HHSEC),https://www.ncbi.nlm.nih.gov/sra?term=SRX31067792,,HHSEC bulk RNA-seq - PA 800uM-2
GSM9284759,PA 800uM,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,2025-03-33,Primary human hepatic sinusoidal endothelial cells (HHSEC),PA 800uM,SRA,Primary human hepatic sinusoidal endothelial cells (HHSEC),https://www.ncbi.nlm.nih.gov/sra?term=SRX31067793,,HHSEC bulk RNA-seq - PA 800uM-3
GSM9284760,PA 500uM+LY,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,2025-03-34,Primary human hepatic sinusoidal endothelial cells (HHSEC),PA 500uM+LY,SRA,Primary human hepatic sinusoidal endothelial cells (HHSEC),https://www.ncbi.nlm.nih.gov/sra?term=SRX31067794,,HHSEC bulk RNA-seq - PA 500uM + LY-1
GSM9284761,PA 500uM+LY,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,2025-03-35,Primary human hepatic sinusoidal endothelial cells (HHSEC),PA 500uM+LY,SRA,Primary human hepatic sinusoidal endothelial cells (HHSEC),https://www.ncbi.nlm.nih.gov/sra?term=SRX31067795,,HHSEC bulk RNA-seq - PA 500uM + LY-2
GSM9284762,PA 500uM+LY,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,2025-03-36,Primary human hepatic sinusoidal endothelial cells (HHSEC),PA 500uM+LY,SRA,Primary human hepatic sinusoidal endothelial cells (HHSEC),https://www.ncbi.nlm.nih.gov/sra?term=SRX31067796,,HHSEC bulk RNA-seq - PA 500uM + LY-3
