gsm,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM9524176,liver,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32060548,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524176/suppl/GSM9524176_PT-1-barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524176/suppl/GSM9524176_PT-1-features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524176/suppl/GSM9524176_PT-1-matrix.mtx.gz,PT-1
GSM9524177,liver,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32060549,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524177/suppl/GSM9524177_T-1-barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524177/suppl/GSM9524177_T-1-features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524177/suppl/GSM9524177_T-1-matrix.mtx.gz,T-1
GSM9524178,blood,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,blood,SRA,blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX32060558,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524178/suppl/GSM9524178_con-1-barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524178/suppl/GSM9524178_con-1-features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524178/suppl/GSM9524178_con-1-matrix.mtx.gz,con-1
GSM9524179,blood,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,blood,SRA,blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX32060559,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524179/suppl/GSM9524179_con-2-barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524179/suppl/GSM9524179_con-2-features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524179/suppl/GSM9524179_con-2-matrix.mtx.gz,con-2
GSM9524180,liver,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32060560,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524180/suppl/GSM9524180_PT-2-barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524180/suppl/GSM9524180_PT-2-features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524180/suppl/GSM9524180_PT-2-matrix.mtx.gz,PT-2
GSM9524181,liver,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32060561,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524181/suppl/GSM9524181_T-2-barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524181/suppl/GSM9524181_T-2-features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524181/suppl/GSM9524181_T-2-matrix.mtx.gz,T-2
GSM9524182,blood,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,blood,SRA,blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX32060562,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524182/suppl/GSM9524182_con-3-barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524182/suppl/GSM9524182_con-3-features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524182/suppl/GSM9524182_con-3-matrix.mtx.gz,con-3
GSM9524183,liver,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32060563,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524183/suppl/GSM9524183_PT-3-barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524183/suppl/GSM9524183_PT-3-features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524183/suppl/GSM9524183_PT-3-matrix.mtx.gz,PT-3
GSM9524184,liver,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32060564,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524184/suppl/GSM9524184_T-3-barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524184/suppl/GSM9524184_T-3-features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524184/suppl/GSM9524184_T-3-matrix.mtx.gz,T-3
GSM9524185,blood,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,blood,SRA,blood,https://www.ncbi.nlm.nih.gov/sra?term=SRX32060565,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524185/suppl/GSM9524185_con-4-barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524185/suppl/GSM9524185_con-4-features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9524nnn/GSM9524185/suppl/GSM9524185_con-4-matrix.mtx.gz,con-4
