gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__batch,raw__cell line,raw__cell type,raw__genotype,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM9575137,Liver,Negative ctrl (BSA) 1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,HepG2,Hepatocyte,WT,Liver,Negative ctrl (BSA) 1,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438565,,HepG2_NT_1
GSM9575138,Liver,Negative ctrl (BSA) 2,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,HepG2,Hepatocyte,WT,Liver,Negative ctrl (BSA) 2,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438566,,HepG2_NT_2
GSM9575139,Liver,Negative ctrl (BSA) 3,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,HepG2,Hepatocyte,WT,Liver,Negative ctrl (BSA) 3,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438567,,HepG2_NT_3
GSM9575140,Liver,Negative ctrl (BSA) 4,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,HepG2,Hepatocyte,WT,Liver,Negative ctrl (BSA) 4,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438568,,HepG2_NT_4
GSM9575141,Liver,MASLD (600 uM FFA) 1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,HepG2,Hepatocyte,WT,Liver,MASLD (600 uM FFA) 1,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438569,,HepG2_MASLD_1
GSM9575142,Liver,MASLD (600 uM FFA) 2,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,HepG2,Hepatocyte,WT,Liver,MASLD (600 uM FFA) 2,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438570,,HepG2_MASLD_2
GSM9575143,Liver,MASLD (600 uM FFA) 3,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,HepG2,Hepatocyte,WT,Liver,MASLD (600 uM FFA) 3,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438571,,HepG2_MASLD_3
GSM9575144,Liver,MASLD (600 uM FFA) 4,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,HepG2,Hepatocyte,WT,Liver,MASLD (600 uM FFA) 4,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438572,,HepG2_MASLD_4
GSM9575145,Liver,SIM Vehicle Resmetirom 1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,HepG2,Hepatocyte,WT,Liver,SIM Vehicle Resmetirom 1,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438573,,HepG2_SIM_Veh_RSM1
GSM9575146,Liver,SIM Vehicle Resmetirom 2,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,HepG2,Hepatocyte,WT,Liver,SIM Vehicle Resmetirom 2,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438574,,HepG2_SIM_Veh_RSM2
