gsm,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM9722699,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,Tissue,Tissue,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33257231,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9722nnn/GSM9722699/suppl/GSM9722699_Control1_filtered.h5,Control1
GSM9722700,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,Tissue,Tissue,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33257232,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9722nnn/GSM9722700/suppl/GSM9722700_Control2_filtered.h5,Control2
GSM9722701,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,Tissue,Tissue,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33257233,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9722nnn/GSM9722701/suppl/GSM9722701_Control3_filtered.h5,Control3
GSM9722702,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,Tissue,Tissue,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33257234,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9722nnn/GSM9722702/suppl/GSM9722702_Control4_filtered.h5,Control4
GSM9722703,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,Tissue,Tissue,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33257235,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9722nnn/GSM9722703/suppl/GSM9722703_Control5_filtered.h5,Control5
GSM9722704,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,Tissue,Tissue,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33257236,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9722nnn/GSM9722704/suppl/GSM9722704_Control6_filtered.h5,Control6
GSM9722705,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,Tissue,Tissue,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33257237,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9722nnn/GSM9722705/suppl/GSM9722705_MASLD1_filtered.h5,MASLD1
GSM9722706,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,Tissue,Tissue,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33257238,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9722nnn/GSM9722706/suppl/GSM9722706_MASLD2_filtered.h5,MASLD2
GSM9722707,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,Tissue,Tissue,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33257239,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9722nnn/GSM9722707/suppl/GSM9722707_MASLD3_filtered.h5,MASLD3
GSM9722708,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,Tissue,Tissue,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33257240,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9722nnn/GSM9722708/suppl/GSM9722708_MASLD4_filtered.h5,MASLD4
