gsm,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM9775937,Liver,Illumina NovaSeq 6000,other,other,OTHER,other,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671159,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775937/suppl/GSM9775937_HCC_1T_ROI.jpg.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775937/suppl/GSM9775937_HCC_1T_glycans_proteins.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775937/suppl/GSM9775937_HCC_1T_position.txt.gz,"non-MASH-HCC, tumor 1, glycome, proteome"
GSM9775938,Liver,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671160,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775938/suppl/GSM9775938_HCC_1T_transcripts.tsv.gz,"non-MASH-HCC, tumor 1, transcriptome"
GSM9775939,Liver,Illumina NovaSeq 6000,other,other,OTHER,other,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671161,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775939/suppl/GSM9775939_HCC_1N_ROI.jpg.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775939/suppl/GSM9775939_HCC_1N_glycans_proteins.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775939/suppl/GSM9775939_HCC_1N_position.txt.gz,"non-tumor background, non-tumor 1, glycome, proteome"
GSM9775940,Liver,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671162,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775940/suppl/GSM9775940_HCC_1N_transcripts.tsv.gz,"non-tumor background, non-tumor 1, transcriptome"
GSM9775941,Liver,Illumina NovaSeq 6000,other,other,OTHER,other,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671163,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775941/suppl/GSM9775941_HCC_2T_ROI.jpg.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775941/suppl/GSM9775941_HCC_2T_glycans_proteins.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775941/suppl/GSM9775941_HCC_2T_position.txt.gz,"non-MASH-HCC, tumor 2, glycome, proteome"
GSM9775942,Liver,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671164,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775942/suppl/GSM9775942_HCC_2T_mRNA.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775942/suppl/GSM9775942_HCC_2T_transcripts.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775942/suppl/GSM9775942_HCC_2T_transcripts_metadata.tsv.gz,"non-MASH-HCC, tumor 2, transcriptome"
GSM9775943,Liver,Illumina NovaSeq 6000,other,other,OTHER,other,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671165,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775943/suppl/GSM9775943_HCC_2N_ROI.jpg.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775943/suppl/GSM9775943_HCC_2N_glycans_proteins.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775943/suppl/GSM9775943_HCC_2N_position.txt.gz,"non-tumor background, non-tumor 2, glycome, proteome"
GSM9775944,Liver,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671166,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775944/suppl/GSM9775944_HCC_2N_transcripts.tsv.gz,"non-tumor background, non-tumor 2, transcriptome"
GSM9775945,Liver,Illumina NovaSeq 6000,other,other,OTHER,other,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671167,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775945/suppl/GSM9775945_HCC_3T_ROI.jpg.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775945/suppl/GSM9775945_HCC_3T_glycans_proteins.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775945/suppl/GSM9775945_HCC_3T_position.txt.gz,"non-MASH-HCC, tumor 3, glycome, proteome"
GSM9775946,Liver,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671168,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775946/suppl/GSM9775946_HCC_3T_transcripts.tsv.gz,"non-MASH-HCC, tumor 3, transcriptome"
