gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__batch,raw__cell line,raw__cell type,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM9788165,Liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Huh7,Hepatocytes,Liver,Control,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33758232,,Huh7 cells Control 1
GSM9788166,Liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Huh7,Hepatocytes,Liver,Control,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33758233,,Huh7 cells Control 2
GSM9788167,Liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Huh7,Hepatocytes,Liver,Control,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33758234,,Huh7 cells Control 3
GSM9788168,Liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Huh7,Hepatocytes,Liver,Control,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33758235,,Huh7 cells Control 4
GSM9788169,Liver,Control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Huh7,Hepatocytes,Liver,Control,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33758236,,Huh7 cells Control 5
GSM9788170,Liver,OPLA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Huh7,Hepatocytes,Liver,OPLA,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33758237,,Huh7 cells OPLA 1
GSM9788171,Liver,OPLA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Huh7,Hepatocytes,Liver,OPLA,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33758238,,Huh7 cells OPLA 2
GSM9788172,Liver,OPLA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Huh7,Hepatocytes,Liver,OPLA,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33758239,,Huh7 cells OPLA 3
GSM9788173,Liver,OPLA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Huh7,Hepatocytes,Liver,OPLA,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33758240,,Huh7 cells OPLA 4
GSM9788174,Liver,OPLA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Huh7,Hepatocytes,Liver,OPLA,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33758241,,Huh7 cells OPLA 5
