gsm,canon__group,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__group,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM9792632,MASLD-HCC,Tumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD-HCC,Tumor liver,SRA,Tumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650816,,MASLD-HCC 1
GSM9792633,MASLD-HCC,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD-HCC,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650817,,MASLD-HCC 2
GSM9792634,MASLD-HCC,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD-HCC,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650848,,MASLD-HCC 3
GSM9792635,MASLD-HCC,Tumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD-HCC,Tumor liver,SRA,Tumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650859,,MASLD-HCC 4
GSM9792636,MASLD-HCC,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD-HCC,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650870,,MASLD-HCC 5
GSM9792637,MASLD-HCC,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD-HCC,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650881,,MASLD-HCC 6
GSM9792638,MASLD-HCC,Tumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD-HCC,Tumor liver,SRA,Tumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650892,,MASLD-HCC 7
GSM9792639,MASLD-HCC,Tumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD-HCC,Tumor liver,SRA,Tumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650903,,MASLD-HCC 8
GSM9792640,MASLD-HCC,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD-HCC,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650914,,MASLD-HCC 9
GSM9792641,MASLD-HCC,Tumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD-HCC,Tumor liver,SRA,Tumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650925,,MASLD-HCC 10
GSM9792642,MASLD-HCC,Tumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD-HCC,Tumor liver,SRA,Tumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650818,,MASLD-HCC 11
GSM9792643,MASLD-HCC,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD-HCC,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650829,,MASLD-HCC 12
GSM9792644,MASLD-HCC,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD-HCC,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650840,,MASLD-HCC 13
GSM9792645,MASLD-HCC,Tumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD-HCC,Tumor liver,SRA,Tumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650841,,MASLD-HCC 14
